stratum	score	n_donors	rho	p	q
chan_sclc_malignant	HALLMARK_DNA_REPAIR	19	-0.343859649122807	0.14944730840911596	0.2069270424126221
chan_sclc_malignant	DDR_DSB	19	-0.2824561403508772	0.24133244704369028	0.28959893645242835
chan_sclc_malignant	PROLIF	19	-0.45964912280701753	0.04770770316578596	0.1856398280490755
chan_sclc_malignant	STING_SENSOR	19	0.38421052631578945	0.10435774849730087	0.2069270424126221
chan_sclc_malignant	STING_ISG	19	0.07017543859649124	0.7752817747006227	0.7752817747006227
chan_sclc_malignant	REACTOME_STING	19	-0.32631578947368417	0.1727294770067921	0.22208075615158984
chan_sclc_malignant	CGAS	19	-0.012280701754385965	0.9602038588720425	
chan_sclc_malignant	STING1	19	0.5333333333333333	0.018696680998711218	
chan_sclc_malignant	H2AX	19	-0.019298245614035085	0.9374978309415845	
chan_sclc_malignant	HALLMARK_DNA_REPAIR_partial_PROLIF	19	-0.09872984549606646	0.6875941862049704	
chan_sclc_malignant	DDR_DSB_partial_PROLIF	19	0.17321811999168096	0.47821873054698044	
chan_sclc_malignant	STING_ISG_partial_PROLIF	19	-0.3075939560801436	0.20016604784741676	
chan_sclc_malignant	STING_SENSOR_partial_PROLIF	19	0.3635786660345205	0.1259837276404438	
chan_nsclc_malignant	HALLMARK_DNA_REPAIR	8	0.5714285714285715	0.13895995716070672	0.2069270424126221
chan_nsclc_malignant	DDR_DSB	8	0.5714285714285715	0.13895995716070672	0.2069270424126221
chan_nsclc_malignant	PROLIF	8	0.30952380952380953	0.4556448907375822	0.5126005020797799
chan_nsclc_malignant	STING_SENSOR	8	0.7619047619047621	0.028004939153071805	0.16802963491843081
chan_nsclc_malignant	STING_ISG	8	0.5714285714285715	0.13895995716070672	0.2069270424126221
chan_nsclc_malignant	REACTOME_STING	8	0.6428571428571429	0.08555889101267325	0.2069270424126221
chan_nsclc_malignant	CGAS	8	0.38095238095238104	0.35181255311756476	
chan_nsclc_malignant	STING1	8	0.4047619047619048	0.3198886412288163	
chan_nsclc_malignant	H2AX	8	0.6904761904761906	0.057990318164572716	
chan_nsclc_malignant	HALLMARK_DNA_REPAIR_partial_PROLIF	8	0.5071238886970401	0.199589251090769	
chan_nsclc_malignant	DDR_DSB_partial_PROLIF	8	0.5071238886970401	0.199589251090769	
chan_nsclc_malignant	STING_ISG_partial_PROLIF	8	0.5107158906898579	0.1958911862853121	
chan_nsclc_malignant	STING_SENSOR_partial_PROLIF	8	0.7418974562062294	0.03509362040234799	
chan_nsclc_label_in_sclc	HALLMARK_DNA_REPAIR	2			
chan_nsclc_label_in_sclc	DDR_DSB	2			
chan_nsclc_label_in_sclc	PROLIF	2			
chan_nsclc_label_in_sclc	STING_SENSOR	2			
chan_nsclc_label_in_sclc	STING_ISG	2			
chan_nsclc_label_in_sclc	REACTOME_STING	2			
chan_nsclc_label_in_sclc	CGAS	2			
chan_nsclc_label_in_sclc	STING1	2			
chan_nsclc_label_in_sclc	H2AX	2			
chan_nsclc_label_in_sclc	HALLMARK_DNA_REPAIR_partial_PROLIF	2			
chan_nsclc_label_in_sclc	DDR_DSB_partial_PROLIF	2			
chan_nsclc_label_in_sclc	STING_ISG_partial_PROLIF	2			
chan_nsclc_label_in_sclc	STING_SENSOR_partial_PROLIF	2			
chan_normal_epithelial	HALLMARK_DNA_REPAIR	4			
chan_normal_epithelial	DDR_DSB	4			
chan_normal_epithelial	PROLIF	4			
chan_normal_epithelial	STING_SENSOR	4			
chan_normal_epithelial	STING_ISG	4			
chan_normal_epithelial	REACTOME_STING	4			
chan_normal_epithelial	CGAS	4			
chan_normal_epithelial	STING1	4			
chan_normal_epithelial	H2AX	4			
chan_normal_epithelial	HALLMARK_DNA_REPAIR_partial_PROLIF	4			
chan_normal_epithelial	DDR_DSB_partial_PROLIF	4			
chan_normal_epithelial	STING_ISG_partial_PROLIF	4			
chan_normal_epithelial	STING_SENSOR_partial_PROLIF	4			
glasner_luad_epithelium	HALLMARK_DNA_REPAIR	21	0.4142857142857143	0.061879942683025164	0.1856398280490755
glasner_luad_epithelium	DDR_DSB	21	-0.14935064935064934	0.5181875885017935	0.5486692113548401
glasner_luad_epithelium	PROLIF	21	-0.42727272727272725	0.053370405215496956	0.1856398280490755
glasner_luad_epithelium	STING_SENSOR	21	0.6753246753246753	0.0007815563656282282	0.014068014581308108
glasner_luad_epithelium	STING_ISG	21	0.5623376623376624	0.007967059099044032	0.07170353189139629
glasner_luad_epithelium	REACTOME_STING	21	0.3571428571428571	0.11198091415054648	0.2069270424126221
glasner_luad_epithelium	CGAS	21	0.1935064935064935	0.40065858838070295	
glasner_luad_epithelium	STING1	21	0.5792207792207792	0.005931730203525632	
glasner_luad_epithelium	H2AX	21	0.44675324675324674	0.042323919728474726	
glasner_luad_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	21	0.5399151628539464	0.011523980645013969	
glasner_luad_epithelium	DDR_DSB_partial_PROLIF	21	0.2357594270432891	0.30356201871243643	
glasner_luad_epithelium	STING_ISG_partial_PROLIF	21	0.6797187582755713	0.0007001730454069187	
glasner_luad_epithelium	STING_SENSOR_partial_PROLIF	21	0.7290803730426167	0.00017723645854226307	
glasner_met_epithelium	HALLMARK_DNA_REPAIR	4			
glasner_met_epithelium	DDR_DSB	4			
glasner_met_epithelium	PROLIF	4			
glasner_met_epithelium	STING_SENSOR	4			
glasner_met_epithelium	STING_ISG	4			
glasner_met_epithelium	REACTOME_STING	4			
glasner_met_epithelium	CGAS	4			
glasner_met_epithelium	STING1	4			
glasner_met_epithelium	H2AX	4			
glasner_met_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	4			
glasner_met_epithelium	DDR_DSB_partial_PROLIF	4			
glasner_met_epithelium	STING_ISG_partial_PROLIF	4			
glasner_met_epithelium	STING_SENSOR_partial_PROLIF	4			
glasner_primary_epithelium	HALLMARK_DNA_REPAIR	17	0.4338235294117647	0.08189345203365919	
glasner_primary_epithelium	DDR_DSB	17	0.03676470588235294	0.8885928675683452	
glasner_primary_epithelium	PROLIF	17	-0.18137254901960786	0.4860097755199285	
glasner_primary_epithelium	STING_SENSOR	17	0.5931372549019609	0.012085076209286389	
glasner_primary_epithelium	STING_ISG	17	0.7671568627450981	0.0003257216584351613	
glasner_primary_epithelium	REACTOME_STING	17	0.3602941176470589	0.15542704025456905	
glasner_primary_epithelium	CGAS	17	0.28921568627450983	0.2602032490665049	
glasner_primary_epithelium	STING1	17	0.502450980392157	0.03983296762323772	
glasner_primary_epithelium	H2AX	17	0.4754901960784314	0.05372273084018872	
glasner_primary_epithelium	HALLMARK_DNA_REPAIR_partial_PROLIF	17	0.5627373021212905	0.018686397579800906	
glasner_primary_epithelium	DDR_DSB_partial_PROLIF	17	0.24100701691610724	0.3514160139150959	
glasner_primary_epithelium	STING_ISG_partial_PROLIF	17	0.821534476147687	5.252387839546125e-05	
glasner_primary_epithelium	STING_SENSOR_partial_PROLIF	17	0.7026936803682606	0.001656095381556835	
