ensembl,gene,gtex_lung_rho,tcga_luad_rho,tcga_lusc_rho,mean_rho,min_rho
ENSG00000005001,PRSS22,0.5439,0.5883,0.6328,0.5883,0.5439
ENSG00000171345,KRT19,0.7059,0.5467,0.4755,0.576,0.4755
ENSG00000166145,SPINT1,0.7533,0.4599,0.5101,0.5744,0.4599
ENSG00000189143,CLDN4,0.7472,0.5519,0.4049,0.568,0.4049
ENSG00000112378,PERP,0.6632,0.5042,0.5333,0.5669,0.5042
ENSG00000115884,SDC1,0.6975,0.4828,0.511,0.5638,0.4828
ENSG00000006555,TTC22,0.5923,0.5296,0.4904,0.5374,0.4904
ENSG00000176092,AIM1L,0.5228,0.4796,0.6032,0.5352,0.4796
ENSG00000147394,ZNF185,0.5896,0.4774,0.5162,0.5277,0.4774
ENSG00000039068,CDH1,0.8065,0.4606,0.3077,0.5249,0.3077
ENSG00000188112,C6orf132,0.6816,0.4376,0.452,0.5237,0.4376
ENSG00000147676,MAL2,0.7305,0.3965,0.4407,0.5226,0.3965
ENSG00000237330,RNF223,0.5684,0.5209,0.4679,0.5191,0.4679
ENSG00000167880,EVPL,0.6554,0.4516,0.442,0.5163,0.442
ENSG00000163362,C1orf106,0.6223,0.383,0.5363,0.5139,0.383
ENSG00000186212,SOWAHB,0.6628,0.4193,0.4578,0.5133,0.4193
ENSG00000188064,WNT7B,0.5561,0.4864,0.4917,0.5114,0.4864
ENSG00000162522,KIAA1522,0.537,0.5142,0.4673,0.5062,0.4673
ENSG00000118898,PPL,0.5589,0.5082,0.4448,0.504,0.4448
ENSG00000117595,IRF6,0.7286,0.3748,0.4067,0.5034,0.3748
ENSG00000143217,NECTIN4,0.4399,0.4815,0.5749,0.4988,0.4399
ENSG00000184363,PKP3,0.7095,0.3633,0.4083,0.4937,0.3633
ENSG00000182107,TMEM30B,0.7093,0.3329,0.4235,0.4886,0.3329
ENSG00000183421,RIPK4,0.6337,0.3405,0.4903,0.4882,0.3405
ENSG00000196878,LAMB3,0.751,0.3486,0.3503,0.4833,0.3486
ENSG00000168528,SERINC2,0.5108,0.4346,0.5038,0.4831,0.4346
ENSG00000149573,MPZL2,0.4447,0.4147,0.5866,0.482,0.4147
ENSG00000131037,EPS8L1,0.4682,0.4565,0.5198,0.4815,0.4565
ENSG00000058085,LAMC2,0.6961,0.4395,0.3016,0.4791,0.3016
ENSG00000123159,GIPC1,0.4983,0.4623,0.4759,0.4788,0.4623
ENSG00000125731,SH2D3A,0.6395,0.4029,0.3849,0.4758,0.3849
ENSG00000188910,GJB3,0.4563,0.4024,0.5663,0.475,0.4024
ENSG00000227959,RP11-276H7.2,0.4939,0.3923,0.5308,0.4723,0.3923
ENSG00000132698,RAB25,0.6842,0.3088,0.4147,0.4692,0.3088
ENSG00000171124,FUT3,0.434,0.3475,0.6176,0.4664,0.3475
ENSG00000175793,SFN,0.3635,0.4712,0.5534,0.4627,0.3635
ENSG00000105699,LSR,0.63,0.381,0.3769,0.4626,0.3769
ENSG00000050327,ARHGEF5,0.5978,0.4576,0.3309,0.4621,0.3309
ENSG00000135378,PRRG4,0.6168,0.3237,0.4333,0.4579,0.3237
ENSG00000159166,LAD1,0.4251,0.4111,0.5276,0.4546,0.4111
ENSG00000115339,GALNT3,0.6011,0.4165,0.3438,0.4538,0.3438
ENSG00000163235,TGFA,0.586,0.3734,0.3906,0.45,0.3734
ENSG00000175707,KDF1,0.6443,0.386,0.315,0.4484,0.315
ENSG00000149418,ST14,0.6086,0.3811,0.3491,0.4463,0.3491
ENSG00000137843,PAK6,0.5228,0.4001,0.413,0.4453,0.4001
ENSG00000142675,CNKSR1,0.624,0.3851,0.3063,0.4385,0.3063
ENSG00000185467,KPNA7,0.5321,0.4048,0.3727,0.4365,0.3727
ENSG00000010278,CD9,0.6526,0.3018,0.345,0.4331,0.3018
ENSG00000142627,EPHA2,0.3283,0.4664,0.4948,0.4298,0.3283
ENSG00000167767,KRT80,0.4214,0.4521,0.4113,0.4283,0.4113
ENSG00000121900,TMEM54,0.3452,0.4722,0.467,0.4281,0.3452
ENSG00000014216,CAPN1,0.3287,0.4608,0.4892,0.4262,0.3287
ENSG00000101276,SLC52A3,0.4086,0.4493,0.4176,0.4252,0.4086
ENSG00000173801,JUP,0.4764,0.3354,0.4569,0.4229,0.3354
ENSG00000135373,EHF,0.4957,0.3249,0.4392,0.4199,0.3249
ENSG00000133985,TTC9,0.4268,0.4261,0.4048,0.4192,0.4048
ENSG00000088002,SULT2B1,0.5924,0.3236,0.33,0.4153,0.3236
ENSG00000163435,ELF3,0.4034,0.4021,0.4375,0.4143,0.4021
ENSG00000101213,PTK6,0.3981,0.3044,0.5323,0.4116,0.3044
ENSG00000066322,ELOVL1,0.3426,0.4516,0.4371,0.4104,0.3426
ENSG00000182718,ANXA2,0.4727,0.4076,0.3456,0.4086,0.3456
ENSG00000167600,CYP2S1,0.4483,0.3869,0.3886,0.4079,0.3869
ENSG00000162069,BICDL2,0.4698,0.3238,0.4226,0.4054,0.3238
