symbol	in_matrix	depmap_col	n_nonNA_lung
ABCA1	True	ABCA1 (19)	214
ABI1	True	ABI1 (10006)	214
ABI3BP	True	ABI3BP (25890)	214
ACKR3	True	ACKR3 (57007)	214
ACTA2	True	ACTA2 (59)	214
ACVR1B	True	ACVR1B (91)	214
ACVR2A	True	ACVR2A (92)	214
ADAM12	True	ADAM12 (8038)	214
ADAR	True	ADAR (103)	214
ADGRE1	True	ADGRE1 (2015)	214
ADM	True	ADM (133)	214
ADORA2B	True	ADORA2B (136)	214
ADRM1	True	ADRM1 (11047)	214
AHR	True	AHR (196)	214
ANPEP	True	ANPEP (290)	214
APLNR	True	APLNR (187)	214
APLP1	True	APLP1 (333)	214
APOL6	True	APOL6 (80830)	214
AQP9	True	AQP9 (366)	214
AREG	True	AREG (374)	214
ARID5B	True	ARID5B (84159)	214
ARL4A	True	ARL4A (10124)	214
ATF3	True	ATF3 (467)	214
ATP2A2	True	ATP2A2 (488)	214
ATP2B1	True	ATP2B1 (490)	214
ATP2C1	True	ATP2C1 (27032)	214
AUTS2	True	AUTS2 (26053)	214
AXL	True	AXL (558)	214
B2M	True	B2M (567)	214
B4GALT1	True	B4GALT1 (2683)	214
B4GALT5	True	B4GALT5 (9334)	214
BANK1	True	BANK1 (55024)	214
BASP1	True	BASP1 (10409)	214
BATF2	True	BATF2 (116071)	214
BCL2A1	True	BCL2A1 (597)	214
BCL3	True	BCL3 (602)	214
BCL6	True	BCL6 (604)	214
BDKRB1	True	BDKRB1 (623)	214
BDNF	True	BDNF (627)	214
BEST1	True	BEST1 (7439)	214
BGN	True	BGN (633)	214
BHLHE40	True	BHLHE40 (8553)	214
BIRC2	True	BIRC2 (329)	214
BIRC3	True	BIRC3 (330)	214
BMP1	True	BMP1 (649)	214
BMP2	True	BMP2 (650)	214
BPGM	True	BPGM (669)	214
BST2	True	BST2 (684)	214
BTG1	True	BTG1 (694)	214
BTG2	True	BTG2 (7832)	214
BTG3	True	BTG3 (10950)	214
C1R	True	C1R (715)	214
C1S	True	C1S (716)	214
C3AR1	True	C3AR1 (719)	214
C5AR1	True	C5AR1 (728)	214
CADM1	True	CADM1 (23705)	214
CALCRL	True	CALCRL (10203)	214
CALD1	True	CALD1 (800)	214
CALR	True	CALR (811)	214
CALU	True	CALU (813)	214
CANX	True	CANX (821)	214
CAP2	True	CAP2 (10486)	214
CAPG	True	CAPG (822)	214
CASP1	True	CASP1 (834)	214
CASP3	True	CASP3 (836)	214
CASP4	True	CASP4 (837)	214
CASP7	True	CASP7 (840)	214
CASP8	True	CASP8 (841)	214
CCL17	True	CCL17 (6361)	214
CCL2	True	CCL2 (6347)	214
CCL20	True	CCL20 (6364)	214
CCL22	True	CCL22 (6367)	214
CCL24	True	CCL24 (6369)	214
CCL4	True	CCL4 (6351)	214
CCL5	True	CCL5 (6352)	214
CCL7	True	CCL7 (6354)	214
CCN1	True	CCN1 (3491)	214
CCN2	True	CCN2 (1490)	214
CCND1	True	CCND1 (595)	214
CCNL1	True	CCNL1 (57018)	214
CCR7	True	CCR7 (1236)	214
CCRL2	True	CCRL2 (9034)	214
CD14	True	CD14 (929)	214
CD274	True	CD274 (29126)	214
CD38	True	CD38 (952)	214
CD40	True	CD40 (958)	214
CD44	True	CD44 (960)	214
CD47	True	CD47 (961)	214
CD48	True	CD48 (962)	214
CD55	True	CD55 (1604)	214
CD59	True	CD59 (966)	214
CD69	True	CD69 (969)	214
CD70	True	CD70 (970)	214
CD74	True	CD74 (972)	214
CD80	True	CD80 (941)	214
CD82	True	CD82 (3732)	214
CD83	True	CD83 (9308)	214
CD86	True	CD86 (942)	214
CDH1	True	CDH1 (999)	214
CDH11	True	CDH11 (1009)	214
CDH2	True	CDH2 (1000)	214
CDH6	True	CDH6 (1004)	214
CDKN1A	True	CDKN1A (1026)	214
CEBPB	True	CEBPB (1051)	214
CEBPD	True	CEBPD (1052)	214
CFB	True	CFB (629)	214
CFH	True	CFH (3075)	214
CFLAR	True	CFLAR (8837)	214
CHST2	True	CHST2 (9435)	214
CIITA	True	CIITA (4261)	214
CLCF1	True	CLCF1 (23529)	214
CLDN3	True	CLDN3 (1365)	214
CLDN4	True	CLDN4 (1364)	214
CLDN7	True	CLDN7 (1366)	214
CLEC5A	True	CLEC5A (23601)	214
CMKLR1	True	CMKLR1 (1240)	214
CMPK2	True	CMPK2 (129607)	214
CMTR1	True	CMTR1 (23070)	214
CNP	True	CNP (1267)	214
COL11A1	True	COL11A1 (1301)	214
COL12A1	True	COL12A1 (1303)	214
COL16A1	True	COL16A1 (1307)	214
COL1A1	True	COL1A1 (1277)	214
COL1A2	True	COL1A2 (1278)	214
COL3A1	True	COL3A1 (1281)	214
COL4A1	True	COL4A1 (1282)	214
COL4A2	True	COL4A2 (1284)	214
