accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	accessibility_page	study_type	release_date_page	n_listing	listing_kinds	example_run_files	processed_on_hra
HRA008365	PRJCA029170	Dynamic Changes in Tumor Microenvironment and TP53 Mutation in EGFR-Mutated Lung Cancer Post-TKI Treatment: Implications for Immunotherapy Prediction	Nanfang Hospital, Southern Medical University	1	Controlled	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008365	True	True	False	False	False	lung+ici	True	This project gathers paired sample data from NSCLC patients pre- and post-TKI treatment, aiming to analyze the dynamic evolution of the microenvironment induced by TKI and to explore potential treatment options, such as immunotherapy, after the development of TKI resistance.	Controlled access	Disease Study	2026-08-16	0	{}		0
HRA018807	PRJCA065536	Bulk RNA-seq of Microenvironmental Prostaglandin F2-alpha Antagonizes Tumoral FSP1 to Unleash Ferroptosis and Immunotherapy vulnerability	Xiangya Hospital, Central South University	0	Open	0	2026-08-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018807	False	True	False	False	False	ici	True	Bulk RNA-seq was performed on A375 cells treated with sgCtrl or sgFSP1, each with three biological replicates. Total RNA was extracted using Magzol reagent (Magen, R4801). Subsequent library construction and sequencing were conducted by BGI Genomics Co., Ltd., and all raw reads underwent rigorous quality control.	Open access	Cell line related study	2026-08-04	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3356456_f1.fq.gz,HRR3356456_r2.fq.gz,HRR3356456_sta.xml,(.+?)	0
HRA019979	PRJCA070235	Neoadjuvant Sintilimab and Chemotherapy for Resectable Stage IIIA Non-small-cell Lung Cancer	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019979	True	True	True	False	False	lung+ici+neoadjuvant	True	Evidence of neoadjuvant chemoimmunotherapy for locally advanced non-small cell lung cancer remains investigational and requires prospective validation. This phase II trial aimed to investigate the safety and effectiveness of neoadjuvant PD-1 inhibitor sintilimab in addition to chemotherapy in the management of resectable stage IIIA non-small cell lung cancer. Eligible patients received two to four 21-day cycles of neoadjuvant therapy: sintilimab (200 mg) and carboplatin (area under the curve 5) on day 1, gemcitabine (1000 mg/m2) on day 1 and day 8 for squamous cell carcinoma, or pemetrexed (500 mg/m2) on day 1 for adenocarcinoma and non-small cell lung cancer not otherwise specified. The primary endpoints were adverse events and major pathological response. The secondary endpoint was disease-free survival at 1 year. Neoadjuvant sintilimab with platinum-containing dual-agent chemotherapy was feasible and safe for patients with resectable stage IIIA non-small cell lung cancer.	Controlled access	Disease Study	2026-07-30	0	{}		0
HRA005439	PRJCA019446	Neoadjuvant Camrelizumab Plus Chemotherapy or Apatinib for Resectable and Initially Unresectable Stage II-III Non-small-cell Lung Cancer: A Multicentre, Multi-cohort, Non-randomised, Phase 2 Study	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005439	True	True	True	False	False	lung+ici+neoadjuvant	True	This study aimed to explore the efficacy, safety and potential predictive biomarkers of neoadjuvant camrelizumab plus chemotherapy or apatinib in patients with potentially resectable (including initially unresectable) stage II-III NSCLC.	Controlled access	Disease Study	2026-07-27	0	{}		0
HRA002071	PRJCA008393	Safety, effectiveness and RNA-seq analysis of neoadjuvant PD-1 inhibitor plus chemotherapy in NSCLC	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002071	True	True	True	False	False	lung+ici+neoadjuvant	True	This trial aimed to analyze the safety, effectiveness and RNA-seq of neoadjuvant Toripalimab, a humanized PD-1 inhibitor, plus chemotherapy in non-small-cell lung cancer (NSCLC).	Controlled access	Disease Study	2026-07-27	0	{}		0
HRA011368	PRJCA038849	Single nucleus RNA sequencing data from human fetal lung tissue of twin-twin transfusion syndrome	Institute of Pediatrics	0	Open	0	2026-07-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011368	True	False	False	False	False	lung	True	We have employed a single cell sequencing approach using 10x Genomics snRNA-seq to study Twin-to-twin transfusion syndrome (TTTS). TTTS is a rare complication of monochorionic twin pregnancies, caused by abnormal placental vascular anastomoses leading to imbalanced blood flow between the donor and recipient twins. The disturbed hemodynamics clinically manifests as insufficient blood volume in the donor and volume overload in the recipient, which may have profound effects on fetal lung development. In this study, we performed snRNA-seq on lung tissues from TTTS fetuses after termination of pregnancy, providing an unprecedented resolution for analyzing transcriptomic changes associated with the unique hemodynamic environment of TTTS and offering new insights into the molecular mechanisms of lung development under the circulatory disorders caused by TTTS.	Open access	Disease Study	2026-07-07	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2360386_f1.fastq.gz,HRR2360386_r2.fastq.gz,HRR2360386_sta.xml,(.+?)	0
HRA007812	PRJCA027490	Circulating tumor DNA has strong prognostic value in extensive-stage small cell lung cancer receiving Toripalimab and Anlotinib maintenance therapy	Taizhou Enze MedicaCenter Group	1	Controlled	0	2024-07-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007812	True	True	False	False	False	lung+ici	True	Here, in a phase II clinical trial involving 20 patients with extensive-stage small cell lung cancer who achieved disease control under chemotherapy, we collected plasma samples at three times during toripalimab and anlotinib maintenance therapy and subjected them to ultradeep targeted DNA sequencing, to explore the value of ctDNA.	Controlled access	Disease Study	2026-07-05	0	{}		0
HRA019191	PRJCA066560	Tumor-Distal Mediastinal Lymph Nodes Harbor Tumor-Related Progenitor Exhausted T Cells in Lung Cancer After Neoadjuvant Chemoimmunotherapy	Tianjin Medical University Cancer Institute and Hospital	1	Controlled	0	2026-07-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019191	True	True	True	False	False	lung+ici+neoadjuvant	True	Patients with lung squamous cell carcinoma underwent surgery after 2-4 cycles of neoadjuvant chemoimmunotherapy. Samples from tumor, adjacent normal lung tissue, tpMLN, tdMLN, and blood were profiled by scRNA-seq and scTCR/BCR-seq. Postoperative blood was used for bulk TCR/BCR tracking.	Controlled access	Disease Study	2026-07-02	0	{}		0
HRA014150	PRJCA049240	Pan-Cancer Analysis of WSB1 and Its Mechanism of Action in Regulating the Proliferative Capacity of Lung Adenocarcinoma	North China University of Science and Technology	0	Open	0	2025-11-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014150	True	False	False	False	False	lung	True	The raw data of transcriptome sequencing performed after WSB1 knockdown in A549 cells	Open access	Cell line related study	2026-07-01	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2843101_f1.fastq.gz,HRR2843101_r2.fastq.gz,HRR2843101_sta.xml,(.+?)	0
HRA019325	PRJCA067686	TCR and BCR repertoire sequencing of peripheral blood from patients with primary head and neck squamous cell carcinoma receiving preoperative chemoimmunotherapy	Peking University School and Hospital of Stomatology	0	Open	0	2026-07-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA019325	False	True	False	False	False	ici	True	TCR and BCR repertoire sequencing of peripheral blood from patients with primary head and neck squamous cell carcinoma receiving preoperative chemoimmunotherapy	Open access	Disease Study	2026-06-30	28	"{""run_or_nested"": 26, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3399631_f1.fq.gz,HRR3399631_r2.fq.gz,HRR3399631_sta.xml,(.+?)	0
HRA018765	PRJCA064786	Efficacy and Biomarker Exploration of Anlotinib Plus Penpulimab in Extensive-Stage Small Cell Lung Cancer After Failure of Platinum-Based Chemotherapy: Results from a Phase II Trial (ALTER-L041)	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018765	True	True	False	False	False	lung+ici	True	This study aims to evaluate the efficacy and safety of anlotinib plus penpulimab as a second-line treatment for recurrent extensive-stage small cell lung cancer. The findings may provide a novel therapeutic option for patients with platinum-resistant extensive-stage small cell lung cancer and offer evidence to further optimize precision treatment strategies for this population	Controlled access	Disease Study	2026-06-23	0	{}		0
HRA017912	PRJCA061004	Co-culturing Lung Cancer Organoids and Lymphocytes Derived from Malignant Serous Effusion Potentially Implements Personalized Immunotherapy	Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, 510080, China	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017912	True	True	False	False	False	lung+ici	True	Specimens were collected from advanced lung cancer patients for organoid culture and a co-culture system. Olink proteomics, flow cytometry analysis and single-cell RNA sequencing indicated the presence of anti-tumor immune activity and supported the functional efficacy of the co-culture system. Chi-square analysis revealed a statistically significant association between the sample type and success of establishment . In samples with matched clinical regimens, receiver operating characteristic analysis based on cell viability reduction identified a diagnostic threshold of >31.93%. Using the co-culture system of LCOs and pleural fluid-derived lymphocytes, the concordance between drug sensitivity and clinical efficacy was 78.6% for immunotherapy and 70.0% for targeted therapy or chemotherapy. Notably, drug sensitivity testing in the established co-culture system demonstrated high concordance with observed clinical efficacy and may be implemented in personalized immunotherapy.	Controlled access	Disease Study	2026-06-19	0	{}		0
HRA018694	PRJCA064523	Epigenetic Dysregulation Permits E2F1 Activation-Mediated Neuroendocrine Transformation in EGFR-Mutant Lung Adenocarcinoma	Nanjing Medical University Affiliated Cancer Hospital	0	Open	0	2026-05-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018694	True	False	False	False	False	lung	True	"The RNA sequencing data, WES data, and epigenomics data from the study titled ""Epigenetic Dysregulation Permits E2F1 Activation-Mediated Neuroendocrine Transformation in EGFR-Mutant Lung Adenocarcinoma"""	Open access	Cell line related study	2026-05-27	67	"{""run_or_nested"": 65, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3347050_f1.fq.gz,HRR3347050_r2.fq.gz,HRR3347050_sta.xml,(.+?)	0
HRA011882	PRJCA041484	Upregulation of Trop2 in Drug-Tolerant Persister Cells: A Therapeutic Opportunity for EGFR-Mutant Lung Cancer	Sun Yat-sen University Cancer Center	0	Open	0	2026-05-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011882	True	False	False	False	True	lung+gene_keyword	True	Our study establishes Trop2 as a therapeutically targetable vulnerability in DTP cells and provides a mechanistic rationale for combining Trop2-ADCs with EGFR-TKIs to prevent resistance and improve outcomes in EGFR-mutant NSCLC. These findings highlight a novel strategy to overcome adaptive resistance and prolong therapeutic efficacy in this patient population.	Open access	Cell line related study	2026-05-15	18	"{""run_or_nested"": 16, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2612579_f1.fq.gz,HRR2612579_r2.fq.gz,HRR2612579_sta.xml,(.+?)	0
HRA018426	PRJCA063740	The TNFR2M196R Germline Variant Confers Dual Impact on CAR-T Cell Immunotherapy by Enhancing T-cell Survival and Tumor Proliferation	the First Medical Center, Chinese PLA General Hospital	0	Open	0	2026-05-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA018426	False	True	False	False	False	ici	True	We identify the germline TNFR2M196R SNP (rs1061622) as a pivotal genetic determinant of atypical responses, which was prompted by a patient with low-tumor-burden non-Hodgkin lymphoma who developed severe, persistent cytokine release syndrome (CRS). The TNFR2M196R variant was found to enhance the antitumor efficacy of CAR-T cells by reducing their apoptosis. Paradoxically, however, patients carrying the TNFR2M196R variant exhibited higher rates of early tumor progression. Further investigation revealed that while the TNFR2M196R mutation increased tumor susceptibility to CAR-T-mediated killing, it also accelerated tumor proliferation kinetics. Together, these results establish the TNFR2M196R SNP as a dual-function genetic determinant that modulates both CAR-T cell efficacy and intrinsic tumor behavior, highlighting the critical impact of germline genetics on cancer immunotherapy.	Open access	Cell line related study	2026-05-12	14	"{""run_or_nested"": 12, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3265950_f1.fastq.gz,HRR3265950_r2.fastq.gz,HRR3265950_sta.xml,(.+?)	0
HRA017080	PRJCA059205	Evolution of resistance to KRASG12C inhibitor in a non-small cell lung cancer responder	University of Macau	0	Open	0	2026-07-02	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA017080	True	False	False	False	False	lung	True	In this study, single-cell sequencing was employed to delineate the dynamic alterations within the CD8+CD161hi T cell population in the peripheral blood of patients harboring the KRASG12C mutation in a detailed manner.	Open access	Disease Study	2026-05-11	9	"{""run_or_nested"": 7, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR3094471_f1.fastq.gz,HRR3094471_r2.fastq.gz,HRR3094471_sta.xml,(.+?)	0
