accession	bioproject	title	organism	access	release_date	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why
OMIX490	PRJCA005726	1.3Eccentric microfluidic chip real-time PCR screening technology	unidentified	Open	2021-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX490	False	False	False	True	False	mpr_keyword
OMIX491	PRJCA005726	1.4Development of digital PCR instrument	unidentified	Open	2021-07-21	https://ngdc.cncb.ac.cn/omix/release/OMIX491	False	False	False	True	False	mpr_keyword
OMIX548	PRJCA006340	Lung cancer	Cancer	Open	2021-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX548	True	False	False	False	False	lung
OMIX575	PRJCA006267	Comparison of the immune microenvironment between lung tumors andbrain metastatic tumors	Cancer	Open	2022-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX575	True	False	False	False	False	lung
OMIX001034	PRJCA008662	Metagenomic next-generation sequencing of cell-free DNA and whole-cell DNA for the diagnoses of pulmonary infections	Pseudomonas aeruginosa	Open	2023-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX001034	True	False	False	False	False	lung
OMIX001105	PRJCA008186	A case report of mixed pulmonary infection of Nocardia nova, Mycobacterium tuberculosis, and Aspergillus fumigatus based on metagenomics next generation sequencing	Nocardia nova	Open	2022-04-25	https://ngdc.cncb.ac.cn/omix/release/OMIX001105	True	False	False	False	False	lung
OMIX001134	PRJCA009558	Pulmonary cryptococcosis in a young patient with normal immune function: A case report	Cryptococcus neoformans	Open	2022-05-14	https://ngdc.cncb.ac.cn/omix/release/OMIX001134	True	False	False	False	False	lung
OMIX001230	PRJCA009963	Characterization of the Lung Microbiome and Metabolome in Children with Pulmonary Arterial Hypertension Associated with Congenital Heart Disease	Homo sapiens	Open	2022-06-17	https://ngdc.cncb.ac.cn/omix/release/OMIX001230	True	False	False	False	False	lung
OMIX001489	PRJCA010959	Dissecting Intra-Tumoral Changes Following Immune Checkpoint Blockades in primary liver cancer via Single-Cell Analysis	Homo sapiens	Open	2025-08-14	https://ngdc.cncb.ac.cn/omix/release/OMIX001489	False	True	False	False	False	ici
OMIX001548	PRJCA011037	Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer-cohort A	Homo sapiens	Open	2022-08-09	https://ngdc.cncb.ac.cn/omix/release/OMIX001548	True	True	False	False	False	lung+ici
OMIX001549	PRJCA011037	Tumor immune microenvironment and immunotherapy efficacy in BRAF mutation non-small-cell lung cancer-cohort B	Homo sapiens	Open	2022-08-09	https://ngdc.cncb.ac.cn/omix/release/OMIX001549	True	True	False	False	False	lung+ici
OMIX001614	PRJCA011176	RNA RAT LUNG	Rattus norvegicus	Open	2022-08-17	https://ngdc.cncb.ac.cn/omix/release/OMIX001614	True	False	False	False	False	lung
OMIX001637	PRJCA010428	RNA-seq and CyTOF for PD1 blockade induced alterations in oral carcinogenesis animal model	Mus musculus	Open	2023-12-07	https://ngdc.cncb.ac.cn/omix/release/OMIX001637	False	True	False	False	False	ici
OMIX001649	PRJCA011026	Primary liver cancer treated with lenvatinib plus PD-1	Homo	Open	2025-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX001649	False	True	False	False	False	ici
OMIX001734	PRJCA011591	Validation of a highly sensitive Sanger sequencing in detecting EGFR mutations from circulating tumor DNA in patients with lung cancers	Homo sapiens	Open	2024-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX001734	True	False	False	False	False	lung
OMIX001801	PRJCA011760	PD-L1, CD8 IHC; PIK3CA mutation	Homo sapiens	Open	2024-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX001801	False	True	False	False	False	ici
OMIX002441	PRJCA006026	Single-cell transcriptomic profiling reveals the tumor heterogeneity of small-cell lung cancer	Homo sapiens	Open	2024-02-28	https://ngdc.cncb.ac.cn/omix/release/OMIX002441	True	False	False	False	False	lung
OMIX002491	PRJCA013618	lung cancer imaging	Homo sapiens	Open	2024-10-11	https://ngdc.cncb.ac.cn/omix/release/OMIX002491	True	False	False	False	False	lung
OMIX002520	PRJCA013670	Untargeted metabolomics of sera from mouse with lung cancer induced cachexia	Mus musculus	Open	2024-03-18	https://ngdc.cncb.ac.cn/omix/release/OMIX002520	True	False	False	False	False	lung
OMIX002525	PRJCA013670	Phosphoproteomics analysis of adipose tissue from mice with lung cancer induced cachexia	Mus musculus	Open	2024-03-18	https://ngdc.cncb.ac.cn/omix/release/OMIX002525	True	False	False	False	False	lung
OMIX002700	PRJCA008045	Single-cell atlases link macrophages and CD8+ T-cell subpopulations to disease progression and immunotherapy response in urothelial carcinoma	Homo sapiens	Open	2026-03-03	https://ngdc.cncb.ac.cn/omix/release/OMIX002700	False	True	False	False	False	ici
OMIX002797	PRJCA014383	A Randomized, Double-Blind, Multicenter, Phase III Study to Compare Clinical Efficacy and Safety of HLX10 (Recombinant Humanized Anti-PD-1 Monoclonal Antibody Injection) in Combination with Chemotherapy (Carboplatin-Etoposide) in Previously Untreated Patients with ES-SCLC	Homo sapiens	Open	2023-01-13	https://ngdc.cncb.ac.cn/omix/release/OMIX002797	True	True	False	False	False	lung+ici
OMIX002798	PRJCA014383	A Randomized, Double-Blind, Multicenter, Phase III Study to Compare Clinical Efficacy and Safety of HLX10 (Recombinant Humanized Anti-PD-1 Monoclonal Antibody Injection) in Combination with Chemotherapy (Carboplatin-Etoposide) in Previously Untreated Patients with ES-SCLC	Homo sapiens	Open	2023-01-13	https://ngdc.cncb.ac.cn/omix/release/OMIX002798	True	True	False	False	False	lung+ici
OMIX002849	PRJCA014099	PCR amplicon sequences	Bacteria	Open	2025-01-21	https://ngdc.cncb.ac.cn/omix/release/OMIX002849	False	False	False	True	False	mpr_keyword
OMIX002961	PRJCA014835	Association Of Variations In The CAT And Prognosis In Lung Cancer Patients With Platinum-based Chemotherapy	Homo sapiens	Open	2023-03-01	https://ngdc.cncb.ac.cn/omix/release/OMIX002961	True	False	False	False	False	lung
OMIX002974	PRJCA014947	Data from nCounter PanCancer IO360TM panel sequencing of a ALK rearranged locally advanced lung adenocarcinoma	Homo sapiens	Open	2023-08-15	https://ngdc.cncb.ac.cn/omix/release/OMIX002974	True	False	False	False	False	lung
OMIX003005	PRJCA014995	A systemic infection involved in lung, brain and spine caused by Scedosporium apiospermum species complex after near-drowning: a case report and literature review	Scedosporium apiospermum	Open	2024-04-01	https://ngdc.cncb.ac.cn/omix/release/OMIX003005	True	False	False	False	False	lung
OMIX003147	PRJCA015245	Human embryonic lung single-cell transcriptome data and spatial transcriptome data	Homo sapiens	Open	2024-06-20	https://ngdc.cncb.ac.cn/omix/release/OMIX003147	True	False	False	False	False	lung
OMIX003268	PRJCA015451	Development of multiplex drop-off digital PCR assays for hotspot mutation detection of KRAS, NRAS, BRAF and PIK3CA in the plasma of colorectal cancer patients	Homo sapiens	Open	2023-03-10	https://ngdc.cncb.ac.cn/omix/release/OMIX003268	False	False	False	True	False	mpr_keyword
OMIX003408	PRJCA015596	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O)	Homo sapiens	Open	2023-03-22	https://ngdc.cncb.ac.cn/omix/release/OMIX003408	False	True	False	False	False	ici
OMIX003417	PRJCA015596	A Phase III Randomised, Double-Blind, Placebo-Controlled, Multicentre Study of Durvalumab in Combination with Chemotherapy and Bevacizumab, Followed by Maintenance Durvalumab, Bevacizumab and Olaparib in Newly Diagnosed Advanced Ovarian Cancer Patients (DUO-O)	Homo sapiens	Open	2023-03-22	https://ngdc.cncb.ac.cn/omix/release/OMIX003417	False	True	False	False	False	ici
OMIX004036	PRJCA016919	Microbiota: Multiomics Profiling Uncovers Pan-Cancer T-Cell Dynamics in Immunotherapy Response	microbial eukaryotic metagenome	Open	2024-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX004036	False	True	False	False	False	ici
OMIX004037	PRJCA016919	Metabolomics: Multiomics Profiling Uncovers Pan-Cancer T-Cell Dynamics in Immunotherapy Response	microbial eukaryotic metagenome	Open	2024-09-12	https://ngdc.cncb.ac.cn/omix/release/OMIX004037	False	True	False	False	False	ici
OMIX004221	PRJCA017255	The targets of PCr in GSCs	Homo sapiens	Open	2024-03-21	https://ngdc.cncb.ac.cn/omix/release/OMIX004221	False	False	False	True	False	mpr_keyword
OMIX004444	PRJCA018003	Plasma metabolic signatures uncover therapeutic response and prognosis of third-generation EGFR-TKI treatment in patients with NSCLC-the proteomic data	Homo sapiens	Open	2024-07-18	https://ngdc.cncb.ac.cn/omix/release/OMIX004444	True	False	False	False	False	lung
OMIX004492	PRJCA018253	The recruitment of cDC1 by tumor-infiltrating CD4+ TRMs through the secretion of XCL1 is inhibited in non-small cell lung cancer	Homo sapiens environmental sample	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX004492	True	False	False	False	False	lung
OMIX004493	PRJCA018200	In vivo CRISPR screens identify receptor-interacting protein kinase 2 as an immunotherapy target in pancreatic cancer	Mus musculus	Open	2023-12-01	https://ngdc.cncb.ac.cn/omix/release/OMIX004493	False	True	False	False	False	ici
OMIX004609	PRJCA018452	Pathological sections detected by in situ hybridization (ISH) using the lung tissues from mock control hamsters	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004609	True	False	False	False	False	lung
OMIX004610	PRJCA018452	Pathological sections detected by immunohistochemistry (IHC) using the lung tissues from hamsters infected by SARS-CoV-2 for 5 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004610	True	False	False	False	False	lung
OMIX004611	PRJCA018452	Pathological sections detected by in situ hybridization (ISH) using the lung tissues from hamsters infected by SARS-CoV-2 for 5 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004611	True	False	False	False	False	lung
OMIX004612	PRJCA018452	Pathological sections stained by H&E using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004612	True	False	False	False	False	lung
OMIX004613	PRJCA018452	Pathological sections detected by immunohistochemistry (IHC) using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004613	True	False	False	False	False	lung
OMIX004614	PRJCA018452	Pathological sections detected by in situ hybridization (ISH) using the lung tissues from hamsters infected by SARS-CoV-2 for 7 days	Cricetinae	Open	2023-07-28	https://ngdc.cncb.ac.cn/omix/release/OMIX004614	True	False	False	False	False	lung
OMIX004625	PRJCA018452	PBS control of lung draining lymph nodes	Mus	Open	2026-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX004625	True	False	False	False	False	lung
OMIX004626	PRJCA018452	OC43 infected mouse lung draining lymph nodes	Mus	Open	2026-01-01	https://ngdc.cncb.ac.cn/omix/release/OMIX004626	True	False	False	False	False	lung
OMIX004639	PRJCA018645	Clinical Study Data of Short Course Chemotherapy Combined with Immunotherapy	Homo sapiens	Open	2025-01-06	https://ngdc.cncb.ac.cn/omix/release/OMIX004639	False	True	False	False	False	ici
OMIX004739	PRJCA019029	Spatially organized tumor-stroma boundary determines the efficacy of immunotherapy in colorectal cancer patients	Homo sapiens	Open	2023-12-30	https://ngdc.cncb.ac.cn/omix/release/OMIX004739	False	True	False	False	False	ici
OMIX004924	PRJCA018944	Multiomics analysis reveals novel biomarkers in the mouse model of pulmonary tuberculosis	Mus musculus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX004924	True	False	False	False	False	lung
OMIX004927	PRJCA018944	Multiomics analysis reveals novel biomarkers in the mouse model of pulmonary tuberculosis-proteomic	Mus musculus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX004927	True	False	False	False	False	lung
OMIX005011	PRJCA020136	Nanopore sequencing technology reveals pulmonary nocardiosis caused by Nocardia otitidiscaviarum in an immunocompetent patient	Nocardia otitidiscaviarum	Open	2023-09-27	https://ngdc.cncb.ac.cn/omix/release/OMIX005011	True	False	False	False	False	lung
OMIX005058	PRJCA020330	LTBR acts as an immune checkpoint of tumour-associated macrophages	Mus	Open	2023-10-08	https://ngdc.cncb.ac.cn/omix/release/OMIX005058	False	True	False	False	False	ici
OMIX005363	PRJCA021927	Metagenomic, transcriptomic, and proteomic sequencing of lung adenocarcinoma	Homo sapiens	Open	2024-08-03	https://ngdc.cncb.ac.cn/omix/release/OMIX005363	True	False	False	False	False	lung
OMIX005419	PRJCA022215	MXSGD alleviates CsA-induced hypoimmunity lung injury by regulating microflora metabolism	Mus	Open	2024-03-02	https://ngdc.cncb.ac.cn/omix/release/OMIX005419	True	False	False	False	False	lung
OMIX005434	PRJCA022226	SC-RNAseq of PD-L1 overexpressed MC38 tumor in C57/B6 mice	Mus	Open	2024-12-31	https://ngdc.cncb.ac.cn/omix/release/OMIX005434	False	True	False	False	False	ici
OMIX005626	PRJCA022530	mouse lung proteomics data	Mus	Open	2024-01-10	https://ngdc.cncb.ac.cn/omix/release/OMIX005626	True	False	False	False	False	lung
OMIX005710	PRJCA016745	Single-cell profiling revealed tumor heterogeneity and microenvironment in surgically resectable esophageal squamous cell carcinoma with neoadjuvant chemoimmunotherapy	Homo sapiens	Open	2024-01-23	https://ngdc.cncb.ac.cn/omix/release/OMIX005710	False	True	True	False	False	ici+neoadjuvant
OMIX006016	PRJCA024159	Phosphorylation of AGO2 by TBK1 Promotes the Formation of Oncogenic miRISC in NSCLC	Homo sapiens	Open	2024-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX006016	True	False	False	False	False	lung
OMIX006019	PRJCA024188	Twist1 SUMOylation Drives Chemotherapy Resistance in Human Lung Cancer	Homo sapiens	Open	2025-05-01	https://ngdc.cncb.ac.cn/omix/release/OMIX006019	True	False	False	False	False	lung
OMIX006024	PRJCA023536	Lipidome in lung tissues from PR8-infected mice	Mus musculus	Open	2024-03-19	https://ngdc.cncb.ac.cn/omix/release/OMIX006024	True	False	False	False	False	lung
