contrast	n	spearman_rho	spearman_p	note	bh_fdr
tumor_sites: epi TACSTD2 mean vs CD8 fraction	36	0.1061844393729781	0.5376512887290867		0.8874141822649811
tumor_sites: epi TACSTD2 mean vs NK fraction	36	-0.0123560074906738	0.9429820921226926		0.9576852410216188
tumor_sites: epi TACSTD2 mean vs B fraction	36	-0.0274148916199325	0.8738942931814373		0.9533392289252044
tumor_sites: epi TACSTD2 mean vs GC-B fraction	36	0.1825866061116123	0.2864920342210681		0.7579561360127278
tumor_sites: epi TACSTD2 mean vs T/NK fraction	36	0.1018083533866978	0.5546338639156132		0.8874141822649811
tumor_sites: epi TACSTD2 mean vs 12-chemokine TLS score	36	0.1612716394355656	0.3473965623391669		0.7579561360127278
tumor_sites: epi CLDN4 mean vs CD8 fraction	36	-0.3222651222651223	0.0552581287607596		0.26523901805164607
tumor_sites: epi CLDN4 mean vs NK fraction	36	-0.4023166023166024	0.0149954570233516		0.14781370486938902
tumor_sites: epi CLDN4 mean vs B fraction	36	-0.374002574002574	0.0246356174782315		0.14781370486938902
tumor_sites: epi CLDN4 mean vs GC-B fraction	36	-0.1259575663491003	0.4641704975580928		0.8620105236591067
tumor_sites: epi CLDN4 mean vs T/NK fraction	36	-0.3804375804375804	0.022085536517262		0.14781370486938902
tumor_sites: epi CLDN4 mean vs 12-chemokine TLS score	36	-0.2738738738738739	0.1060241366510541		0.3635113256607569
tLung: epi TACSTD2 mean vs CD8 fraction	11	0.3272727272727273	0.3258949410128415		0.7579561360127278
tLung: epi TACSTD2 mean vs NK fraction	11	-0.690909090909091	0.018565033381595		0.14781370486938902
tLung: epi TACSTD2 mean vs B fraction	11	0.1272727272727273	0.709214625773305		0.8994103154809777
tLung: epi TACSTD2 mean vs GC-B fraction	11	-0.1116581052478165	0.74378263022693		0.8994103154809777
tLung: epi TACSTD2 mean vs T/NK fraction	11	0.0545454545454545	0.8734465775233149		0.9533392289252044
tLung: epi TACSTD2 mean vs 12-chemokine TLS score	11	0.1090909090909091	0.7495085962341481		0.8994103154809777
tLung: epi CLDN4 mean vs CD8 fraction	11	0.2454545454545454	0.4669223669820161		0.8620105236591067
tLung: epi CLDN4 mean vs NK fraction	11	-0.5545454545454546	0.0766523333397824		0.3066093333591296
tLung: epi CLDN4 mean vs B fraction	11	0.0181818181818181	0.9576852410216188		0.9576852410216188
tLung: epi CLDN4 mean vs GC-B fraction	11	-0.1535298947157476	0.6522077974970911		0.8994103154809777
tLung: epi CLDN4 mean vs T/NK fraction	11	-0.3181818181818182	0.3402976141819033		0.7579561360127278
tLung: epi CLDN4 mean vs 12-chemokine TLS score	11	0.1090909090909091	0.7495085962341481		0.8994103154809777
