gene,Con_1|Control|count,Con_2|Control|count,Con_3|Control|count,Pem_1|Pembro|count,Pem_2|Pembro|count,Pem_3|Pembro|count,BJ_1|BJIKT|count,BJ_2|BJIKT|count,BJ_3|BJIKT|count,Combi_1|Combo|count,Combi_2|Combo|count,Combi_3|Combo|count,Con_1|Control|cpm,Con_2|Control|cpm,Con_3|Control|cpm,Pem_1|Pembro|cpm,Pem_2|Pembro|cpm,Pem_3|Pembro|cpm,BJ_1|BJIKT|cpm,BJ_2|BJIKT|cpm,BJ_3|BJIKT|cpm,Combi_1|Combo|cpm,Combi_2|Combo|cpm,Combi_3|Combo|cpm
TACSTD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDN4,421.0,397.0,247.0,610.0,498.0,377.0,452.0,793.0,543.0,959.0,775.0,1014.0,44.25578794224252,49.868338792681236,25.537631768234927,64.41898615498701,58.480150216482244,45.36196198547262,54.8695512836076,77.78262434258724,55.64968288904458,87.65704687705089,87.71530712467865,104.79974566941407
CD8A,0.0,8.0,3.0,1.0,0.0,16.0,5.0,7.0,0.0,12.0,0.0,0.0,0.0,1.0049035524973549,0.31017366520123396,0.10560489533604428,0.0,1.9251761054842491,0.6069640628717655,0.6866057634276301,0.0,1.0968556439255586,0.0,0.0
CD8B,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8048525988914836,0.0,0.0,0.0,0.0,0.0,0.0
CD3D,10.0,0.0,0.0,0.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0512063644238128,0.0,0.0,0.0,0.46972008206009835,6.497469356009341,0.0,0.0,0.0,0.0,0.0,0.0
CD3E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD3G,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8048525988914836,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,3.0,0.0,0.0,12.0,21.0,52.0,11.0,5.0,0.0,7.0,6.0,11.0,0.3153619093271438,0.0,0.0,1.2672587440325314,2.466030430815516,6.25682234282381,1.3353209383178841,0.49043268816259294,0.0,0.6398324589565758,0.6790862487071896,1.1368808701810205
EPCAM,0.0,5.0,0.0,23.0,22.0,17.0,36.0,6.0,23.0,38.0,44.0,45.0,0.0,0.6280647203108468,0.0,2.4289125927290183,2.583460451330541,2.045499612077015,4.370141252676712,0.5885192257951115,2.3571688884862345,3.4733762057642688,4.979965823852724,4.6508762871041744
KRT8,3426.0,1542.0,2130.0,1994.0,2852.0,2365.0,1498.0,3744.0,2022.0,4836.0,3286.0,3897.0,360.14330045159824,193.69515974386516,220.2233022928761,210.5761613000723,334.9104185088501,284.56509309189056,181.84643323638093,367.23599689614963,207.22589097909417,442.0328245020001,371.9129022086375,402.7658864632215
KRT18,4611.0,1588.0,2963.0,2601.0,3609.0,2516.0,1559.0,5679.0,2486.0,8920.0,4908.0,5610.0,484.71125463582007,199.47335517072494,306.3481899970854,274.67833276905117,423.8049440387237,302.7339425873982,189.25139480341647,557.0334472150731,254.77921116420777,815.3293619846652,555.492551442481,579.8092437923204
GZMB,3.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3153619093271438,0.0,0.0,0.0,0.0,5.053587276896154,0.0,0.0,0.0,0.0,0.0,0.0
PRF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45702318496898275,0.0,0.5167640319004638
ITGAE,372.0,495.0,415.0,550.0,201.0,499.0,438.0,397.0,683.0,404.0,459.0,491.0,39.10487675656584,62.178407310773835,42.90735701950403,58.08269243482435,23.603434123519943,60.04142978979002,53.17005190756666,38.94035544010988,69.99766742765644,36.92747334549381,51.9500980261,50.746227932625544
PDCD1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.842264546149359,0.0,0.0,0.0,0.0,0.0,0.0
LAG3,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016175329638279,0.0,0.0,0.30745681154168275,0.0,0.0,0.0
CD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXP3,85.0,54.0,87.0,56.0,33.0,37.0,28.0,105.0,53.0,170.0,58.0,92.0,8.935254097602408,6.7830989793571455,8.995036290835785,5.91387413881848,3.8751906769958113,4.4519697439323265,3.3989987520818867,10.299086451414452,5.431737003903062,15.538788288945414,6.564500404169499,9.508458186968534
CCL20,74.0,303.0,265.0,179.0,187.0,183.0,250.0,109.0,291.0,89.0,156.0,134.0,7.778927096736214,38.06072205083732,27.39867375944233,18.903276265151927,21.959413836309597,22.0192017064761,30.348203143588275,10.691432601944527,29.823310719543226,8.135012692447892,17.656242466386928,13.84927605493243
CXCL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL10,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2032350659276558,0.0,0.0,0.0,0.0,0.0,0.0
IFNG,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9251761054842491,0.0,0.0,0.0,0.0,0.0,0.0
