col,pdx,geo_sample_id,library_size,note
4,YHIM-1062,SJ1RNAHFF570729,30743311.840000015,
5,YHIM-1062,SJ1RNAHFF570728,30759520.1,
6,YHIM-1062,SJ1RNAHFF570726,22323997.919999987,
7,YHIM-1018,SJ1RNAMFF001488,22967331.000000026,
8,YHIM-1018,SJ1RNAMFF001403,25172260.13000003,
9,YHIM-1018,SJ1RNAMFF001401,26542685.96,
10,YHIM-2018,SJ1RNAMFF003595,23764338.039999973,
11,YHIM-2018,SJ1RNAMFF003591,24141621.97000002,
12,YHIM-2018,SJ1RNAMFF003522,21769528.889999956,
13,YHIM-2004,SJ1RNAMFF004645,16012090.049999986,
14,YHIM-2004,SJ1RNAMFF004644,18225367.059999995,possible_epithelial_dropout
15,YHIM-2004,SJ1RNAMFF004639,28032177.99999998,
16,YHIM-1013,SJ1RNAMFF262113,27808032.849999968,
17,YHIM-1013,SJ1RNAMFF262111,19022754.960000005,
18,YHIM-1013,SJ1RNAMFF262109,23043950.060000014,
