signature	role	n_genes	genes
Salcher_TRN	union_of_TAN_and_NAN	38	AGO4,ARG1,CCR3,CCRL2,CYP4F3,DDIT3,ERGIC1,FLOT1,FLOT2,FRAT2,HIF1A,IRAK2,LRP10,MAFF,MAP1LC3B2,MCOLN1,MGAM,MMP25,MSRB1,NBN,NDEL1,NFE2,NOD2,PADI4,PBX2,PHOSPHO1,PI3,PLAU,PPIF,RASGRP4,REPS2,SULT1B1,TGM3,TOM1,TSEN34,UBR5-AS1,XKR8,ZNF267
Salcher_NAN	normal-associated_neutrophils	20	AGO4,ARG1,CYP4F3,ERGIC1,FLOT2,FRAT2,LRP10,MGAM,MMP25,MSRB1,NDEL1,NFE2,PADI4,PBX2,PHOSPHO1,RASGRP4,REPS2,SULT1B1,TSEN34,XKR8
Salcher_TAN	tumor-associated_neutrophils	18	CCR3,CCRL2,DDIT3,FLOT1,HIF1A,IRAK2,MAFF,MAP1LC3B2,MCOLN1,NBN,NOD2,PI3,PLAU,PPIF,TGM3,TOM1,UBR5-AS1,ZNF267
Salcher_major_neutrophils	major_cell_type_signature	17	AC012368.1,ADGRE3,ADGRG3,BTNL8,CMTM2,CXCR1,CXCR2,CYP4F3,FCGR3B,KATNBL1,LINC00528,LINC01506,MBD6,MGAM,NFE4,PROK2,TNFRSF10C
Leader_LCAM_hi	mean_of_IgG_plasma_SPP1_mac_T_activated_subtype_scores	22	IGHG3,IGHG4,IGHG1,MZB1,FAM92B,SPAG4,DERL3,JSRP1,TBCEL,LINC01485,SLC2A5,SPP1,CCL7,HAMP,CXCL13,ZBED2,GNG4,KRT86,TNFRSF9,LAYN,GZMB,KIR2DL4
Leader_LCAM_lo	mean_of_B_AM_cDC2_AZU1_mac_cDC1_subtype_scores	41	GAPT,CTB-133G6.1,AKR1C3,RSPO3,MCEMP1,RND3,HP,FOLR3,GPD1,GS1-600G8.5,PCOLCE2,CAMP,CCL17,CD1B,CD1C,CD1E,PLD4,TRPC6,CLEC10A,FCER1A,PLA1A,CFP,CEACAM8,AZU1,PKP2,RETN,LYZ,ELANE,ATP6AP1L,RP6-159A1.4,THBS1,CFD,P2RY14,DNASE1L3,PTGER3,CST3,BATF3,CPVL,RGS18,SERPINF2,LGALS2
Leader_LCAM_hi_IgG_plasma	LCAM_hi_subtype	10	IGHG3,IGHG4,IGHG1,MZB1,FAM92B,SPAG4,DERL3,JSRP1,TBCEL,LINC01485
Leader_LCAM_hi_SPP1_mac	LCAM_hi_subtype	4	SLC2A5,SPP1,CCL7,HAMP
Leader_LCAM_hi_T_activated	LCAM_hi_subtype	8	CXCL13,ZBED2,GNG4,KRT86,TNFRSF9,LAYN,GZMB,KIR2DL4
Leader_LCAM_lo_B	LCAM_lo_subtype	2	GAPT,CTB-133G6.1
Leader_LCAM_lo_AM	LCAM_lo_subtype	10	AKR1C3,RSPO3,MCEMP1,RND3,HP,FOLR3,GPD1,GS1-600G8.5,PCOLCE2,CAMP
Leader_LCAM_lo_cDC2	LCAM_lo_subtype	10	CCL17,CD1B,CD1C,CD1E,PLD4,TRPC6,CLEC10A,FCER1A,PLA1A,CFP
Leader_LCAM_lo_AZU1_mac	LCAM_lo_subtype	10	CEACAM8,AZU1,PKP2,RETN,LYZ,ELANE,ATP6AP1L,RP6-159A1.4,THBS1,CFD
Leader_LCAM_lo_cDC1	LCAM_lo_subtype	9	P2RY14,DNASE1L3,PTGER3,CST3,BATF3,CPVL,RGS18,SERPINF2,LGALS2
