subset	x	y	n	rho	p
all_primary	TACSTD2_log2tpm	LCAM	992	-0.0410567	0.196344
all_primary	TACSTD2_log2tpm	TRN	992	0.220847	2.00609e-12
all_primary	TACSTD2_log2tpm	TAN	992	0.269178	6.29415e-18
all_primary	TACSTD2_log2tpm	NAN	992	0.117552	0.000206746
all_primary	TACSTD2_log2tpm	major_neutrophils	992	0.168153	9.96018e-08
all_primary	TACSTD2_log2tpm	leukocyte_fraction	989	-0.0285099	0.370446
all_primary	LCAM	TRN	992	-0.194937	5.96027e-10
all_primary	LCAM	leukocyte_fraction	989	0.15657	7.49082e-07
all_primary	TRN	leukocyte_fraction	989	0.0524311	0.0993689
LUAD	TACSTD2_log2tpm	LCAM	508	-0.084847	0.055993
LUAD	TACSTD2_log2tpm	TRN	508	0.33525	8.27242e-15
LUAD	LCAM	TRN	508	-0.140888	0.00145497
LUSC	TACSTD2_log2tpm	LCAM	484	-0.136683	0.00258326
LUSC	TACSTD2_log2tpm	TRN	484	0.135583	0.0027997
LUSC	LCAM	TRN	484	-0.248537	3.01003e-08
immune_low_Q1_leukocyte	TACSTD2_log2tpm	LCAM	248	0.0132735	0.835241
immune_low_Q1_leukocyte	TACSTD2_log2tpm	TRN	248	0.192324	0.00235112
immune_low_Q1_leukocyte	LCAM	TRN	248	-0.0252128	0.692763
immune_high_Q4_leukocyte	TACSTD2_log2tpm	LCAM	248	-0.0425388	0.504887
immune_high_Q4_leukocyte	TACSTD2_log2tpm	TRN	248	0.242491	0.0001147
immune_high_Q4_leukocyte	LCAM	TRN	248	-0.241862	0.000119639
trop2_high_Q4	TACSTD2_log2tpm	LCAM	248	0.166998	0.00841035
trop2_high_Q4	TACSTD2_log2tpm	TRN	248	-0.0840715	0.186966
trop2_high_Q4	LCAM	TRN	248	-0.19562	0.00196801
immune_low_and_trop2_high	TACSTD2_log2tpm	LCAM	63	0.212366	0.0947286
immune_low_and_trop2_high	TACSTD2_log2tpm	TRN	63	-0.154906	0.225421
immune_low_and_trop2_high	LCAM	TRN	63	-0.181932	0.153562
exclude_lowest10pct_leukocyte	TACSTD2_log2tpm	LCAM	890	-0.059341	0.0768296
exclude_lowest10pct_leukocyte	TACSTD2_log2tpm	TRN	890	0.227973	5.88725e-12
exclude_lowest10pct_leukocyte	LCAM	TRN	890	-0.215814	7.71124e-11
