sample_id,TACSTD2_expression_zscore,purity,IMSIG_B_CELLS,IMSIG_INTERFERON,IMSIG_MACROPHAGES,IMSIG_MONOCYTES,IMSIG_NEUTROPHILS,IMSIG_NK_CELLS,IMSIG_PLASMA_CELLS,IMSIG_T_CELLS,IMSIG_PROLIFERATION,IMSIG_TRANSLATION
A183,0.6293,0.38,0.055154,0.099536,0.101484,0.094311,0.087068,0.035941,0.102029,0.082562,0.088166,0.130849
A185,0.3604,0.34,0.054882,0.098017,0.104452,0.09733,0.093404,0.026549,0.082673,0.077242,0.066602,0.137537
A186,-1.1809,0.34,0.064277,0.100497,0.105357,0.099582,0.088741,0.031788,0.079749,0.092048,0.082492,0.132714
A187,0.4016,0.22,0.058464,0.096791,0.087169,0.085387,0.083026,0.031835,0.085114,0.080006,0.088324,0.141814
A188,0.4965,0.28,0.074917,0.096599,0.101326,0.09862,0.087259,0.037675,0.111978,0.089114,0.062647,0.139625
A190,0.9813,0.51,0.055504,0.093498,0.094394,0.09359,0.092435,0.024597,0.092442,0.073687,0.084305,0.131228
A191,0.1255,0.62,0.058049,0.08734,0.092106,0.086742,0.087067,0.02383,0.103702,0.071954,0.060683,0.135086
A192,0.3794,0.2,0.059968,0.102673,0.099916,0.095367,0.086802,0.033899,0.088208,0.082281,0.080572,0.135641
A193,-0.2251,0.17,0.075555,0.099872,0.097644,0.092294,0.090419,0.045923,0.108362,0.085261,0.090095,0.136597
A194,-0.7036,0.15,0.060135,0.094792,0.10021,0.100816,0.092524,0.043293,0.095428,0.087753,0.070454,0.134408
A195,-1.5974,0.29,0.054111,0.091558,0.110722,0.10705,0.100562,0.03455,0.084818,0.08527,0.072081,0.134363
A196,-0.9579,0.29,0.068559,0.096088,0.107281,0.098918,0.089381,0.038971,0.092854,0.087811,0.069711,0.131252
A197,-0.4247,0.6,0.044102,0.096114,0.089862,0.085886,0.087972,0.029378,0.074214,0.071685,0.097765,0.132494
A198,-1.1726,0.47,0.055213,0.094677,0.102699,0.095581,0.088068,0.034001,0.096414,0.079818,0.067078,0.13461
A199,0.027,0.15,0.052883,0.103131,0.107348,0.101767,0.091617,0.040376,0.061466,0.085252,0.073931,0.130272
A200,0.8481,0.63,0.047442,0.092884,0.085842,0.083322,0.08296,0.025638,0.088976,0.068152,0.093704,0.127158
A201,-0.846,0.37,0.079577,0.092262,0.097105,0.094984,0.085582,0.045767,0.116676,0.089049,0.05519,0.133248
A202,0.2027,0.74,0.042012,0.088851,0.084174,0.083308,0.081584,0.023695,0.080444,0.071886,0.067762,0.133363
A203,-0.187,0.23,0.074964,0.099647,0.097815,0.092209,0.088205,0.032452,0.083532,0.091036,0.081484,0.131429
A204,-0.6554,0.78,0.044498,0.102313,0.081105,0.076914,0.071448,0.021992,0.082664,0.069315,0.062028,0.139459
A205,-0.5366,0.17,0.064825,0.101088,0.103204,0.101366,0.096011,0.047581,0.080425,0.087825,0.069116,0.132587
A206,0.0995,0.22,0.068275,0.109826,0.106212,0.099047,0.087909,0.037644,0.099952,0.090051,0.074333,0.131311
A207,0.4722,0.27,0.047231,0.091214,0.092161,0.091143,0.092277,0.029963,0.072464,0.067814,0.082579,0.134118
A208,0.4702,0.25,0.048237,0.108619,0.09546,0.093995,0.090214,0.040727,0.077264,0.078632,0.07764,0.134912
A209,-3.3394,0.24,0.097657,0.097134,0.117702,0.113049,0.09743,0.050072,0.113723,0.106782,0.058468,0.138968
A210,-0.3412,0.32,0.062186,0.097047,0.096446,0.094514,0.086577,0.035437,0.095317,0.078533,0.088096,0.140443
A211,-0.6733,0.23,0.064331,0.100409,0.107131,0.105841,0.102209,0.049853,0.07,0.089753,0.064194,0.130528
A212,-0.2971,0.15,0.055367,0.100944,0.10456,0.103977,0.098654,0.036955,0.085604,0.086013,0.052495,0.131279
A213,-1.3635,0.22,0.065128,0.094966,0.100576,0.09787,0.090756,0.029477,0.075515,0.083811,0.064973,0.133271
A215,-0.3894,0.28,0.061826,0.101836,0.098575,0.100815,0.097563,0.063231,0.084687,0.088085,0.058748,0.129213
A216,0.2338,0.37,0.053438,0.100815,0.092776,0.093536,0.089811,0.042189,0.101152,0.076135,0.090522,0.13558
A217,0.2615,0.36,0.048375,0.097917,0.098902,0.09528,0.087013,0.032706,0.063419,0.08002,0.0606,0.131618
A218,-1.5925,0.2,0.086864,0.099293,0.105193,0.101183,0.093999,0.04986,0.115973,0.096693,0.075565,0.133916
A219,1.1376,0.41,0.03832,0.091194,0.094707,0.095941,0.084134,0.019721,0.071919,0.06812,0.073248,0.129289
A220,-0.7142,0.33,0.061371,0.095949,0.096566,0.093805,0.084578,0.033455,0.084398,0.080625,0.081113,0.13265
A221,-0.9305,0.3,0.050757,0.101595,0.101054,0.100892,0.09709,0.050101,0.072584,0.083802,0.054852,0.128921
A222,-0.0004,0.34,0.072899,0.094733,0.091454,0.090284,0.089145,0.028778,0.092136,0.084085,0.064454,0.130445
A274,-0.3584,0.26,0.054284,0.103312,0.098174,0.094637,0.088914,0.040034,0.09057,0.079887,0.071459,0.127777
A275,0.8406,0.17,0.059542,0.105946,0.101519,0.098509,0.090606,0.031576,0.092484,0.080371,0.085941,0.127707
A276,-1.3065,0.19,0.076658,0.099271,0.107279,0.104236,0.093737,0.03262,0.105458,0.089054,0.075055,0.131315
A277,0.3195,0.83,0.049691,0.088893,0.081104,0.077898,0.074471,0.025367,0.090165,0.071768,0.061683,0.139431
A278,-0.8766,0.34,0.072417,0.097396,0.103836,0.101957,0.092029,0.037383,0.110228,0.087455,0.070194,0.134121
A279,0.4834,0.17,0.056442,0.101857,0.097568,0.09626,0.088054,0.033504,0.082003,0.07989,0.073981,0.128431
A280,0.4268,0.5,0.061068,0.091809,0.095746,0.093977,0.087874,0.03547,0.097466,0.081195,0.059385,0.134742
A281,-0.9784,0.21,0.057978,0.101497,0.110272,0.105245,0.091375,0.038567,0.09745,0.089691,0.066473,0.136581
A282,-1.5391,0.6,0.059125,0.100818,0.096564,0.092384,0.080955,0.0265,0.105526,0.079935,0.070385,0.13437
A283,-0.541,0.17,0.061889,0.101276,0.106634,0.103752,0.099731,0.053326,0.078865,0.09147,0.065061,0.131926
A284,-1.1705,0.33,0.04982,0.106573,0.099749,0.098844,0.089075,0.028436,0.073364,0.078031,0.074407,0.128137
A285,-1.3054,0.31,0.073618,0.107822,0.100858,0.09646,0.089286,0.041636,0.111777,0.08914,0.077676,0.129034
A214,0.6427,0.33,0.070725,0.096519,0.102862,0.105831,0.097901,0.062648,0.092908,0.090758,0.06266,0.143201
A234,-0.8895,0.29,0.069428,0.094365,0.102546,0.099456,0.092339,0.034177,0.078989,0.087086,0.067836,0.13501
A138,-0.9407,0.24,0.048184,0.098383,0.097744,0.096011,0.091134,0.039818,0.068897,0.079751,0.054148,0.132764
A006,-0.5094,0.1,0.05695,0.104109,0.102252,0.101519,0.097747,0.052781,0.074033,0.086716,0.059053,0.130816
A258,0.0807,0.2,0.056852,0.106515,0.102042,0.098899,0.092267,0.044969,0.07941,0.085555,0.069774,0.130564
A259,-0.2426,0.33,0.048542,0.093298,0.094413,0.091143,0.08561,0.02105,0.081134,0.073211,0.061787,0.134463
A260,-4.6656,0.5,0.056448,0.105925,0.085223,0.083035,0.075787,0.028839,0.090636,0.071331,0.087131,0.139071
A261,1.0849,0.35,0.057947,0.108166,0.093353,0.091498,0.091778,0.028471,0.092304,0.072364,0.087256,0.132861
A262,0.2005,0.86,0.048162,0.100465,0.085068,0.08238,0.078193,0.023702,0.087876,0.068436,0.06823,0.13865
A263,-0.5474,0.72,0.052308,0.096422,0.096425,0.090475,0.086872,0.030624,0.076481,0.080225,0.071586,0.142654
A264,-1.7025,0.26,0.073074,0.103112,0.115051,0.109716,0.098653,0.047287,0.095118,0.094063,0.065379,0.135133
A265,0.0955,0.18,0.068126,0.094609,0.105089,0.10155,0.088825,0.040423,0.094635,0.091517,0.068186,0.133068
A266,-1.2715,0.19,0.077621,0.105228,0.100058,0.094839,0.088769,0.046667,0.104628,0.088167,0.083906,0.138303
