tumor_gene	metric	axis	n_donors	spearman_rho	p_value	q_value_BH
ASCL1	detect_frac	frac_immune	20	-0.1263157894736842	0.5956535128148984	0.9646935764020765
ASCL1	detect_frac	frac_tcell	20	-0.11278195488721804	0.6359170579042354	0.9646935764020765
ASCL1	mean	frac_immune	20	-0.05714285714285714	0.8108800461568324	0.9646935764020765
ASCL1	mean	frac_tcell	20	-0.05563909774436089	0.8157739948259725	0.9646935764020765
CLDN4	detect_frac	frac_immune	20	-0.20150375939849624	0.39426050476127356	0.9646935764020765
CLDN4	detect_frac	frac_tcell	20	-0.1819548872180451	0.4426210667757499	0.9646935764020765
CLDN4	mean	frac_tcell	20	-0.05413533834586466	0.8206745196973448	0.9646935764020765
CLDN4	mean	frac_immune	20	-0.02857142857142857	0.9048224147367736	0.9648553798812657
NEUROD1	mean	frac_tcell	20	0.09251598999502234	0.6980625600802786	0.9646935764020765
NEUROD1	mean	frac_immune	20	0.08273787723132078	0.7287525669081271	0.9646935764020765
NEUROD1	detect_frac	frac_tcell	20	0.02030838804768783	0.9322755481951736	0.9648553798812657
NEUROD1	detect_frac	frac_immune	20	0.010530275283986283	0.9648553798812657	0.9648553798812657
POU2F3	mean	frac_immune	20	-0.09242689474922322	0.6983402532589961	0.9646935764020765
POU2F3	mean	frac_tcell	20	-0.0893965047574454	0.7078071804402408	0.9646935764020765
POU2F3	detect_frac	frac_immune	20	-0.046971044872556066	0.8441068793518169	0.9646935764020765
POU2F3	detect_frac	frac_tcell	20	-0.046971044872556066	0.8441068793518169	0.9646935764020765
TACSTD2	mean	frac_immune	20	0.5157894736842105	0.019919763459703678	0.27523078914376375
TACSTD2	mean	frac_tcell	20	0.4796992481203006	0.03232606920021421	0.27523078914376375
TACSTD2	detect_frac	frac_immune	20	0.42255639097744363	0.06344083999820868	0.27523078914376375
TACSTD2	detect_frac	frac_tcell	20	0.41503759398496237	0.06880769728594094	0.27523078914376375
YAP1	mean	frac_immune	20	0.46917293233082696	0.03689655918142919	0.27523078914376375
YAP1	mean	frac_tcell	20	0.43458646616541347	0.05551879139596905	0.27523078914376375
YAP1	detect_frac	frac_immune	20	0.3969924812030075	0.08307130670785144	0.2848159087126335
YAP1	detect_frac	frac_tcell	20	0.3684210526315789	0.10996436611637704	0.32989309834913116
