Cell_Line,Cancer_type,n,mean,median,rank,is_lung,gene
UPPL1541,Bladder carcinoma,8,8.339186463963292,8.33271251746024,1,False,Tacstd2
BBN963,Bladder carcinoma,4,8.209594779895262,8.209594779895262,2,False,Tacstd2
M6,Mammary adenocarcinoma,31,5.700628092700518,6.306572199181126,3,False,Tacstd2
p53-T1,"Mammary cancer, NOS",1,5.380394740719656,5.380394740719656,4,False,Tacstd2
Py230,Mammary adenocarcinoma,9,5.259740985775595,5.4945712005717615,5,False,Tacstd2
HRM1,Mammary carcinoma,4,5.243941544385283,5.1877968259655365,6,False,Tacstd2
p53-T2,"Mammary cancer, NOS",1,4.5009680426501,4.5009680426501,7,False,Tacstd2
p53-9263-3,"Mammary cancer, NOS",5,4.448093099801328,4.393996086312659,8,False,Tacstd2
p53-2224,"Mammary cancer, NOS",1,4.4148524392290645,4.4148524392290645,9,False,Tacstd2
TSAE1,Mammary adenocarcinoma,4,3.8337616709639097,3.7300037056883517,10,False,Tacstd2
p53-2225L,"Mammary cancer, NOS",14,3.6822776712083076,3.8726868293748256,11,False,Tacstd2
YTN2,Gastric adenocarcinoma,15,3.4511369301376837,3.103894389225177,12,False,Tacstd2
Met1,Mammary carcinoma,32,3.2215947717818385,3.7220363545920825,13,False,Tacstd2
4T1,Mammary carcinoma,71,3.14035761289431,2.7935832237878384,14,False,Tacstd2
p53-T6,"Mammary cancer, NOS",1,3.1203529357846405,3.1203529357846405,15,False,Tacstd2
YTN16,Gastric adenocarcinoma,17,3.0262343611818396,2.163338674423407,16,False,Tacstd2
Mvt1,Mammary carcinoma,25,2.9169773267242745,3.020037160884184,17,False,Tacstd2
KPB25L,"Mammary cancer, NOS",34,2.9066920196616404,3.1427804022157044,18,False,Tacstd2
F311,Mammary carcinoma,4,2.507145637717262,2.3508267882649907,19,False,Tacstd2
6DT1,Mammary carcinoma,23,2.035998079129495,2.360112801450974,20,False,Tacstd2
R3T,"Mammary cancer, NOS",4,1.9977994126872387,1.5236088156122305,21,False,Tacstd2
YUMM1.7,Melanoma,4,1.6993423376317844,1.355812616034412,22,False,Tacstd2
Hepa1-6,Hepatocellular carcinoma,4,1.655241299463912,1.7113890743351785,23,False,Tacstd2
KCP,Pancreatic ductal adenocarcinoma,2,1.4998949113256819,1.4998949113256819,24,False,Tacstd2
NDL(UCD),Mammary carcinoma,3,1.1468103702220334,1.142522575340996,25,False,Tacstd2
p53-T7,"Mammary cancer, NOS",1,0.6293071887117837,0.6293071887117837,26,False,Tacstd2
AB1,Mesothelioma,24,0.6258525538481353,0.34754134448663365,27,False,Tacstd2
402230,Sarcoma,8,0.5697079169503312,0.408206250130572,28,False,Tacstd2
GL261,Glioblastoma multiforme,17,0.5447738844737575,0.1138015976107775,29,False,Tacstd2
HGS2,Ovarian carcinoma,4,0.5389375440649369,0.4606608901167137,30,False,Tacstd2
E0771,Mammary adenocarcinoma,15,0.5337246927584609,0.3675366606736664,31,False,Tacstd2
CMT-167,Lung carcinoma,3,0.5233147164616926,0.526732899642473,32,True,Tacstd2
CT26,Colorectal carcinoma,36,0.5043659637608185,0.11465822571771042,33,False,Tacstd2
4T07,Mammary carcinoma,6,0.47594822200148806,0.48643936254578257,34,False,Tacstd2
KPC,Pancreatic ductal adenocarcinoma,4,0.43639946237643007,0.24335642405538088,35,False,Tacstd2
HGS4,Ovarian carcinoma,5,0.4165566405062564,0.029157425514883904,36,False,Tacstd2
D2A1,Mammary carcinoma,4,0.3985794573057717,0.459206878985849,37,False,Tacstd2
Py8119,Mammary adenocarcinoma,2,0.378573280414378,0.378573280414378,38,False,Tacstd2
Renca,Renal adenocarcinoma,27,0.36287972734110563,0.39135529270050873,39,False,Tacstd2
MCA205,Sarcoma,4,0.3563201266029397,0.04865882710460621,40,False,Tacstd2
LLC,Lung carcinoma,31,0.25379108844260173,0.1827375550189289,41,True,Tacstd2
D3UV2,Melanoma,3,0.24713071252132443,0.2406232925192315,42,False,Tacstd2
MB49,Bladder carcinoma,8,0.24049918836214257,0.23258311469178114,43,False,Tacstd2
B16,Melanoma,64,0.23379970569793349,0.0,44,False,Tacstd2
p53-2153F,"Mammary cancer, NOS",4,0.2209104877374112,0.27163954049961236,45,False,Tacstd2
T11,"Mammary cancer, NOS",36,0.1922787453979316,0.1428747782461707,46,False,Tacstd2
67NR,Mammary carcinoma,6,0.18745558158762754,0.10618327999433344,47,False,Tacstd2
EMT6,Mammary carcinoma,14,0.18623057631607134,0.1227356450539292,48,False,Tacstd2
HGS1,Ovarian carcinoma,3,0.1838006247811079,0.11546345626314654,49,False,Tacstd2
A20,Follicular dendritic cell sarcoma (B lymphocyte),15,0.12187827198160053,0.0,50,False,Tacstd2
p53-2245,"Mammary cancer, NOS",1,0.11931898856392335,0.11931898856392335,51,False,Tacstd2
p53-2336R,"Mammary cancer, NOS",11,0.11035171248872176,0.02727155769798867,52,False,Tacstd2
BNL-MEA,Hepatocellular carcinoma,11,0.10202004941448745,0.07667538165257641,53,False,Tacstd2
30200,Ovarian carcinoma,4,0.09108760796537757,0.08362649174793413,54,False,Tacstd2
p53-T12,"Mammary cancer, NOS",1,0.05188435023914154,0.05188435023914154,55,False,Tacstd2
D4M.3A.3,Melanoma,3,0.049577902420544134,0.0,56,False,Tacstd2
6419c5,Pancreatic ductal adenocarcinoma,4,0.04938059291377121,0.038142721404457895,57,False,Tacstd2
5,Glioblastoma multiforme,3,0.048430561959772855,0.03552256564157613,58,False,Tacstd2
MC38,Colorectal carcinoma,13,0.04287344811500494,0.0,59,False,Tacstd2
HGS3,Ovarian carcinoma,4,0.04119231807033452,0.03569852541367974,60,False,Tacstd2
60577,Ovarian carcinoma,5,0.035200529956087606,0.0,61,False,Tacstd2
P815,Mastocytoma,2,0.008641709351485664,0.008641709351485664,62,False,Tacstd2
CT-2A,Glioblastoma multiforme,3,0.0,0.0,63,False,Tacstd2
RM-1,Prostate carcinoma,2,0.0,0.0,64,False,Tacstd2
Mut3,Glioblastoma multiforme,3,0.0,0.0,65,False,Tacstd2
