Study_ID,Cell_Line,ICB,Mouse_treatment,Cell_genotype,Implantation,n,Tacstd2_mean,Tacstd2_median,Cldn4_mean,Cldn4_median,Actb_mean,Actb_median,Epcam_mean,Epcam_median,Cd8a_mean,Cd8a_median
GSE100412,CMT-167,0,no_treatment,luciferase,orthotopic,3,0.5233147164616926,0.526732899642473,1.731915116043296,1.8632181121352107,11.244025262519225,11.644441269706192,0.4577777442590323,0.4742273143770685,0.15041707019668202,0.1707519095747354
GSE100412,LLC,0,no_treatment,luciferase,orthotopic,5,0.3752717279098152,0.41405579236290857,0.45235825716023886,0.3326538208472947,10.97594062899109,10.854596998234298,0.10983147611957275,0.13240209701236322,0.15028243902812846,0.0
GSE115109,LLC,0,SRX3207,WT,subcutaneous,2,0.442822870712597,0.442822870712597,0.3745255539518257,0.3745255539518257,12.629430860402849,12.629430860402849,0.3912775387554441,0.3912775387554441,2.2497864008574604,2.2497864008574604
GSE115109,LLC,0,no_treatment,WT,subcutaneous,4,0.08323872218664047,0.08366347058440288,0.04681990899672604,0.054993203493732754,12.834484443819749,12.834484443819749,0.0681066203666635,0.07816937371024851,0.5825558559897926,0.5922288941525369
GSE115109,LLC,0,vehicle,WT,subcutaneous,2,0.19766199341860485,0.19766199341860485,0.05805644739242096,0.05805644739242096,12.99257749788525,12.99257749788525,0.30471417701120257,0.30471417701120257,1.5476088241009816,1.5476088241009816
GSE131271,LLC,0,no_treatment,Socs1_knockdown,orthotopic,3,0.0,0.0,0.4237192163356093,0.0,10.364516186297742,10.321816178479285,0.0,0.0,0.0,0.0
GSE131271,LLC,0,no_treatment,WT,orthotopic,3,0.40138935504836387,0.0,0.0,0.0,10.553375593453113,10.588721655172472,0.0,0.0,0.0,0.0
GSE148101,LLC,0,no_treatment,WT,intravenous,2,0.24159816982310556,0.24159816982310556,0.01780170462530106,0.01780170462530106,11.176584001962084,11.176584001962084,0.09146694633811678,0.09146694633811678,0.12382686847579893,0.12382686847579893
GSE155972,LLC,0,no_treatment,Setdb1_KO,subcutaneous,10,0.280343344441477,0.17748475963731541,0.2672010359017242,0.1374233499054599,11.5897245041425,11.827898146410622,0.5467552084724512,0.46283413428972475,3.0296209764523025,3.1182129486117
GSE155972,LLC,0,no_treatment,WT,subcutaneous,10,0.15694832791755037,0.07891508807559125,0.12803456322983153,0.09298704510344086,11.682726582166302,11.883551979291882,0.24571679021726536,0.2022069590824419,1.8261982070068963,1.7765036061463055
GSE155972,LLC,1,antiPD1; antiCTL4;,Setdb1_KO,subcutaneous,7,1.004972502977412,0.2987558961371197,0.6008010386252162,0.13844914882694304,11.2991113166303,11.384628633549504,0.8456754113651626,0.3150851156960696,4.49447288959016,4.4879104320462675
GSE155972,LLC,1,antiPD1; antiCTL4;,WT,subcutaneous,6,0.28954265590410827,0.29784996963644506,0.2087281022020067,0.20070759537315325,11.037721579385087,11.09370654411132,0.22961937700279444,0.1897703115366159,4.15751345555355,4.043992851956355
GSE71491,LLC,0,cyclophosphamide,WT,subcutaneous,2,0.13909204500951697,0.13909204500951697,0.04505192546814735,0.04505192546814735,13.49640498883842,13.49640498883842,0.01681145534561697,0.01681145534561697,0.0,0.0
GSE71491,LLC,0,no_treatment,WT,subcutaneous,2,0.2641440940112142,0.2641440940112142,0.521418585894448,0.521418585894448,13.49640498883842,13.49640498883842,0.14292227070162017,0.14292227070162017,0.018233964659937575,0.018233964659937575
GSE80678,LLC,0,no_treatment,luciferase,subcutaneous,2,0.02495853638387081,0.02495853638387081,0.02495853638387081,0.02495853638387081,11.883551979291882,11.883551979291882,0.02495853638387081,0.02495853638387081,0.02495853638387081,0.02495853638387081
GSE84535,LLC,0,no_treatment,WT,subcutaneous,6,0.5338403921774605,0.5032190456083716,0.07437731678996108,0.015067507433404227,13.150670551950752,13.15067055195075,0.19121936241126195,0.19308010379976973,0.6396868531282552,0.6277404943053156
GSE98672,LLC,0,no_treatment,WT,subcutaneous,2,0.18506967963311072,0.18506967963311072,0.0,0.0,11.025484656557461,11.025484656557461,0.05612772960507578,0.05612772960507578,0.2664678753440952,0.2664678753440952
