cohort	cancer	ici	accession	in_lee2024_data_s1	processed_matrix_open	response_open	cldn4_recomputed
VanAllen	melanoma	ipilimumab	phs000452; open reprocess skcm_dfci_2015	True	True	True	True
Liu	melanoma	nivolumab or pembrolizumab	open reprocess mel_dfci_2019 (Lee zenodo 4661265 blocked from this environment)	True	True	True	True
Gide	melanoma	anti-PD-1 +/- anti-CTLA-4	PRJEB23709 FASTQ; open reprocess mel_iatlas_gide_2019	True	True	True	True
Hugo	melanoma	pembrolizumab	GSE78220	True	True	True	True
Jung	NSCLC	anti-PD-1/PD-L1	GSE135222	True	True	True	True
Kim	gastric	pembrolizumab	PRJEB25780	True	False	True	False
Mariathasan	urothelial	atezolizumab	IMvigor210CoreBiologies; open reprocess blca_iatlas_imvigor210_2017	True	True	True	True
Prat	melanoma (panel also has lung and HNSCC)	nivolumab or pembrolizumab	GSE93157	True	True	True	False
Cho	NSCLC	nivolumab	GSE126044	True	True	True	True
Sade-Feldman	melanoma	anti-PD-1 or anti-CTLA-4	GSE120575	True	True	True	False
Jerby-Arnon	melanoma	anti-PD-1 or anti-CTLA-4	GSE115978	True	True	resistant vs untreated, not RECIST R/NR	False
POPLAR+OAK (Bessede 2024)	NSCLC	atezolizumab vs docetaxel	EGA EGAS00001005013; DAC EGAC00001002120	False	False	False	False
BIP (Bessede 2024)	NSCLC	ICI	NCT02534649; not deposited	False	False	False	False
