gene	contrast	mean_KD	mean_CTRL	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
C14orf178	siRNA1_vs_negctrl	6.81621	6.46754	0.348666	12.5605	25.4072	3.08641e-10	2.76019e-06	0.016044	3	9
TNNI3	siRNA1_vs_negctrl	11.3677	10.5	0.867689	12.7004	24.5825	3.67672e-10	2.76019e-06	0.00909091	3	9
PPAT	siRNA1_vs_negctrl	11.1298	11.8867	-0.756894	-12.3362	-25.1456	4.61416e-10	2.76019e-06	0.00909091	3	9
MAGEB6	siRNA1_vs_negctrl	7.87651	6.83289	1.04362	12.4239	25.5979	6.82889e-10	3.06378e-06	0.00909091	3	9
MUC13	siRNA1_vs_negctrl	7.8351	6.85203	0.983069	11.3065	21.7742	1.35462e-09	4.49297e-06	0.00909091	3	9
TCAM1	siRNA1_vs_negctrl	7.81425	7.05615	0.758108	10.5298	20.7489	1.50216e-09	4.49297e-06	0.00909091	3	9
KCTD20	siRNA1_vs_negctrl	9.75768	10.8509	-1.09324	-17.7715	-32.0201	1.75477e-09	4.49874e-06	0.00909091	3	9
NGFR	siRNA1_vs_negctrl	11.375	13.216	-1.84101	-10.687	-21.8988	2.14189e-09	4.8048e-06	0.00909091	3	9
AGFG2	siRNA1_vs_negctrl	9.03639	9.74508	-0.70869	-9.98362	-19.2741	4.08164e-09	8.1388e-06	0.00909091	3	9
DBNDD2	siRNA1_vs_negctrl	12.7068	13.3073	-0.600439	-9.78096	-18.9236	4.63327e-09	8.31486e-06	0.00909091	3	9
LRIG1	siRNA1_vs_negctrl	10.6744	11.6951	-1.02061	-9.49664	-18.216	8.26286e-09	1.34805e-05	0.00909091	3	9
E2F8	siRNA1_vs_negctrl	8.2136	9.43666	-1.22306	-10.3353	-19.4154	9.8193e-09	1.43693e-05	0.00909091	3	9
ADCK2	siRNA1_vs_negctrl	11.3856	10.96	0.425633	8.92957	18.2543	1.04091e-08	1.43693e-05	0.00909091	3	9
FKBP1B	siRNA1_vs_negctrl	10.439	10.1833	0.255663	8.89544	17.1491	1.28386e-08	1.46722e-05	0.00909091	3	9
MAN1A1	siRNA1_vs_negctrl	9.29548	7.97322	1.32225	8.36648	16.7337	1.32733e-08	1.46722e-05	0.00909091	3	9
SAA4	siRNA1_vs_negctrl	6.9142	8.08097	-1.16677	-8.36501	-16.564	1.34839e-08	1.46722e-05	0.00909091	3	9
CPNE3	siRNA1_vs_negctrl	11.4462	11.0178	0.428421	9.52217	19.9162	1.58632e-08	1.46722e-05	0.00909091	3	9
MRPL50	siRNA1_vs_negctrl	13.4252	12.8214	0.603823	8.77802	16.8792	1.58725e-08	1.46722e-05	0.00909091	3	9
NEFH	siRNA1_vs_negctrl	8.06299	7.37673	0.686257	10.3722	21.9548	1.65183e-08	1.46722e-05	0.00909091	3	9
ALB	siRNA1_vs_negctrl	10.5954	7.99216	2.60328	12.4693	22.6023	1.76523e-08	1.46722e-05	0.00909091	3	9
TSPAN5	siRNA1_vs_negctrl	13.9049	12.6672	1.23767	11.2388	20.6328	1.7971e-08	1.46722e-05	0.00909091	3	9
NRM	siRNA1_vs_negctrl	9.91261	10.3218	-0.409146	-8.33934	-16.2376	1.79866e-08	1.46722e-05	0.00909091	3	9
C21orf122	siRNA1_vs_negctrl	9.19781	8.48844	0.709372	10.3385	19.1293	2.26114e-08	1.76428e-05	0.00909091	3	9
FLJ40125	siRNA1_vs_negctrl	11.7069	10.7659	0.940926	12.6128	22.6893	2.67494e-08	2.00019e-05	0.00909091	3	9
ZNF558	siRNA1_vs_negctrl	10.5854	10.1134	0.472068	8.21576	16.9742	3.20361e-08	2.28835e-05	0.00909091	3	9
RAB14	siRNA1_vs_negctrl	10.3572	11.0281	-0.670923	-7.52668	-15.0368	3.64783e-08	2.28835e-05	0.00909091	3	9
NCRNA00094	siRNA1_vs_negctrl	12.9606	12.3698	0.590818	11.5238	20.8443	3.73681e-08	2.28835e-05	0.00909091	3	9
PARP16	siRNA1_vs_negctrl	11.0238	9.95328	1.0705	7.9742	16.4316	3.79013e-08	2.28835e-05	0.00909091	3	9
TALDO1	siRNA1_vs_negctrl	14.8972	15.3955	-0.498251	-7.56305	-14.8831	3.79193e-08	2.28835e-05	0.00909091	3	9
LOC100132832	siRNA1_vs_negctrl	9.0561	8.6468	0.409298	7.85887	16.1346	3.8254e-08	2.28835e-05	0.00909091	3	9
LARP5	siRNA1_vs_negctrl	9.72452	10.6835	-0.959017	-7.56221	-15.3579	4.14646e-08	2.34459e-05	0.00909091	3	9
AURKA	siRNA1_vs_negctrl	13.5362	13.9668	-0.430631	-7.78313	-15.0462	4.1807e-08	2.34459e-05	0.00909091	3	9
BAZ1A	siRNA1_vs_negctrl	9.74259	10.32	-0.577402	-7.38787	-14.9437	4.82011e-08	2.62126e-05	0.00909091	3	9
