set_name	n_genes_in_set	n_genes_measured	n_samples_a	n_samples_b	group_a	group_b	sample_score_a	sample_score_b	sample_delta	sample_t	sample_p	sample_cohens_d	comp_median_t_in_set	comp_median_t_background	comp_mannwhitney_p	comp_n_genes_tested	comp_median_log2FC_in_set	sample_q_BH	comp_q_BH
TIGHT_JUNCTION_CORE	36	23	4	3	TACSTD2_KO	WT	0.118792	-0.158389	0.277181	1.14424	0.309848	0.873152	0.342837	-0.056826	0.190386	23	0.117297	0.714455	0.356974
CLAUDIN_FAMILY	22	8	4	3	TACSTD2_KO	WT	0.207807	-0.277076	0.484883	1.67479	0.177244	1.19841	0.887396	-0.0561513	0.0986969	8	0.260476	0.714455	0.348267
DESMOSOME_ADHERENS	17	13	4	3	TACSTD2_KO	WT	0.0965111	-0.128682	0.225193	0.773615	0.474141	0.575853	0.297435	-0.0556763	0.543373	13	0.0042324	0.714455	0.740964
IFN_ALPHA_TYPE1	40	37	4	3	TACSTD2_KO	WT	0.37303	-0.497374	0.870404	1.54349	0.207502	1.10239	2.04508	-0.0590072	6.58777e-18	37	0.689966	0.714455	9.88165e-17
IFN_GAMMA_TYPE2	31	23	4	3	TACSTD2_KO	WT	-0.117759	0.157012	-0.274771	-0.791275	0.476303	-0.567437	-0.622221	-0.0551806	0.431882	23	-0.242354	0.714455	0.647823
ANTIGEN_PRESENTATION_MHC1	19	18	4	3	TACSTD2_KO	WT	0.0868107	-0.115748	0.202558	0.407109	0.700825	0.302254	0.666571	-0.0568355	0.160395	18	0.181844	0.86886	0.348267
T_CELL_CYTOTOXICITY	26	2	4	3	TACSTD2_KO	WT													
T_CELL_INFILTRATION_BROAD	24	7	4	3	TACSTD2_KO	WT	-0.215818	0.287758	-0.503576	-1.04837	0.343451	-0.789341	-0.452405	-0.0551806	0.350815	7	-0.157279	0.714455	0.584691
ICI_CHECKPOINT_GENES	18	6	4	3	TACSTD2_KO	WT	-0.22305	0.297401	-0.520451	-1.18073	0.293582	-0.894521	-1.46859	-0.0554376	0.123207	6	-0.59182	0.714455	0.348267
TIS_18GENE_AYERS	18	8	4	3	TACSTD2_KO	WT	-0.0268006	0.0357341	-0.0625346	-0.175358	0.86886	-0.12709	-0.0201517	-0.0556186	0.830103	8	-0.0471439	0.86886	0.889397
IFNG_6GENE_AYERS	6	3	4	3	TACSTD2_KO	WT	-0.0696721	0.0928962	-0.162568	-0.381588	0.72007	-0.278255	-0.263457	-0.055561	0.895591	3	-0.136493	0.86886	0.895591
CHEMOKINE_T_RECRUITMENT	12	6	4	3	TACSTD2_KO	WT	-0.0335505	0.0447339	-0.0782844	-0.211132	0.842328	-0.153359	-0.269415	-0.0554376	0.75509	6	-0.147687	0.86886	0.871257
EMT_CORE	20	19	4	3	TACSTD2_KO	WT	-0.173884	0.231846	-0.40573	-1.94352	0.158691	-1.5508	-0.664874	-0.0548726	0.106033	19	-0.217591	0.714455	0.348267
EPITHELIAL_IDENTITY	16	15	4	3	TACSTD2_KO	WT	0.0922545	-0.123006	0.215261	0.888764	0.425245	0.640044	1.00086	-0.0562291	0.162525	15	0.258867	0.714455	0.348267
NFKB_INFLAMMATORY	20	9	4	3	TACSTD2_KO	WT	-0.0388018	0.0517357	-0.0905376	-0.313632	0.772386	-0.2233	-0.0345554	-0.0556763	0.73875	9	-0.0472595	0.86886	0.871257
TARGET_GENES	6	6	4	3	TACSTD2_KO	WT	0.215212	-0.28695	0.502162	1.50634	0.200357	1.09511	1.15421	-0.0561513	0.100939	6	0.236393	0.714455	0.348267
