gene	contrast	mean_KO	mean_WT	log2FC	cohens_d	t_stat	p_welch	q_welch_BH	p_mannwhitney	n_a	n_b
Rps6kl1	Trop2_KO_vs_WT	3.92225	2.94795	0.9743	5.57263	8.81111	3.24419e-05	0.287928	0.00793651	5	5
Cobl	Trop2_KO_vs_WT	4.64232	7.07525	-2.43293	-5.31159	-8.39836	3.26652e-05	0.287928	0.00793651	5	5
Ccnd2	Trop2_KO_vs_WT	11.4785	10.6243	0.854188	4.79385	7.57974	8.60081e-05	0.408241	0.00793651	5	5
Gm48114	Trop2_KO_vs_WT	4.76732	3.19841	1.56891	5.36887	8.48893	9.26964e-05	0.408241	0.00793651	5	5
Syde2	Trop2_KO_vs_WT	7.60259	8.1306	-0.528005	-5.08344	-8.03762	0.000115787	0.408241	0.00793651	5	5
Zfp57	Trop2_KO_vs_WT	7.12627	5.65971	1.46657	5.0491	7.98333	0.00016228	0.476805	0.00793651	5	5
Ppil2	Trop2_KO_vs_WT	9.94284	9.64412	0.298723	4.15393	6.56794	0.000251495	0.63289	0.00793651	5	5
Asb4	Trop2_KO_vs_WT	5.30916	6.25407	-0.944906	-4.20291	-6.64538	0.000364876	0.63289	0.00793651	5	5
Ppp1r14c	Trop2_KO_vs_WT	6.93039	8.33694	-1.40654	-3.95844	-6.25884	0.00040904	0.63289	0.00793651	5	5
A530053M12Rik	Trop2_KO_vs_WT	3.55138	4.43458	-0.883192	-4.14841	-6.55921	0.000495506	0.63289	0.00793651	5	5
Prickle2	Trop2_KO_vs_WT	5.74322	6.55305	-0.809837	-3.61007	-5.70801	0.000551156	0.63289	0.00793651	5	5
Gramd1b	Trop2_KO_vs_WT	7.89733	7.28264	0.614686	3.78342	5.98212	0.000591433	0.63289	0.00793651	5	5
Sertad4	Trop2_KO_vs_WT	7.80618	8.61955	-0.813368	-3.48212	-5.50572	0.000592544	0.63289	0.00793651	5	5
Pnn	Trop2_KO_vs_WT	9.89358	9.59745	0.296127	3.46044	5.47143	0.000593702	0.63289	0.00793651	5	5
F730043M19Rik	Trop2_KO_vs_WT	9.02565	7.87681	1.14883	3.78386	5.9828	0.000676301	0.63289	0.00793651	5	5
Mir212	Trop2_KO_vs_WT	4.17529	2.77615	1.39915	3.40125	5.37785	0.000676645	0.63289	0.00793651	5	5
Ca5b	Trop2_KO_vs_WT	8.07099	8.78897	-0.717982	-3.34769	-5.29316	0.000736543	0.63289	0.00793651	5	5
Msln	Trop2_KO_vs_WT	9.3773	8.99676	0.38054	4.12682	6.52508	0.000743077	0.63289	0.00793651	5	5
Calr4	Trop2_KO_vs_WT	6.05571	5.53823	0.517486	3.30337	5.22309	0.000837474	0.63289	0.00793651	5	5
