	Cldn4KO_vs_WT_naive_lung	Cldn4KO_vs_WT_naive_lung	Cldn4KO_vs_WT_naive_lung	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4KO_VILIlow_vs_WT_VILI	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4KO_VILIhigh_vs_WT_VILI	Cldn4KO_VILIhigh_vs_WT_VILI	WT_VILI_vs_WT_naive	WT_VILI_vs_WT_naive	WT_VILI_vs_WT_naive
	logFC	submitter_edgeR_PValue	submitter_edgeR_FDR	logFC	submitter_edgeR_PValue	submitter_edgeR_FDR	logFC	submitter_edgeR_PValue	submitter_edgeR_FDR	logFC	submitter_edgeR_PValue	submitter_edgeR_FDR
Cldn4	-6.0613	1.7663e-29	4.0673e-26	-12.6928	1.77e-126	3.84e-122	-10.1621	1.33054e-98	2.88795e-94	3.95857	9.90857e-95	7.16885e-91
Tacstd2	-0.144934	0.485961	1	-0.0530537	0.766574	1	0.635229	0.00793372	0.220771	1.2535	2.68746e-17	5.60878e-15
Epcam	-0.0880999	0.527067	1	-0.0961338	0.613102	1	0.283647	0.172791	0.950291	0.2475	0.087132	0.396146
Cldn1	-0.0799141	0.718608	1	-0.922431	0.00725557	0.327406	-0.452018	0.272738	1	-0.245617	0.390066	0.901979
Cldn3	0.0911122	0.523843	1	0.00797156	0.966795	1	0.186843	0.407865	1	0.498191	0.00022056	0.0045855
Cldn5	0.208425	0.135866	0.683572	0.420096	0.0175575	0.550218	0.290669	0.135375	0.900698	-0.150938	0.261377	0.72967
Cldn7	0.112855	0.473673	1	0.155196	0.412439	1	0.678918	0.00116848	0.0653656	0.740525	1.05605e-06	4.86657e-05
Cldn18	-0.45249	0.0413029	0.376995	-0.0162106	0.941306	1	-0.0833905	0.737522	1	-0.154837	0.384468	0.898754
Ocln	-0.0455883	0.764314	1	0.0358452	0.848433	1	0.18758	0.35965	1	0.169579	0.236043	0.703074
Tjp1	-0.103723	0.459751	1	-0.245481	0.172193	1	-0.514177	0.0069031	0.206462	-0.073045	0.567981	1
Tjp2	-0.0128493	0.938469	1	0.00141771	0.997038	1	0.304115	0.149327	0.91232	-0.0607265	0.693573	1
Cdh1	-0.139781	0.372916	1	-0.188369	0.308522	1	0.165106	0.397961	1	0.284007	0.0376337	0.229192
Vim	0.0346008	0.804361	1	0.0117853	0.946321	1	-0.0617151	0.74569	1	-0.205101	0.121363	0.482451
Cd274	0.141226	0.456147	1	0.170396	0.443627	1	0.462526	0.0662213	0.675438	-0.511789	0.00716614	0.0701901
B2m	0.655249	0.000930043	0.0335883	0.117873	0.496582	1	0.314736	0.142422	0.904672	-0.589624	9.16886e-06	0.000312847
H2-K1	-0.0709181	0.724031	1	-0.192842	0.291189	1	0.0800472	0.726387	1	-0.727377	7.81121e-08	4.47324e-06
