section,timepoint,response,n_spots,n_tumor,n_cd8pos,n_cldn4_high_tumor,n_cldn4_low_tumor,frac_cd8pos,mean_CLDN4_log,mean_CD8A_log,same_CLDN4_CD8A_all.n,same_CLDN4_CD8A_all.rho,same_CLDN4_CD8A_all.p,same_CLDN4_CD8A_tumor.n,same_CLDN4_CD8A_tumor.rho,same_CLDN4_CD8A_tumor.p,same_KRT8_CD8A_tumor.n,same_KRT8_CD8A_tumor.rho,same_KRT8_CD8A_tumor.p,partial_CLDN4_CD8A_ctrl_KRT8_all.n,partial_CLDN4_CD8A_ctrl_KRT8_all.rho,partial_CLDN4_CD8A_ctrl_KRT8_all.p,partial_CLDN4_CD8A_ctrl_KRT8_tumor.n,partial_CLDN4_CD8A_ctrl_KRT8_tumor.rho,partial_CLDN4_CD8A_ctrl_KRT8_tumor.p,spearman_CLDN4_vs_nnCD8_tumor.n,spearman_CLDN4_vs_nnCD8_tumor.rho,spearman_CLDN4_vs_nnCD8_tumor.p,spearman_CLDN4residKRT8_vs_nnCD8_tumor.n,spearman_CLDN4residKRT8_vs_nnCD8_tumor.rho,spearman_CLDN4residKRT8_vs_nnCD8_tumor.p,spearman_CLDN4_vs_ring1CD8_tumor.n,spearman_CLDN4_vs_ring1CD8_tumor.rho,spearman_CLDN4_vs_ring1CD8_tumor.p,spearman_CLDN4_vs_ring2CD8_tumor.n,spearman_CLDN4_vs_ring2CD8_tumor.rho,spearman_CLDN4_vs_ring2CD8_tumor.p,spearman_CLDN4_vs_ring3CD8_tumor.n,spearman_CLDN4_vs_ring3CD8_tumor.rho,spearman_CLDN4_vs_ring3CD8_tumor.p,partial_CLDN4_vs_ring1CD8_ctrl_KRT8_tumor.n,partial_CLDN4_vs_ring1CD8_ctrl_KRT8_tumor.rho,partial_CLDN4_vs_ring1CD8_ctrl_KRT8_tumor.p,nnCD8_high_vs_low_tumor_um.n_high,nnCD8_high_vs_low_tumor_um.n_low,nnCD8_high_vs_low_tumor_um.median_high,nnCD8_high_vs_low_tumor_um.median_low,nnCD8_high_vs_low_tumor_um.delta_high_minus_low,nnCD8_high_vs_low_tumor_um.p,ring1CD8_high_vs_low_tumor.n_high,ring1CD8_high_vs_low_tumor.n_low,ring1CD8_high_vs_low_tumor.median_high,ring1CD8_high_vs_low_tumor.median_low,ring1CD8_high_vs_low_tumor.delta_high_minus_low,ring1CD8_high_vs_low_tumor.p,ring2CD8_high_vs_low_tumor.n_high,ring2CD8_high_vs_low_tumor.n_low,ring2CD8_high_vs_low_tumor.median_high,ring2CD8_high_vs_low_tumor.median_low,ring2CD8_high_vs_low_tumor.delta_high_minus_low,ring2CD8_high_vs_low_tumor.p
NSCLC_P1,pre_ICI_biopsy,pre_ICI_NSCLC,8457,4229,1405,1058,1864,0.16613456308383587,0.6419441519737272,0.20408802387712002,8457,0.011717295273118872,0.28129132887422764,4229,0.007722536331494963,0.6156242980545985,4229,-0.022293134716558433,0.14720048670046187,8457,0.15067899905095977,3.919766289591983e-44,4229,-0.13115437878826983,1.094334411654756e-17,4229,-0.03395869458386441,0.02722031342734822,4229,-0.04721126058508878,0.0021335099108832937,4185,-0.0974079541672703,2.708394879324162e-10,4204,-0.15136438117548462,5.718652641896541e-23,4216,-0.15303403287243145,1.6425621370293677e-23,4185,-0.11778586708988947,2.1041448733844618e-14,1058,1864,100.00000000000013,100.00000000000033,-1.9895196601282805e-13,0.05818039623844357,1043,1845,0.06696550162377608,0.22694723087586768,-0.1599817292520916,2.4390183796501526e-09,1050,1855,0.12039927818010782,0.19825166704390637,-0.07785238886379856,7.002269860217143e-21
NSCLC_P2,pre_ICI_biopsy,pre_ICI_NSCLC,6904,3452,821,863,863,0.11891657010428737,0.7528475194670556,0.12363851859642727,6904,0.06854000164719883,1.19328146575426e-08,3452,0.042112178063538924,0.013344193728789158,3452,0.004742079929472344,0.7806166590318789,6904,0.07520161292481581,3.9433419828616156e-10,3452,0.0046558555550799,0.784506353930355,3452,-0.1024485553516462,1.6101000330577534e-09,3452,-0.08845882537176546,1.9336029732346078e-07,3425,0.014720837084033862,0.38910196910874945,3436,-0.07287594738879859,1.903404135916637e-05,3452,-0.02766668694957393,0.10411074004119598,3425,0.015294117097554535,0.37089889495735,863,863,100.00000000000033,173.20508075688747,-73.20508075688714,2.59343273502323e-11,855,860,0.06441289947295599,0.0,0.06441289947295599,0.2796141662474343,858,863,0.07673634996602088,0.11576995825596526,-0.03903360828994437,2.947679268847302e-05
NSCLC_P3,pre_ICI_biopsy,pre_ICI_NSCLC,9155,4578,1133,1145,1145,0.12375750955761879,1.295599143730223,0.14264520428845717,9155,-0.007505795174825946,0.47270809988656276,4578,-0.006368509228739172,0.666624061969381,4578,-0.04352310874354987,0.0032253215685469723,9155,0.04590336296013118,1.113703805070807e-05,4578,0.010017762426358458,0.49799812521559284,4578,-0.004690476592496588,0.7510333987672422,4578,-0.0035343507855268466,0.8110490812455444,4574,-0.04597356345675734,0.0018705638382143987,4578,-0.061261689288859715,3.357055430915444e-05,4578,-0.03298458508459497,0.0256304898109271,4574,-0.03996149354873944,0.0068718636214654,1145,1145,173.20508075688747,173.20508075688747,0.0,0.9407544846183158,1144,1145,0.0,0.0,0.0,0.0034291528004017544,1145,1145,0.09635124146393742,0.12045087738539383,-0.024099635921456405,0.00010183486932963951
NSCLC_P4,pre_ICI_biopsy,pre_ICI_NSCLC,9491,4746,695,1187,1609,0.07322726793804657,0.7622317578349133,0.10775352225978842,9491,0.005027138130333985,0.6243523947065699,4746,0.006054195260863051,0.6766968063916453,4746,-0.016901836311980393,0.24435733856662617,9491,0.01754221011694882,0.08746957955793441,4746,0.00040190610453962587,0.9779169692051416,4746,-0.024585905634272067,0.090348388032202,4746,-0.030161307698460524,0.037730125592929285,4726,-0.056235181952772544,0.0001097420335936866,4744,-0.07637884467741453,1.386474884530556e-07,4744,-0.11230255405229729,8.659160932000432e-15,4726,-0.04695585061247782,0.0012424572373462652,1187,1609,173.20508075688792,173.20508075688792,0.0,0.08566652867854085,1183,1598,0.0,0.0,0.0,0.0011682540082576752,1187,1607,0.03652745499454219,0.06880140906291611,-0.03227395406837392,8.109104386314694e-06
NSCLC_P5,pre_ICI_biopsy,pre_ICI_NSCLC,5369,2685,342,673,1416,0.06369901285155523,0.6031985458173491,0.10967208964717236,5369,-0.01315783316899338,0.33507741035332456,2685,-0.012958734007570336,0.502094377582821,2685,-0.01626689565077564,0.39947191461840836,5369,-0.19572963371713892,1.651858295481189e-47,2685,-0.22821010511703085,4.630916291350903e-33,2685,0.001284482859277002,0.9469582109836886,2685,-0.022615837465313968,0.2414024125022253,2682,-0.0361329371058394,0.06134615813838205,2685,-0.05324193997149106,0.005788820984592274,2684,-0.05230320770925901,0.006722588107703601,2682,-0.1451600811510863,4.217899023350914e-14,673,1416,173.2050807568885,173.2050807568885,0.0,0.9721888220045359,673,1414,0.0,0.0,0.0,0.10032251259752252,673,1416,0.0,0.0,0.0,0.026950863495919065
NSCLC_P6,pre_ICI_biopsy,pre_ICI_NSCLC,10078,5039,1860,1260,1260,0.18456042865647945,1.5617157831260688,0.12197687469266909,10078,-0.08465378529733426,1.701373450243725e-17,5039,-0.09441648629692023,1.8731496439045733e-11,5039,0.013187180366515653,0.3493182390211497,10078,-0.010085392785784637,0.3113635187869665,5039,-0.04145410345297363,0.0032484640509616433,5039,0.08933228808644963,2.118926178729479e-10,5039,0.11947017462564738,1.7530942031593344e-17,5034,-0.10781075119695119,1.7238535366853304e-14,5038,-0.12185695728393237,3.975657150456381e-18,5039,-0.12365190102518593,1.2605313546631131e-18,5034,-0.09038883612639605,1.3211966049656233e-10,1260,1260,100.00000000000033,100.0,3.268496584496461e-13,3.954281384138588e-09,1259,1259,0.0390237268034647,0.060870971895113236,-0.021847245091648537,4.378487175524135e-12,1260,1260,0.04487880196602928,0.06761265932036686,-0.022733857354337583,6.232356569350735e-16
NSCLC_P7,pre_ICI_biopsy,pre_ICI_NSCLC,5701,2851,686,713,713,0.12032976670759515,1.3171568743268514,0.07845496492517683,5701,0.0914057458246705,4.693417152613881e-12,2851,-0.10565827452701464,1.5588394316194342e-08,2851,-0.07141154987808193,0.00013552109539280717,5701,-0.08822113028839713,2.5116349438614254e-11,2851,-0.06027470017126966,0.0012824907748824642,2851,0.020555098363308696,0.27256748940946934,2851,0.013280476333315082,0.4784311650465535,2836,-0.12141277451756861,8.762697567561555e-11,2848,-0.16755788904231947,2.2206958672060754e-19,2849,-0.1354826764969536,3.818083011848183e-13,2836,-0.11237475522526658,1.9635431657334656e-09,713,713,173.20508075688667,100.00000000000033,73.20508075688635,0.1816814215407474,710,708,0.0,0.05759883737873173,-0.05759883737873173,2.8785206976281873e-09,713,711,0.050599860457493456,0.10801569614510098,-0.057415835687607525,1.6300494037618228e-17
NSCLC_P8,pre_ICI_biopsy,pre_ICI_NSCLC,5171,2588,385,647,1105,0.07445368400696191,0.8843039756587335,0.11798607144390338,5171,0.0344946923430764,0.013114664428618137,2588,0.0484579703311113,0.013684885446009083,2588,0.004841902304208684,0.8055261893311919,5171,0.14647513747335897,3.4027079962516057e-26,2588,0.1857997959354965,1.5635771781003596e-21,2588,-0.10222506622406081,1.8724069676182457e-07,2588,-0.10254874049948505,1.7119869868509307e-07,2580,0.04363939017428293,0.026651267236910307,2587,0.04595235949626513,0.01942048542392784,2588,0.00011969830443752592,0.9951437878036716,2580,-0.04468975580148317,0.02320806079779866,647,1105,173.20508075688792,199.9999999999999,-26.794919243111963,1.8427114116574956e-05,643,1101,0.0,0.0,0.0,0.045150125036978246,646,1105,0.09365960217817568,0.0,0.09365960217817568,0.06065695726528035
NSCLC_P9,pre_ICI_biopsy,pre_ICI_NSCLC,12242,6121,1585,1531,1531,0.12947230844633228,1.539429236892568,0.10512956675684697,12242,-0.007479151667163729,0.40798367865702206,6121,-0.014254170947973195,0.2648376147292666,6121,-0.019115517140239575,0.13481830905832107,12242,0.030079085882243197,0.0008732418077287785,6121,-0.008474390967321326,0.5074036372278697,6121,0.008199528535126585,0.5212727051308511,6121,-0.00942786522503066,0.46083540221828134,6117,-0.030702059968361645,0.01633596043674159,6120,-0.01668867604986982,0.19176127276142493,6121,-0.02421531123576637,0.05816931265566834,6117,-0.0286861183483638,0.024859411425249986,1531,1531,100.00000000000033,100.00000000000033,0.0,0.7911758912555195,1531,1530,0.07144843221561972,0.078515137913297,-0.0070667056976772835,0.0638872194593167,1531,1531,0.07776998096848635,0.07962595375228636,-0.0018559727838000084,0.23169229324104257
NSCLC_P10,pre_ICI_biopsy,pre_ICI_NSCLC,8681,4341,810,1086,1086,0.09330722267019928,1.2977174239626157,0.05033171546151187,8681,0.019430003422091276,0.0702585445036552,4341,-0.0038330818420750424,0.8006734371997227,4341,0.012223639755672686,0.4207226729710973,8681,-0.028082099498729578,0.0088809998825104,4341,-0.0026885072903175145,0.8594416144378356,4341,0.018010033103559562,0.23547688240073772,4341,0.022128766356257046,0.14491211716262606,4322,-0.026018914544765324,0.0872052117944755,4333,-0.043223014153903234,0.004431578132438595,4326,-0.019036383038901407,0.21063584512192662,4322,-0.024397653478599436,0.10877505308800994,1086,1086,173.20508075688792,173.2050807568878,1.1368683772161603e-13,0.6745022088076067,1082,1081,0.0,0.0,0.0,0.2108717197674007,1085,1083,0.020981034049646487,0.02551285760744001,-0.004531823557793524,0.014227646351851838
NSCLC_P11,pre_ICI_biopsy,pre_ICI_NSCLC,13202,6601,3999,1651,1651,0.30290865020451446,1.336453322403933,0.1082648536971795,13202,0.012497777884620557,0.15102674627369053,6601,-0.03688908148759083,0.00272147808587844,6601,-0.0002636815849289902,0.9829112902250818,13202,-0.0269409781259538,0.001962919879698955,6601,-0.029062528877453874,0.01821190413329927,6601,0.0215793451731183,0.07958155086145205,6601,0.026015357770120897,0.034548148790938406,6595,-0.05070222165982651,3.79899174239421e-05,6600,-0.05015963237661851,4.5663236942784274e-05,6601,-0.0318531284221561,0.009650051458016735,6595,-0.04881997486048089,7.300789077482824e-05,1651,1651,100.0,100.0,0.0,0.11858739336195055,1651,1650,0.07695654694430275,0.08757078579477061,-0.01061423885046786,7.369339068636426e-05,1651,1650,0.08465408788005434,0.09570282033696606,-0.011048732456911722,9.387827295437397e-05
NSCLC_P12,pre_ICI_biopsy,pre_ICI_NSCLC,2042,1021,285,256,294,0.1395690499510284,0.757751586702038,0.1615529655245971,2042,0.08945792732344315,5.163243014255229e-05,1021,0.02441390217340508,0.4358264728119446,1021,-0.04678846168490113,0.13516965480697488,2042,0.015565451416432362,0.4820612312616122,1021,0.0030849864732390413,0.9215715316151548,1021,-0.12260831175361561,8.574674006208213e-05,1021,-0.12065562791998077,0.0001112147390128979,1015,0.04153555471888,0.18609358853969893,1019,0.0639810063181899,0.04115419143010031,1019,0.1374089457941792,1.073318983877728e-05,1015,0.01872643667039295,0.5512260951089162,256,294,100.00000000000033,173.20508075688758,-73.20508075688726,1.8579714271393957e-05,253,292,0.1321815729151429,0.0,0.1321815729151429,0.09235743811819494,254,294,0.1638129656559073,0.11978432447778717,0.04402864117812014,0.018308598683319393
NSCLC_P13,pre_ICI_biopsy,pre_ICI_NSCLC,5242,2621,654,656,656,0.12476154139641359,1.177383979872028,0.03519918793885059,5242,-0.010813510715904242,0.4337726020267077,2621,-0.003227961401548688,0.8688028169201093,2621,-0.012379063419669068,0.5264223204145974,5242,0.03263700564633304,0.01812575041103016,2621,0.012714338332905674,0.5152819491799848,2621,0.007580205591995548,0.6980941777965889,2621,0.015880749165381073,0.41639608520525595,2617,-0.007728476002915504,0.6927102408251368,2621,0.02535902049290997,0.1943346642218178,2621,0.03941807183864,0.04360610870309574,2617,-0.004039314923141273,0.8363692564882639,656,656,100.00000000000033,100.00000000000033,0.0,0.42032704232298335,655,655,0.016442749373666358,0.018573381748317155,-0.002130632374650797,0.3946016641929616,656,656,0.01962643846641035,0.018562363736417925,0.0010640747299924258,0.6180624499160474
NSCLC_P14,pre_ICI_biopsy,pre_ICI_NSCLC,1324,1324,14,1324,1288,0.010574018126888218,0.06144557341280632,0.026577377143524317,1324,-0.017280591007497403,0.5298476450662976,1324,-0.017280591007497403,0.5298476450662976,1324,0.02066443021155533,0.45248251777138593,1324,0.8545204537808156,0.0,1324,0.8545204537808156,0.0,1324,0.05578518508677272,0.042406551212206295,1324,0.12135459822587251,9.515054677972261e-06,1282,-0.04233979297442041,0.1297273067192,1306,-0.015839695926580098,0.5673812280217082,1306,-0.042808204032656866,0.12204251798182263,1282,-0.755235059837342,4.4054498064150985e-237,1324,1288,458.25756949558405,458.2575694955839,1.7053025658242404e-13,0.8128450391734241,1282,1246,0.0,0.0,0.0,0.8574422456066217,1306,1270,0.0,0.0,0.0,0.9478979327718081
NSCLC_P15,pre_ICI_biopsy,pre_ICI_NSCLC,12766,6383,2216,6383,4877,0.17358608804637318,0.1597620761778645,0.12178849720981223,12766,0.033540686687549615,0.00015043659672931344,6383,0.009028287932149518,0.47080088537061265,6383,-0.029578361418544797,0.018118949104499283,12766,0.3572921475577678,0.0,6383,0.3112985127231282,1.8642177296611501e-143,6383,0.004993054449183553,0.6900126861027688,6383,-0.08596801532221808,5.9980983804892605e-12,6374,-0.027171784301735287,0.03006007715475869,6379,-0.043046769012995104,0.0005838516164584757,6381,-0.04053271755369198,0.0012016127148487892,6374,0.019864138862244956,0.11279709603621826,6383,4877,100.0,100.0,0.0,0.5076277946141865,6374,4872,0.12029482726240333,0.12296325969398876,-0.0026684324315854324,0.7368970594222517,6379,4873,0.12986298724504763,0.1317193260987516,-0.0018563388537039538,0.43364187066639426
NSCLC_P16,pre_ICI_biopsy,pre_ICI_NSCLC,5262,2631,60,658,1220,0.011402508551881414,0.6387699284027887,0.014140335724431262,5262,0.021758170499242797,0.1145330414309679,2631,0.0019628730815134223,0.9198406566875995,2631,-0.024537241261185973,0.2083242168193142,5262,0.2702361150936477,9.871583860946374e-89,2631,0.20529003419854996,1.972909488763341e-26,2631,0.04825743048641983,0.013303201711726076,2631,0.022397262882465473,0.2507923051635627,2604,-0.029270561989583655,0.1353685959921944,2622,0.006415813184377363,0.7426308304607159,2616,0.0005486723417731529,0.9776227108771504,2604,0.1603830722536995,1.81554947827258e-16,658,1220,519.6152422706627,435.88989435406745,83.7253479165953,0.0005698843327167173,652,1208,0.0,0.0,0.0,0.044369114258052865,658,1216,0.0,0.0,0.0,0.8900358180304816
