dataset,gene,group,n,mean,sd
E-MTAB-13704,Tacstd2,vehicle,5,6.675,0.0408
E-MTAB-13704,Tacstd2,ATRi,4,6.78,0.2257
E-MTAB-13704,Tacstd2,ATRi/aPD-L1,5,6.7112,0.113
E-MTAB-13704,Tacstd2,VEGFRi/aPD-L1,4,7.0892,0.0848
E-MTAB-13704,Tacstd2,Cisplatin/aPD-L1 /aCTLA4,4,6.6656,0.1645
E-MTAB-13704,Tacstd2,aPD-L1,5,6.5525,0.1496
E-MTAB-13704,Cldn4,vehicle,5,6.2631,0.3604
E-MTAB-13704,Cldn4,ATRi,4,5.608,0.3918
E-MTAB-13704,Cldn4,ATRi/aPD-L1,5,5.9332,0.4309
E-MTAB-13704,Cldn4,VEGFRi/aPD-L1,4,5.8302,0.2809
E-MTAB-13704,Cldn4,Cisplatin/aPD-L1 /aCTLA4,4,5.7594,0.2209
E-MTAB-13704,Cldn4,aPD-L1,5,6.165,0.2218
GSE239485,Tacstd2,Control_vehicle,8,-3.0925,1.0896
GSE239485,Tacstd2,PolyIC_antiPD1,8,-0.9992,0.6704
GSE239485,Tacstd2,PolyIC_antiPD1_antiC5aR1,8,-0.5164,1.3498
GSE239485,Cldn4,Control_vehicle,8,-3.0833,0.9947
GSE239485,Cldn4,PolyIC_antiPD1,8,-3.8545,1.45
GSE239485,Cldn4,PolyIC_antiPD1_antiC5aR1,8,-2.4975,1.4207
GSE297630,Tacstd2,Control,3,13.1033,0.0961
GSE297630,Tacstd2,antiPD1_tolerant,3,15.1533,0.0551
GSE297630,Cldn4,Control,3,14.17,0.0458
GSE297630,Cldn4,antiPD1_tolerant,3,13.98,0.0624
GSE330658,Tacstd2,Control,2,3.0494,0.1301
GSE330658,Tacstd2,PTX,2,3.5185,0.007
GSE330658,Tacstd2,antiVEGF,2,2.9481,0.029
GSE330658,Tacstd2,PTX_antiVEGF,2,2.9831,0.3029
GSE330658,Cldn4,Control,2,4.8389,0.0671
GSE330658,Cldn4,PTX,2,4.9378,0.0823
GSE330658,Cldn4,antiVEGF,2,4.9236,0.0018
GSE330658,Cldn4,PTX_antiVEGF,2,4.8684,0.219
GSE197260,Tacstd2,vehicle_d3,1,4.009,
GSE197260,Tacstd2,gef_d3,1,3.0704,
GSE197260,Tacstd2,gef_d14,1,6.0896,
GSE197260,Tacstd2,gef_vehicle_d21,1,6.5546,
GSE197260,Tacstd2,gef_dc101_d21,1,5.5236,
GSE197260,Tacstd2,gef_4h2_d21,1,1.0,
GSE197260,Tacstd2,gef_comb_d21,1,3.7004,
GSE197260,Cldn4,vehicle_d3,1,4.8022,
GSE197260,Cldn4,gef_d3,1,1.926,
GSE197260,Cldn4,gef_d14,1,5.1497,
GSE197260,Cldn4,gef_vehicle_d21,1,7.7142,
GSE197260,Cldn4,gef_dc101_d21,1,6.5714,
GSE197260,Cldn4,gef_4h2_d21,1,1.2016,
GSE197260,Cldn4,gef_comb_d21,1,3.8176,
