dataset,gene,comparison,n_treated,n_control,log2FC,welch_p,mwu_p,welch_fdr
E-MTAB-13704,Tacstd2,ATRi_vs_vehicle,4,5,0.1051,0.4227457421895606,1.0,0.6620913093314138
E-MTAB-13704,Tacstd2,ATRi/aPD-L1_vs_vehicle,5,5,0.0362,0.529673047465131,0.5476190476190477,0.6620913093314138
E-MTAB-13704,Tacstd2,VEGFRi/aPD-L1_vs_vehicle,4,5,0.4142,0.0007560792756511619,0.015873015873015872,0.0037803963782558096
E-MTAB-13704,Tacstd2,Cisplatin/aPD-L1 /aCTLA4_vs_vehicle,4,5,-0.0093,0.9180939177062406,0.5555555555555556,0.9180939177062406
E-MTAB-13704,Tacstd2,aPD-L1_vs_vehicle,5,5,-0.1225,0.14277623571005027,0.15079365079365079,0.3569405892751257
E-MTAB-13704,Cldn4,ATRi_vs_vehicle,4,5,-0.6551,0.039969217938125474,0.06349206349206349,0.09992304484531368
E-MTAB-13704,Cldn4,ATRi/aPD-L1_vs_vehicle,5,5,-0.3299,0.22664796990571984,0.30952380952380953,0.2833099623821498
E-MTAB-13704,Cldn4,VEGFRi/aPD-L1_vs_vehicle,4,5,-0.4329,0.08254111586580931,0.1111111111111111,0.1375685264430155
E-MTAB-13704,Cldn4,Cisplatin/aPD-L1 /aCTLA4_vs_vehicle,4,5,-0.5037,0.03809560505375642,0.06349206349206349,0.09992304484531368
E-MTAB-13704,Cldn4,aPD-L1_vs_vehicle,5,5,-0.0981,0.6210922089724789,0.8412698412698413,0.6210922089724789
GSE239485,Tacstd2,PolyIC_antiPD1_vs_Control_vehicle,8,8,2.0932,0.000630978729467418,0.0006216006216006216,0.0009744361953293064
GSE239485,Tacstd2,PolyIC_antiPD1_antiC5aR1_vs_Control_vehicle,8,8,2.5761,0.0009744361953293064,0.0018648018648018648,0.0009744361953293064
GSE239485,Cldn4,PolyIC_antiPD1_vs_Control_vehicle,8,8,-0.7712,0.23776200222522692,0.2786324786324786,0.3574400818475832
GSE239485,Cldn4,PolyIC_antiPD1_antiC5aR1_vs_Control_vehicle,8,8,0.5858,0.3574400818475832,0.1605283605283605,0.3574400818475832
GSE297630,Tacstd2,antiPD1_tolerant_vs_Control,3,3,2.05,4.155736072981077e-05,0.1,4.155736072981077e-05
GSE297630,Cldn4,antiPD1_tolerant_vs_Control,3,3,-0.19,0.01581061221421688,0.1,0.01581061221421688
GSE330658,Tacstd2,PTX_vs_Control,2,2,0.4692,0.12239263142268599,0.3333333333333333,0.36717789426805797
GSE330658,Tacstd2,antiVEGF_vs_Control,2,2,-0.1012,0.46428092915682634,0.6666666666666666,0.6964213937352395
GSE330658,Tacstd2,PTX_antiVEGF_vs_Control,2,2,-0.0662,0.8135539440867627,1.0,0.8135539440867627
GSE330658,Cldn4,PTX_vs_Control,2,2,0.0989,0.32287746086837593,0.6666666666666666,0.48714462125376123
GSE330658,Cldn4,antiVEGF_vs_Control,2,2,0.0848,0.3247630808358408,0.3333333333333333,0.48714462125376123
GSE330658,Cldn4,PTX_antiVEGF_vs_Control,2,2,0.0295,0.8815265638491672,1.0,0.881526563849167
GSE197260,Tacstd2,vehicle_d3_vs_gef_vehicle_d21,1,1,-2.5456,,,
GSE197260,Tacstd2,gef_d3_vs_gef_vehicle_d21,1,1,-3.4842,,,
GSE197260,Tacstd2,gef_d14_vs_gef_vehicle_d21,1,1,-0.465,,,
GSE197260,Tacstd2,gef_dc101_d21_vs_gef_vehicle_d21,1,1,-1.031,,,
GSE197260,Tacstd2,gef_4h2_d21_vs_gef_vehicle_d21,1,1,-5.5546,,,
GSE197260,Tacstd2,gef_comb_d21_vs_gef_vehicle_d21,1,1,-2.8541,,,
GSE197260,Cldn4,vehicle_d3_vs_gef_vehicle_d21,1,1,-2.9121,,,
GSE197260,Cldn4,gef_d3_vs_gef_vehicle_d21,1,1,-5.7882,,,
GSE197260,Cldn4,gef_d14_vs_gef_vehicle_d21,1,1,-2.5645,,,
GSE197260,Cldn4,gef_dc101_d21_vs_gef_vehicle_d21,1,1,-1.1429,,,
GSE197260,Cldn4,gef_4h2_d21_vs_gef_vehicle_d21,1,1,-6.5126,,,
GSE197260,Cldn4,gef_comb_d21_vs_gef_vehicle_d21,1,1,-3.8966,,,
