series	sample	line	sirna	library_size
GSE180581	A01	parental	siControl	4552688
GSE180581	A02	parental	siControl	4090525
GSE180581	A03	parental	siControl	4179197
GSE180581	A04	Ku70_het	siControl	4653865
GSE180581	A05	Ku70_het	siControl	3239236
GSE180581	A06	Ku70_het	siControl	3611810
GSE180581	A07	Ku70_het	siKu70	5175423
GSE180581	A08	Ku70_het	siKu70	6113975
GSE180581	A09	Ku70_het	siKu70	3950223
GSE180581	A10	Ku80_het	siControl	3608679
GSE180581	A11	Ku80_het	siControl	3762326
GSE180581	A12	Ku80_het	siControl	4502066
GSE180581	A13	Ku80_het	siKu80	3542011
GSE180581	A14	Ku80_het	siKu80	3433084
GSE180581	A15	Ku80_het	siKu80	3322456
GSE180581	A16	DNAPKcs_het	siControl	3005338
GSE180581	A17	DNAPKcs_het	siControl	3516513
GSE180581	A18	DNAPKcs_het	siControl	4581816
GSE180581	A19	DNAPKcs_het	siDNAPKcs	3467426
GSE180581	A20	DNAPKcs_het	siDNAPKcs	3985552
GSE180581	A21	DNAPKcs_het	siDNAPKcs	2238711
GSE135274	exp1_XRCC4	XRCC4_KO	none	10940678
GSE135274	exp1_XRCC4_mirin	XRCC4_KO	mirin	12255200
GSE135274	exp1_WT	WT_scramble	none	10183067
GSE135274	exp1_WT_mirin	WT_scramble	mirin	12224054
GSE135274	exp2_XRCC4	XRCC4_KO	none	12561959
GSE135274	exp2_XRCC4_mirin	XRCC4_KO	mirin	10006707
GSE135274	exp2_WT	WT_scramble	none	12294925
GSE135274	exp2_WT_mirin	WT_scramble	mirin	9904787
