test,query,partner,panel,cohort,n,r,ci_low,ci_high,p,q
geneEffect_vs_expr,TACSTD2,HLA-A,MHC-I antigen presentation,lung,123,-0.010137880331738272,-0.18683690413177761,0.1671965460842722,0.9113868771757863,0.9746425488334765
geneEffect_vs_expr,TACSTD2,HLA-B,MHC-I antigen presentation,lung,123,-0.026434630074827145,-0.2025212135990206,0.15130781582764863,0.7716391248258516,0.9746425488334765
geneEffect_vs_expr,TACSTD2,HLA-C,MHC-I antigen presentation,lung,123,0.006268460357792368,-0.1709556045890243,0.18309961860887747,0.9451397245620757,0.9746425488334765
geneEffect_vs_expr,TACSTD2,B2M,MHC-I antigen presentation,lung,123,-0.180495834724143,-0.34645943281417985,-0.003575744010787952,0.04573873486561753,0.8536198363343147
geneEffect_vs_expr,TACSTD2,TAP1,MHC-I antigen presentation,lung,123,-0.06330391489861141,-0.237674652713299,0.11501945428257207,0.4866768434084926,0.8899233708041008
geneEffect_vs_expr,TACSTD2,TAP2,MHC-I antigen presentation,lung,123,-0.0246997975003547,-0.20085586244553033,0.15300359314250905,0.78625382855068,0.9746425488334765
geneEffect_vs_expr,TACSTD2,TAPBP,MHC-I antigen presentation,lung,123,-0.006468401247280688,-0.18329285714694438,0.17076149263014564,0.9433927404497053,0.9746425488334765
geneEffect_vs_expr,TACSTD2,NLRC5,MHC-I antigen presentation,lung,123,-0.07562519851336348,-0.2493215669899578,0.10278526704993447,0.4057749786342905,0.8671612096555392
geneEffect_vs_expr,TACSTD2,PSMB8,MHC-I antigen presentation,lung,123,-0.03139389405528112,-0.20727624453996732,0.14645441987600058,0.7303160849944743,0.9746425488334765
geneEffect_vs_expr,TACSTD2,PSMB9,MHC-I antigen presentation,lung,123,-0.08211903019167363,-0.25543982425295503,0.09631554441838942,0.36654112577821346,0.8671612096555392
geneEffect_vs_expr,TACSTD2,PSMB10,MHC-I antigen presentation,lung,123,-0.06816327715167819,-0.24227404762433177,0.11020089354390998,0.4537846213862624,0.8800671445066908
geneEffect_vs_expr,TACSTD2,ERAP1,MHC-I antigen presentation,lung,123,-0.09643593026043049,-0.26887983662319226,0.08199833392194422,0.2886529944325722,0.8536198363343147
geneEffect_vs_expr,TACSTD2,ERAP2,MHC-I antigen presentation,lung,123,-0.09237669752316706,-0.2650760341003548,0.08606514879359707,0.30952402211896457,0.8536198363343147
geneEffect_vs_expr,TACSTD2,CALR,MHC-I antigen presentation,lung,123,-0.008835175607176483,-0.18557925551038934,0.16846267174344096,0.92273573679951,0.9746425488334765
geneEffect_vs_expr,TACSTD2,CANX,MHC-I antigen presentation,lung,123,-0.13088957965201015,-0.30095032321975196,0.04723939932920591,0.14901210326986525,0.8536198363343147
geneEffect_vs_expr,TACSTD2,PDIA3,MHC-I antigen presentation,lung,123,-0.196424655944074,-0.3609087954198147,-0.020088874789194366,0.029445453852902616,0.8536198363343147
geneEffect_vs_expr,TACSTD2,IFNGR1,IFN signalling,lung,123,-0.02429366507425037,-0.20046584880921636,0.15340043143094445,0.7896861780229688,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IFNGR2,IFN signalling,lung,123,0.09776089564174331,-0.08066960608813362,0.270120264244755,0.28204822578708294,0.8536198363343147
geneEffect_vs_expr,TACSTD2,IFNAR1,IFN signalling,lung,123,0.2008332177888251,0.0246762153773552,0.3648939888294785,0.02592382300693374,0.8536198363343147
geneEffect_vs_expr,TACSTD2,IFNAR2,IFN signalling,lung,123,0.09038657180135151,-0.08805682180074699,0.2632091727633846,0.320107438625368,0.8536198363343147
geneEffect_vs_expr,TACSTD2,JAK1,IFN signalling,lung,123,-0.12542724845545652,-0.29589135120714816,0.052779056783601896,0.1668741810930584,0.8536198363343147
geneEffect_vs_expr,TACSTD2,JAK2,IFN signalling,lung,123,0.004008177586495352,-0.17314903629636533,0.18091415350069925,0.9649050970200513,0.9746425488334765
geneEffect_vs_expr,TACSTD2,TYK2,IFN signalling,lung,123,-0.02875623943970799,-0.2047482483302839,0.14903683345901622,0.7522066210401833,0.9746425488334765
geneEffect_vs_expr,TACSTD2,STAT1,IFN signalling,lung,123,0.05547467379938109,-0.12276534508301366,0.23024777804780472,0.5422384256006628,0.9132436641695374
geneEffect_vs_expr,TACSTD2,STAT2,IFN signalling,lung,123,0.0028956252841764994,-0.17422803829261976,0.17983778581840687,0.9746425488334765,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IRF1,IFN signalling,lung,123,-0.13153189465607026,-0.30154457897553705,0.04658727075670713,0.14701024509744232,0.8536198363343147
geneEffect_vs_expr,TACSTD2,IRF9,IFN signalling,lung,123,0.013275377834025218,-0.16414474470205662,0.18986351091662787,0.8841312348363528,0.9746425488334765
geneEffect_vs_expr,TACSTD2,SOCS1,IFN signalling,lung,123,-0.139624053648115,-0.3090199695864346,0.038358450153598136,0.12349949357743528,0.8536198363343147
geneEffect_vs_expr,TACSTD2,ISG15,IFN response / ISG,lung,123,0.019076240471553315,-0.1584933652744366,0.1954505246696122,0.8341167791589011,0.9746425488334765
geneEffect_vs_expr,TACSTD2,MX1,IFN response / ISG,lung,123,-0.003111698697537311,-0.18004686482499208,0.17401851410053007,0.9727510609982329,0.9746425488334765
geneEffect_vs_expr,TACSTD2,OAS1,IFN response / ISG,lung,123,-0.007780909203759933,-0.1845610284687114,0.169486906915321,0.9319317541147305,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IFI27,IFN response / ISG,lung,123,-0.09087098262071444,-0.26366369936134026,0.08757216570049335,0.31751009288415866,0.8536198363343147
geneEffect_vs_expr,TACSTD2,IFI44,IFN response / ISG,lung,123,0.00840321231097804,-0.16888237668179074,0.18516210447211864,0.9265024462845182,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IFIT1,IFN response / ISG,lung,123,-0.05997110760550327,-0.2345156178477228,0.11831943333900276,0.5099509239593799,0.890916286832299
geneEffect_vs_expr,TACSTD2,IFIT3,IFN response / ISG,lung,123,-0.048536363586819106,-0.22364898641110972,0.12961168817256308,0.5939557353479303,0.9424731242305524
geneEffect_vs_expr,TACSTD2,CXCL9,IFN response / ISG,lung,123,-0.08218479996401318,-0.2555017192659192,0.09624994160669796,0.36615611350065735,0.8671612096555392
geneEffect_vs_expr,TACSTD2,CXCL10,IFN response / ISG,lung,123,0.012629490065582881,-0.1647732687387951,0.1892407254196341,0.8897321129365457,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IDO1,IFN response / ISG,lung,123,-0.047251525480366714,-0.2224252562878053,0.13087763456507615,0.6037718452101977,0.9424731242305524
geneEffect_vs_expr,TACSTD2,GBP1,IFN response / ISG,lung,123,-0.026519237261910793,-0.20260240616259972,0.15122508658772632,0.770928367386122,0.9746425488334765
geneEffect_vs_expr,TACSTD2,IFI6,IFN response / ISG,lung,123,0.07551173079155435,-0.10289817948640684,0.2492145383383202,0.40648181702603403,0.8671612096555392
