column	gsm	geo_title	group	model_family	model_class	setting	column_source	geo_characteristics
GSM5525443_S357_FPKM.txt.gz	GSM5525443	Comb_357	aPD1_palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1+Palbociclib
GSM5525444_S359_FPKM.txt.gz	GSM5525444	Comb_359	aPD1_palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1+Palbociclib
GSM5525445_S360_FPKM.txt.gz	GSM5525445	Comb_360	aPD1_palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1+Palbociclib
GSM5525446_S361_FPKM.txt.gz	GSM5525446	PD_361	aPD1	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1
GSM5525447_S362_FPKM.txt.gz	GSM5525447	PD_362	aPD1	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1
GSM5525448_S364_FPKM.txt.gz	GSM5525448	PD_364	aPD1	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=anti-PD-1
GSM5525449_S366_FPKM.txt.gz	GSM5525449	PAL_366	palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Palbociclib
GSM5525450_S367_FPKM.txt.gz	GSM5525450	PAL_367	palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Palbociclib
GSM5525451_S368_FPKM.txt.gz	GSM5525451	PAL_368	palbociclib	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Palbociclib
GSM5525452_S388_FPKM.txt.gz	GSM5525452	Con_388	vehicle	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Vehicle
GSM5525453_S389_FPKM.txt.gz	GSM5525453	Con_389	vehicle	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Vehicle
GSM5525454_S390_FPKM.txt.gz	GSM5525454	Con_390	vehicle	KL	LUAD	in_vivo_tumor	supplementary_file	tissue=subcutaneous tumor; strain=C57BL/6; treatment=Vehicle
