gene,test,n_pos,n_neg,median_pos,median_neg,iqr_pos,iqr_neg,U,p,cliffs_delta,note,series,timepoint,q_bh_primary_mpr,n,rho,n_high,n_low,n_events,median_cut,test_statistic,hr,hr_ci_low,hr_ci_high
TACSTD2,Mann-Whitney U: MPR vs no-MPR,11.0,21.0,7.302456147992687,5.88774458270931,1.1933526038114008,1.8753942278365452,177.0,0.015510489089653818,0.5324675324675324,,GSE253564,pre,0.031020978179307636,,,,,,,,,,
TACSTD2,Mann-Whitney U: recurrence vs no-recurrence,7.0,25.0,5.88774458270931,6.541446692688694,1.7969794252098872,2.6246265909167166,90.0,0.9290260783586702,0.02857142857142857,,GSE253564,pre,,,,,,,,,,,
TACSTD2,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.07182821943096084,,,GSE253564,pre,,32.0,0.3225013088200406,,,,,,,,
TACSTD2,log-rank median split (PFS),,,,,,,,0.15472366874525084,,high = expression >= cohort median,GSE253564,pre,,32.0,,16.0,16.0,7.0,6.320684590678216,2.0250515923394303,,,
TACSTD2,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.8519075126724186,,HR per +1 log2(FPKM+1),GSE253564,pre,,32.0,,,,7.0,,,1.0474379565891232,0.6438813820159185,1.7039260701538257
TACSTD2,Mann-Whitney U: MPR vs no-MPR (Arm2 only),10.0,6.0,7.1927496383472445,4.74609253517537,1.1500640475507495,2.2856633412252716,51.0,0.02247752247752248,0.7,,GSE253564,pre,,,,,,,,,,,
TACSTD2,Mann-Whitney U on residual after MKI67 OLS: MPR vs no-MPR,11.0,21.0,0.8258529736888827,0.5635099608358285,1.5221700986369622,2.361575409228469,145.0,0.24989542486306515,0.2554112554112554,,GSE253564,pre,,,,,,,,,,,
TACSTD2,Mann-Whitney U on residual after EPCAM OLS: MPR vs no-MPR,11.0,21.0,0.888048332119256,-0.4562073800133799,1.8859482807976171,1.5072803742425318,156.0,0.11250376629419434,0.35064935064935066,,GSE253564,pre,,,,,,,,,,,
CLDN4,Mann-Whitney U: MPR vs no-MPR,11.0,21.0,5.974549961597188,5.659125376228163,0.61690438679822,1.2903152525981172,140.0,0.34098363467259285,0.21212121212121213,,GSE253564,pre,0.34098363467259285,,,,,,,,,,
CLDN4,Mann-Whitney U: recurrence vs no-recurrence,7.0,25.0,5.730830129169041,5.872225458861675,0.24436099753536666,2.0791512895475117,92.0,0.8585857505490432,0.05142857142857143,,GSE253564,pre,,,,,,,,,,,
CLDN4,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.9393900146861058,,,GSE253564,pre,,32.0,0.01399777239881387,,,,,,,,
CLDN4,log-rank median split (PFS),,,,,,,,0.6045513461782464,,high = expression >= cohort median,GSE253564,pre,,32.0,,16.0,16.0,7.0,5.749754692752058,0.2681858164813875,,,
CLDN4,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.7495588049539219,,HR per +1 log2(FPKM+1),GSE253564,pre,,32.0,,,,7.0,,,1.1010053755624722,0.6098307936393061,1.9877855458615008
CLDN4,Mann-Whitney U: MPR vs no-MPR (Arm2 only),10.0,6.0,5.967982463354897,5.400738529087734,0.699406174457537,2.0013173893608904,36.0,0.5621878121878122,0.2,,GSE253564,pre,,,,,,,,,,,
CLDN4,Mann-Whitney U on residual after MKI67 OLS: MPR vs no-MPR,11.0,21.0,0.5035315285471267,0.10360227497913588,0.585286167834203,1.2710964885558758,144.0,0.26659958263091776,0.24675324675324675,,GSE253564,pre,,,,,,,,,,,
CLDN4,Mann-Whitney U on residual after EPCAM OLS: MPR vs no-MPR,11.0,21.0,-0.04273025042578027,0.09733703698684426,1.419923607945555,0.8978844368388055,105.0,0.6915445973404196,-0.09090909090909091,,GSE253564,pre,,,,,,,,,,,
CD8A,Mann-Whitney U: MPR vs no-MPR,11.0,21.0,3.220639512876857,3.722695525881377,1.6361983383348657,1.410561657535971,95.0,0.4274751540157482,-0.1774891774891775,,GSE253564,pre,,,,,,,,,,,
CD8A,Mann-Whitney U: recurrence vs no-recurrence,7.0,25.0,3.274416733319735,3.722695525881377,0.7544086971787092,1.6282418407785713,78.0,0.6882065067548939,-0.10857142857142857,,GSE253564,pre,,,,,,,,,,,
CD8A,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.7807796842872143,,,GSE253564,pre,,32.0,-0.05120237798513494,,,,,,,,
CD8A,log-rank median split (PFS),,,,,,,,0.1828684515064017,,high = expression >= cohort median,GSE253564,pre,,32.0,,16.0,16.0,7.0,3.576579953732211,1.7741570134099856,,,
CD8A,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.6343647745437919,,HR per +1 log2(FPKM+1),GSE253564,pre,,32.0,,,,7.0,,,0.8619394265448733,0.4672722171847909,1.5899502425129135
EPCAM,Mann-Whitney U: MPR vs no-MPR,11.0,21.0,6.740698243144519,5.76954960634392,1.4629810124583207,1.8757967016819403,149.0,0.19043026382552397,0.29004329004329005,,GSE253564,pre,,,,,,,,,,,
EPCAM,Mann-Whitney U: recurrence vs no-recurrence,7.0,25.0,5.659039723303218,6.337552329858644,1.871947894751795,2.1180133988299383,83.0,0.8585857505490432,-0.05142857142857143,,GSE253564,pre,,,,,,,,,,,
EPCAM,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.5688040196013824,,,GSE253564,pre,,32.0,0.10461493055955627,,,,,,,,
EPCAM,log-rank median split (PFS),,,,,,,,0.6858742483460512,,high = expression >= cohort median,GSE253564,pre,,32.0,,16.0,16.0,7.0,6.218074371851593,0.16358815357758183,,,
EPCAM,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.9721493673200685,,HR per +1 log2(FPKM+1),GSE253564,pre,,32.0,,,,7.0,,,1.0097303621772977,0.5862967514568554,1.7389750186561015
MKI67,Mann-Whitney U: MPR vs no-MPR,11.0,21.0,5.036503333738988,3.1340566143386335,1.1123775046832884,1.5011970207853644,209.0,0.0002243720803988678,0.8095238095238095,,GSE253564,pre,,,,,,,,,,,
MKI67,Mann-Whitney U: recurrence vs no-recurrence,7.0,25.0,3.059528335259631,4.343478889268636,0.9997002525740881,1.6926443965237823,53.0,0.12303259557152771,-0.3942857142857143,,GSE253564,pre,,,,,,,,,,,
MKI67,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.0004926305288363046,,,GSE253564,pre,,32.0,0.5807233733350017,,,,,,,,
MKI67,log-rank median split (PFS),,,,,,,,0.020497098436159156,,high = expression >= cohort median,GSE253564,pre,,32.0,,16.0,16.0,7.0,4.096935498355714,5.369053381644964,,,
MKI67,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.084115750812162,,HR per +1 log2(FPKM+1),GSE253564,pre,,32.0,,,,7.0,,,0.5563704218981272,0.28604033256541905,1.0821832137686553
TACSTD2 vs CLDN4,Spearman gene–gene (sanity),,,,,,,,1.390081662090993e-05,,expected positive in bulk tumour,GSE253564,pre,,32.0,0.6873167155425219,,,,,,,,
TACSTD2,Mann-Whitney U: MPR vs no-MPR,0.0,29.0,,5.552131108253784,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
TACSTD2,Mann-Whitney U: recurrence vs no-recurrence,9.0,20.0,6.34002810238993,5.424327273967702,1.6691334163129365,1.8339995332313501,131.0,0.05623780387727592,0.45555555555555555,,GSE248378,post,,,,,,,,,,,
TACSTD2,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.5039290350882094,,,GSE248378,post,,29.0,-0.1292678217817696,,,,,,,,
TACSTD2,log-rank median split (PFS),,,,,,,,0.16555517236890738,,high = expression >= cohort median,GSE248378,post,,29.0,,15.0,14.0,9.0,5.552131108253784,1.922737695533182,,,
TACSTD2,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.016007248921903104,,HR per +1 log2(FPKM+1),GSE248378,post,,29.0,,,,9.0,,,2.2357172003841628,1.1617203459873582,4.302611568574518
TACSTD2,Mann-Whitney U: MPR vs no-MPR (Arm2 only),0.0,10.0,,6.989945001868007,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
CLDN4,Mann-Whitney U: MPR vs no-MPR,0.0,29.0,,5.74416109557041,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
CLDN4,Mann-Whitney U: recurrence vs no-recurrence,9.0,20.0,6.2922295919049525,5.32077698830221,1.1808340336556098,2.2236889309193346,112.0,0.3108119818682441,0.24444444444444444,,GSE248378,post,,,,,,,,,,,
CLDN4,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.1555253582229484,,,GSE248378,post,,29.0,-0.2706932697963736,,,,,,,,
CLDN4,log-rank median split (PFS),,,,,,,,0.25087510575849437,,high = expression >= cohort median,GSE248378,post,,29.0,,15.0,14.0,9.0,5.74416109557041,1.3184239087633625,,,
CLDN4,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.1699482708772254,,HR per +1 log2(FPKM+1),GSE248378,post,,29.0,,,,9.0,,,1.4095234109768215,0.8633227959997011,2.3012901492901405
CLDN4,Mann-Whitney U: MPR vs no-MPR (Arm2 only),0.0,10.0,,6.573844524908836,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
CD8A,Mann-Whitney U: MPR vs no-MPR,0.0,29.0,,4.1626934322112366,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
CD8A,Mann-Whitney U: recurrence vs no-recurrence,9.0,20.0,3.7570232465074596,4.713971294605965,0.5844829610654569,1.7544179445995134,54.0,0.09423165073398893,-0.4,,GSE248378,post,,,,,,,,,,,
CD8A,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.6440384340797216,,,GSE248378,post,,29.0,-0.08956945040924917,,,,,,,,
CD8A,log-rank median split (PFS),,,,,,,,0.019082185632739102,,high = expression >= cohort median,GSE248378,post,,29.0,,15.0,14.0,9.0,4.1626934322112366,5.493968139611879,,,
CD8A,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.0111861304970787,,HR per +1 log2(FPKM+1),GSE248378,post,,29.0,,,,9.0,,,0.5286016060842497,0.32301042012439235,0.865048433568313
EPCAM,Mann-Whitney U: MPR vs no-MPR,0.0,29.0,,6.550746785383243,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
EPCAM,Mann-Whitney U: recurrence vs no-recurrence,9.0,20.0,7.130519083027338,6.488107521031624,1.042350553012466,2.0415123804559405,129.0,0.06953814037457189,0.43333333333333335,,GSE248378,post,,,,,,,,,,,
EPCAM,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.02292973712894945,,,GSE248378,post,,29.0,-0.4210508513697946,,,,,,,,
EPCAM,log-rank median split (PFS),,,,,,,,0.36452898788242494,,high = expression >= cohort median,GSE248378,post,,29.0,,15.0,14.0,9.0,6.550746785383243,0.822229945655552,,,
EPCAM,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.0983074581391406,,HR per +1 log2(FPKM+1),GSE248378,post,,29.0,,,,9.0,,,1.7367491466046545,0.9026103835433552,3.3417492787873666
MKI67,Mann-Whitney U: MPR vs no-MPR,0.0,29.0,,3.4289463447694826,,,,,,too few labelled samples,GSE248378,post,,,,,,,,,,,
MKI67,Mann-Whitney U: recurrence vs no-recurrence,9.0,20.0,3.6158870739160567,3.313720249204283,2.0043129928710828,1.6026167449371251,75.0,0.4942678594495017,-0.16666666666666666,,GSE248378,post,,,,,,,,,,,
MKI67,Spearman vs pathologic response depth (−Pathology Response %),,,,,,,,0.4572005789474196,,,GSE248378,post,,29.0,-0.14365848140430823,,,,,,,,
MKI67,log-rank median split (PFS),,,,,,,,0.9050086726009684,,high = expression >= cohort median,GSE248378,post,,29.0,,15.0,14.0,9.0,3.4289463447694826,0.014241228757993043,,,
MKI67,"Cox PH, expression as continuous covariate (PFS)",,,,,,,,0.6141252037524039,,HR per +1 log2(FPKM+1),GSE248378,post,,29.0,,,,9.0,,,0.8253433435182753,0.39135117684118287,1.7406147598384898
TACSTD2 vs CLDN4,Spearman gene–gene (sanity),,,,,,,,1.3107275570875238e-06,,expected positive in bulk tumour,GSE248378,post,,29.0,0.7655172413793102,,,,,,,,
TACSTD2,Mann-Whitney U on Δlog2(FPKM+1): MPR vs no-MPR,0.0,20.0,,0.5099121835825251,,,,,,too few labelled samples,paired GSE253564→GSE248378,post−pre,,,,,,,,,,,
TACSTD2,Spearman vs pathologic response depth,,,,,,,,0.9873495705763226,,,paired GSE253564→GSE248378,post−pre,,20.0,-0.003789434114747205,,,,,,,,
CLDN4,Mann-Whitney U on Δlog2(FPKM+1): MPR vs no-MPR,0.0,20.0,,0.3557176463337197,,,,,,too few labelled samples,paired GSE253564→GSE248378,post−pre,,,,,,,,,,,
CLDN4,Spearman vs pathologic response depth,,,,,,,,0.9797605219527629,,,paired GSE253564→GSE248378,post−pre,,20.0,0.0060630945835955284,,,,,,,,
