cohort,signature,genes_present,genes_total,fraction
FRANCE3,CYT,2,2,1.0
FRANCE3,IFNG_6,5,6,0.8333333333333334
FRANCE3,TIS_18,15,18,0.8333333333333334
FRANCE3,IFNG_EXPANDED,16,18,0.8888888888888888
FRANCE3,CD8_T_CELL,8,8,1.0
FRANCE3,NK_CELL,6,6,1.0
FRANCE3,B_CELL,6,6,1.0
FRANCE3,TLS_CABRITA,9,9,1.0
FRANCE3,TREG,5,5,1.0
FRANCE3,M2_MACROPHAGE,6,6,1.0
FRANCE3,ANTIGEN_PRESENTATION,6,9,0.6666666666666666
FRANCE3,MHC_II,1,7,0.14285714285714285
FRANCE3,CHECKPOINT,8,8,1.0
FRANCE3,TYPE_I_IFN,9,9,1.0
FRANCE3,TGFB_FTBRS,26,27,0.9629629629629629
FRANCE3,PROLIFERATION,10,10,1.0
FRANCE3,EPITHELIAL,8,8,1.0
FRANCE3,SQUAMOUS_MARKERS,12,12,1.0
FRANCE3,ADENO_MARKERS,11,12,0.9166666666666666
FRANCE4,CYT,1,2,0.5
FRANCE4,IFNG_6,5,6,0.8333333333333334
FRANCE4,TIS_18,13,18,0.7222222222222222
FRANCE4,IFNG_EXPANDED,15,18,0.8333333333333334
FRANCE4,CD8_T_CELL,8,8,1.0
FRANCE4,NK_CELL,4,6,0.6666666666666666
FRANCE4,B_CELL,5,6,0.8333333333333334
FRANCE4,TLS_CABRITA,6,9,0.6666666666666666
FRANCE4,TREG,4,5,0.8
FRANCE4,M2_MACROPHAGE,5,6,0.8333333333333334
FRANCE4,ANTIGEN_PRESENTATION,4,9,0.4444444444444444
FRANCE4,MHC_II,7,7,1.0
FRANCE4,CHECKPOINT,5,8,0.625
FRANCE4,TYPE_I_IFN,5,9,0.5555555555555556
FRANCE4,TGFB_FTBRS,11,27,0.4074074074074074
FRANCE4,PROLIFERATION,5,10,0.5
FRANCE4,EPITHELIAL,8,8,1.0
FRANCE4,SQUAMOUS_MARKERS,7,12,0.5833333333333334
FRANCE4,ADENO_MARKERS,3,12,0.25
NEOCHEMO,CYT,2,2,1.0
NEOCHEMO,IFNG_6,6,6,1.0
NEOCHEMO,TIS_18,18,18,1.0
NEOCHEMO,IFNG_EXPANDED,18,18,1.0
NEOCHEMO,CD8_T_CELL,8,8,1.0
NEOCHEMO,NK_CELL,6,6,1.0
NEOCHEMO,B_CELL,6,6,1.0
NEOCHEMO,TLS_CABRITA,9,9,1.0
NEOCHEMO,TREG,5,5,1.0
NEOCHEMO,M2_MACROPHAGE,6,6,1.0
NEOCHEMO,ANTIGEN_PRESENTATION,9,9,1.0
NEOCHEMO,MHC_II,7,7,1.0
NEOCHEMO,CHECKPOINT,8,8,1.0
NEOCHEMO,TYPE_I_IFN,9,9,1.0
NEOCHEMO,TGFB_FTBRS,25,27,0.9259259259259259
NEOCHEMO,PROLIFERATION,10,10,1.0
NEOCHEMO,EPITHELIAL,8,8,1.0
NEOCHEMO,SQUAMOUS_MARKERS,12,12,1.0
NEOCHEMO,ADENO_MARKERS,12,12,1.0
PLA,CYT,2,2,1.0
PLA,IFNG_6,6,6,1.0
PLA,TIS_18,18,18,1.0
PLA,IFNG_EXPANDED,18,18,1.0
PLA,CD8_T_CELL,8,8,1.0
PLA,NK_CELL,6,6,1.0
PLA,B_CELL,6,6,1.0
PLA,TLS_CABRITA,9,9,1.0
PLA,TREG,5,5,1.0
PLA,M2_MACROPHAGE,6,6,1.0
PLA,ANTIGEN_PRESENTATION,9,9,1.0
PLA,MHC_II,7,7,1.0
PLA,CHECKPOINT,8,8,1.0
PLA,TYPE_I_IFN,9,9,1.0
PLA,TGFB_FTBRS,27,27,1.0
PLA,PROLIFERATION,10,10,1.0
PLA,EPITHELIAL,8,8,1.0
PLA,SQUAMOUS_MARKERS,12,12,1.0
PLA,ADENO_MARKERS,12,12,1.0
DURVART,CYT,2,2,1.0
DURVART,IFNG_6,6,6,1.0
DURVART,TIS_18,18,18,1.0
DURVART,IFNG_EXPANDED,18,18,1.0
DURVART,CD8_T_CELL,8,8,1.0
DURVART,NK_CELL,6,6,1.0
DURVART,B_CELL,6,6,1.0
DURVART,TLS_CABRITA,9,9,1.0
DURVART,TREG,5,5,1.0
DURVART,M2_MACROPHAGE,6,6,1.0
DURVART,ANTIGEN_PRESENTATION,9,9,1.0
DURVART,MHC_II,7,7,1.0
DURVART,CHECKPOINT,8,8,1.0
DURVART,TYPE_I_IFN,9,9,1.0
DURVART,TGFB_FTBRS,25,27,0.9259259259259259
