gse	n_gsm_meta	platforms_meta	organisms	n_char_fields	response_keys	response_value_tokens	ici_tokens	has_response_annot	has_ici_annot	lung_sample_mention	cellline_mention	fetch_error	n_samples	pdat	gds_type	is_array_type	platforms	platform_titles	pubmed	title	priority
GSE67501	11	GPL14951	Homo sapiens	5	response to anti-pd-1 (nivolumab) immunotherapy (complete response (cr) or partial response (pr) or stable disease (sd) or no response (nr));response to anti-pd-1 (nivolumab) immunotherapy (response or no-response)	CR;PD;PR;SD;complete response;partial response;stable disease	anti-pd-1;anti-pd1;immunotherapy;nivolumab	1	1	1	0	0	11	2016/08/04	Expression profiling by array	1	GPL14951			Expression data in human renal cell carcinoma samples from patients who did or did not respond to anti-PD-1 (Nivolumab) immunotherapy	12
GSE93157	65	GPL19965	Homo sapiens	15	best.resp;pfs;pfse;response	CR;PD;PR;SD	nivolumab;pembrolizumab	1	1	1	0	0	65	2017/05/15	Expression profiling by array	1	GPL19965			Programmed death 1 receptor blockade and immune-related gene expression profiling in non-small cell lung carcinoma, head and neck squamous cell carcinoma and melanoma	12
GSE135222	27	GPL16791	Homo sapiens	6	pfs.time;progression-free survival (pfs)	PD	anti-pd-1	1	1	1	0	0	27	2019/08/02	Expression profiling by high throughput sequencing	0	GPL16791			DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq]	10
GSE140901	24	GPL19965	Homo sapiens	11	best_response;clinical_benefit_response;pfs_event;pfs_time	PD;PR;SD	immune checkpoint	1	1	0	0	0	24	2021/05/18	Expression profiling by array	1	GPL19965			Exploration of exhausted CD8 T cell markers to predict response to immune checkpoint inhibitor therapy for hepatocellular carcinoma	10
GSE161537	82	GPL18573	Homo sapiens	13	best response on immunotherapy (recist);pfs (month)	CR;PD;PR;SD	immunotherapy	1	1	1	0	0	82	2022/07/07	Expression profiling by high throughput sequencing	0	GPL18573			Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer	10
GSE207422	39	GPL24676	Homo sapiens	9	pathologic_response	PD	anti-pd-1	1	1	1	0	0	39	2023/03/21	Expression profiling by high throughput sequencing	0	GPL24676			Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing	10
GSE207715	282	GPL21576;GPL25134	Homo sapiens	12	basal or best response;status at the best response (ed	PD;PR;SD	nivolumab	1	1	1	0	0	282	2024/07/28	Non-coding RNA profiling by array	0	GPL21576;GPL25134	 | 		Extracellular vesicles miR-574-5p and miR-181a-5p as prognostic markers in NSCLC patients treated with nivolumab	10
GSE261345	121	GPL30173	Homo sapiens	22	best recist response to treatment;date of disease progression or death;disease progression or death;disease progression or death of disease		durvalumab	1	1	1	0	0	121	2024/04/09	Other	0	GPL30173			Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort]	10
GSE261348	175	GPL30173	Homo sapiens	22	best recist response to treatment;date of disease progression or death;disease progression or death;disease progression or death of disease		atezolizumab	1	1	1	0	0	175	2024/04/09	Other	0	GPL30173			Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [IMfirst_DSP cohort]	10
GSE292299	18	GPL24676;GPL34281	Homo sapiens	5	treatment response	CR	nivolumab	1	1	1	0	0	18	2026/06/09	Other	0	GPL24676;GPL34281	 | 		Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity	10
GSE310370	4	GPL21572	Homo sapiens	4	response	PD	nivolumab	1	1	1	0	0	4	2026/04/01	Non-coding RNA profiling by array	0	GPL21572			Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	10
