tma,fov,n_tumor,n_cd8,n_high,n_low,split_rule,median_dist_high,median_dist_low,median_cd8_25_high,median_cd8_25_low,median_cd8_50_high,median_cd8_50_low,median_cd8_100_high,median_cd8_100_low
MESO_TMA1,1,944,115,227,717,pos_vs_zero,21.371965600866957,22.73323819883344,1.0,1.0,3.0,3.0,14.0,12.0
MESO_TMA1,2,463,32,46,417,pos_vs_zero,33.83368622865058,42.67516771553137,0.0,0.0,1.0,1.0,4.0,3.0
MESO_TMA1,3,675,42,40,635,pos_vs_zero,31.776043461780354,33.928342248497394,0.0,0.0,1.0,1.0,5.0,4.0
MESO_TMA1,4,1163,128,92,1071,pos_vs_zero,22.101198713476567,22.807574666113425,1.0,1.0,3.0,3.0,12.0,12.0
MESO_TMA1,5,893,31,48,845,pos_vs_zero,40.73098484539928,42.69821412437683,0.0,0.0,1.0,1.0,3.5,4.0
MESO_TMA1,6,1052,327,82,970,pos_vs_zero,14.539884605434455,15.475506862473427,2.0,2.0,8.0,8.0,33.5,33.0
MESO_TMA1,7,807,62,49,758,pos_vs_zero,25.059840797321133,26.06664544606934,0.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,8,355,30,26,329,pos_vs_zero,37.22013117077717,35.391355290740904,0.0,0.0,1.0,1.0,3.5,3.0
MESO_TMA1,10,1377,91,129,1248,pos_vs_zero,29.326868799815497,25.28370201060011,0.0,0.0,2.0,2.0,9.0,9.0
MESO_TMA1,11,1098,54,52,1046,pos_vs_zero,39.352312518557724,31.782491652691157,0.0,0.0,1.0,1.0,6.0,6.0
MESO_TMA1,12,1316,56,97,1219,pos_vs_zero,29.71305545311542,31.739793069668494,0.0,0.0,1.0,1.0,6.0,6.0
MESO_TMA1,13,1401,116,330,1071,pos_vs_zero,21.2283051822443,22.6551459010302,1.0,1.0,4.0,3.0,14.5,12.0
MESO_TMA1,14,1832,142,772,1060,pos_vs_zero,19.73966397160023,20.102598818569156,1.0,1.0,4.0,4.0,16.0,14.0
MESO_TMA1,15,747,49,150,597,pos_vs_zero,25.494298997796218,28.98972580511899,0.0,0.0,2.0,2.0,7.0,6.0
MESO_TMA1,16,1431,86,504,927,median_split>1,27.630941730717183,26.586233670625024,0.0,0.0,2.0,2.0,9.0,9.0
MESO_TMA1,17,1137,107,280,857,pos_vs_zero,19.317861333909576,22.270321913004913,1.0,1.0,4.0,3.0,13.0,11.0
MESO_TMA1,18,1548,132,585,963,pos_vs_zero,20.64966255321053,21.36824217342793,1.0,1.0,4.0,3.0,13.0,12.0
MESO_TMA1,19,1881,117,547,1334,median_split>1,22.87344871368553,22.101755865290322,1.0,1.0,3.0,3.0,11.0,11.0
MESO_TMA1,20,830,41,38,792,pos_vs_zero,35.62166646731096,39.385956750200535,0.0,0.0,1.0,1.0,4.0,4.0
MESO_TMA1,21,777,46,32,745,pos_vs_zero,32.03617992444464,32.13457531004238,0.0,0.0,1.5,1.0,5.0,6.0
MESO_TMA1,22,1280,58,58,1222,pos_vs_zero,31.68267537665002,30.07240546915108,0.0,0.0,2.0,2.0,6.0,6.0
MESO_TMA1,23,1626,86,82,1544,pos_vs_zero,22.56619244547554,25.3730937963837,1.0,0.0,3.0,3.0,10.0,10.0
MESO_TMA1,24,318,37,114,204,pos_vs_zero,42.59179550665158,38.19507541613153,0.0,0.0,1.0,1.0,3.0,4.0
MESO_TMA1,26,1139,59,71,1068,pos_vs_zero,26.511032645870138,31.33444168612001,0.0,0.0,2.0,1.0,6.0,5.0
MESO_TMA1,27,1084,70,42,1042,pos_vs_zero,33.03727581639641,29.188590392114676,0.0,0.0,2.0,2.0,6.5,7.0
MESO_TMA1,28,1088,72,44,1044,pos_vs_zero,30.664537208799466,27.794049639529234,0.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,29,1129,305,75,1054,pos_vs_zero,18.776782860969497,15.471286239610507,1.0,2.0,8.0,8.0,31.0,29.0
MESO_TMA1,30,1739,52,96,1643,pos_vs_zero,32.05611943193835,32.974493820360216,0.0,0.0,1.0,1.0,6.0,6.0
MESO_TMA1,31,519,30,47,472,pos_vs_zero,32.92641657908167,31.377862804235157,0.0,0.0,1.0,1.0,2.0,4.0
MESO_TMA1,32,376,23,26,350,pos_vs_zero,30.141159459598853,27.264453751051292,0.0,0.0,1.5,2.0,6.0,6.0
MESO_TMA1,33,482,78,95,387,pos_vs_zero,29.09185085896141,28.722753189069028,0.0,0.0,2.0,2.0,7.0,7.0
MESO_TMA1,34,464,79,103,361,pos_vs_zero,27.064069134433588,28.388373381932606,0.0,0.0,2.0,2.0,9.0,8.0
MESO_TMA1,35,567,66,96,471,pos_vs_zero,30.904931137496014,30.38683228968745,0.0,0.0,1.5,2.0,7.0,8.0
MESO_TMA1,36,648,79,106,542,pos_vs_zero,29.53620788147771,26.69064197160113,0.0,0.0,2.0,2.0,9.0,9.0
MESO_TMA1,37,999,79,274,725,pos_vs_zero,23.010094337899616,26.64819619156408,1.0,0.0,3.0,3.0,12.0,10.0
MESO_TMA1,38,1397,102,382,1015,pos_vs_zero,20.824533773877604,22.914208146283777,1.0,1.0,3.0,3.0,11.0,11.0
MESO_TMA1,39,1667,143,580,1087,pos_vs_zero,20.76110833801318,20.945649130066748,1.0,1.0,4.0,4.0,14.0,14.0
MESO_TMA1,40,1104,67,100,1004,pos_vs_zero,26.711049713149848,31.298000075814564,0.0,0.0,2.0,2.0,6.0,6.0
