cohort	gene	feature	n_unadjusted	unadj_rho	unadj_p	n_partial	partial_rho	partial_p	purity	region	platform	gep18_n_genes
GSE31210	TACSTD2	CD8	226	-0.28946343872233704	9.756269255820285e-06	226	-0.10741829738288264	0.10806469480389407	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	East Asia (Japan)	GPL570 U133 Plus 2.0	18
GSE31210	TACSTD2	GEP18	226	-0.24759892401855677	0.00016970492736528126	226	-0.013008812763277857	0.8461339488560398	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	East Asia (Japan)	GPL570 U133 Plus 2.0	18
GSE31210	CLDN4	CD8	226	-0.3411739633282653	1.4470250811767327e-07	226	-0.1268721171730838	0.0574111348994173	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	East Asia (Japan)	GPL570 U133 Plus 2.0	18
GSE31210	CLDN4	GEP18	226	-0.28749756344781874	1.1276233730774639e-05	226	-0.005029155745373631	0.9402006779984194	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	East Asia (Japan)	GPL570 U133 Plus 2.0	18
GSE72094	TACSTD2	CD8	442	-0.22719754525860025	1.3910196837496416e-06	442	-0.08514401261914088	0.07406780552782805	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA (Moffitt custom array)	GPL15048 HuRSTA	18
GSE72094	TACSTD2	GEP18	442	-0.2162662749604987	4.4692665160807585e-06	442	-0.04638733990112044	0.33110396559620475	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA (Moffitt custom array)	GPL15048 HuRSTA	18
GSE72094	CLDN4	CD8	442	-0.21902110384004267	3.3489187131883584e-06	442	-0.05132539758584286	0.28215843259664075	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA (Moffitt custom array)	GPL15048 HuRSTA	18
GSE72094	CLDN4	GEP18	442	-0.19361041864219208	4.172101806014365e-05	442	0.022508649078005875	0.6373552540113432	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA (Moffitt custom array)	GPL15048 HuRSTA	18
GSE68465	TACSTD2	CD8	443	-0.15154078319660583	0.0013788260786989641	443	-0.17026140394573963	0.00032353000526421754	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA/multi-site Director's Challenge	GPL96 U133A	15
GSE68465	TACSTD2	GEP18	443	-0.12004987838210521	0.011446295795800374	443	-0.16357187456701738	0.0005555325947435079	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA/multi-site Director's Challenge	GPL96 U133A	15
GSE68465	CLDN4	CD8	443	-0.17746591979761547	0.00017367716261653277	443	-0.09170580386572204	0.05402875985460347	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA/multi-site Director's Challenge	GPL96 U133A	15
GSE68465	CLDN4	GEP18	443	-0.21549473541240907	4.723538652126012e-06	443	-0.11313326381150325	0.017340893406460313	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	USA/multi-site Director's Challenge	GPL96 U133A	15
GSE19804	TACSTD2	CD8	60	-0.024312646746535615	0.8537070833886058	60	0.19550853711751567	0.13781933040651545	ESTIMATE TumorPurity (ssGSEA Yoshihara 141+141)	East Asia (Taiwan, never-smoker female)	GPL570 U133 Plus 2.0	18
