resource	accession_or_id	status	open_per_patient_matrix	notes	url	query
Entrez gds search	n_hits=0	SEARCHED	n/a	query=PACIFIC[All Fields] AND durvalumab[All Fields] AND Homo sapiens[Organism]		PACIFIC[All Fields] AND durvalumab[All Fields] AND Homo sapiens[Organism]
Entrez gds search	n_hits=0	SEARCHED	n/a	query=NCT02125461[All Fields]		NCT02125461[All Fields]
Entrez gds search	n_hits=1	SEARCHED	n/a	query=ADRIATIC[All Fields] AND Homo sapiens[Organism]		ADRIATIC[All Fields] AND Homo sapiens[Organism]
GEO series (live Entrez, GSE only)	GSE207927	VERIFIED_EXISTS	unknown_pending_triage	Stable methylation loci are associated with systolic blood pressure in a Croatian island population | type=Methylation profiling by genome tiling array | taxon=Homo sapiens | n=224	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207927	ADRIATIC[All Fields] AND Homo sapiens[Organism]
Entrez gds search	n_hits=0	SEARCHED	n/a	query=ADRIA[All Fields] AND durvalumab[All Fields]		ADRIA[All Fields] AND durvalumab[All Fields]
Entrez gds search	n_hits=0	SEARCHED	n/a	query=WJOG11518L[All Fields] OR SUBMARINE[All Fields] AND Homo sapiens[Organism]		WJOG11518L[All Fields] OR SUBMARINE[All Fields] AND Homo sapiens[Organism]
Entrez gds search	n_hits=132	SEARCHED	n/a	"query=durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"		"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE261345	VERIFIED_EXISTS	unknown_pending_triage	Spatially preserved multi-region transcriptomic subtyping and biomarkers of outcome with chemoimmunotherapy in extensive-stage small cell lung cancer [CANTABRICO_DSP cohort] | type=Other | taxon=Homo sapiens | n=121	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261345	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE253564	VERIFIED_EXISTS	unknown_pending_triage	Features associated with enhanced proliferation define lung tumors that respond to dual immune checkpoint and radiation therapy | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=32	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253564	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE248378	VERIFIED_EXISTS	unknown_pending_triage	Neoadjuvant durvalumab plus radiation versus durvalumab alone in stages I-III non-small cell lung cancer: survival outcomes and molecular correlates of a randomized phase II trial | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=29	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248378	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE190731	VERIFIED_EXISTS	unknown_pending_triage	Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors | type=Expression profiling by array | taxon=Homo sapiens | n=23	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190731	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE131933	VERIFIED_EXISTS	unknown_pending_triage	Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=8	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131933	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
GEO series (live Entrez, GSE only)	GSE110390	VERIFIED_EXISTS	unknown_pending_triage	Interferon Gamma mRNA Signature in Tumor Biopsies Predicts Outcomes in Patients with Non–Small-Cell Lung Carcinoma or Urothelial Cancer Treated with Durvalumab | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=159	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110390	"durvalumab[All Fields] AND (NSCLC[All Fields] OR ""non-small cell lung""[All Fields] OR ""lung cancer""[All Fields] OR SCLC[All Fields]) AND Homo sapiens[Organism]"
Entrez gds search	n_hits=37	SEARCHED	n/a	query=GSE333537[Accession]		GSE333537[Accession]
GEO series (live Entrez, GSE only)	GSE333537	VERIFIED_EXISTS	unknown_pending_triage	Phase I trial of intravenous VCN-01 oncolytic adenovirus and durvalumab in patients with head and neck metastatic squamous cell carcinoma refractory to immunotherapy | type=Expression profiling by high throughput sequencing | taxon=Homo sapiens | n=35	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE333537	GSE333537[Accession]
Entrez gds search	n_hits=123	SEARCHED	n/a	query=GSE261345[Accession]		GSE261345[Accession]
Entrez gds search	n_hits=25	SEARCHED	n/a	query=GSE190731[Accession]		GSE190731[Accession]
Entrez pubmed search	n_hits=0	SEARCHED	n/a	query=PACIFIC[Title] AND durvalumab AND (RNA-seq OR transcriptome OR NanoString OR GEO)		PACIFIC[Title] AND durvalumab AND (RNA-seq OR transcriptome OR NanoString OR GEO)
PubMed hits (IDs only; no matrix implied)	none	SEARCHED	no	Abstract-level hits. A PMID is not a per-patient matrix.	https://pubmed.ncbi.nlm.nih.gov/	PACIFIC[Title] AND durvalumab AND (RNA-seq OR transcriptome OR NanoString OR GEO)
Entrez pubmed search	n_hits=0	SEARCHED	n/a	query=ADRIATIC AND durvalumab AND (RNA-seq OR transcriptome OR GEO)		ADRIATIC AND durvalumab AND (RNA-seq OR transcriptome OR GEO)
PubMed hits (IDs only; no matrix implied)	none	SEARCHED	no	Abstract-level hits. A PMID is not a per-patient matrix.	https://pubmed.ncbi.nlm.nih.gov/	ADRIATIC AND durvalumab AND (RNA-seq OR transcriptome OR GEO)
Entrez pubmed search	n_hits=0	SEARCHED	n/a	query=WJOG11518L OR SUBMARINE AND durvalumab AND (NanoString OR RNA)		WJOG11518L OR SUBMARINE AND durvalumab AND (NanoString OR RNA)
