accession	status	error	http	head	note
ERP114266	error	The read operation timed out			
GSE103725	live		200.0	^SERIES = GSE103725	
GSE107801	live		200.0	^SERIES = GSE107801	
GSE109485	live		200.0	^SERIES = GSE109485	
GSE124821	live		200.0	^SERIES = GSE124821	
GSE130472	live		200.0	^SERIES = GSE130472	
GSE132529	live		200.0	^SERIES = GSE132529	
GSE137818	live		200.0	^SERIES = GSE137818	
GSE139475	live		200.0	^SERIES = GSE139475	
GSE146027	live		200.0	^SERIES = GSE146027	
GSE148856	live		200.0	^SERIES = GSE148856	
GSE148947	live		200.0	^SERIES = GSE148947	
GSE149825	live		200.0	^SERIES = GSE149825	
GSE150401	live		200.0	^SERIES = GSE150401	
GSE151829	live		200.0	^SERIES = GSE151829	
GSE152925	live		200.0	^SERIES = GSE152925	
GSE153239	live		200.0	^SERIES = GSE153239	
GSE155972	live		200.0	^SERIES = GSE155972	
GSE159344	live		200.0	^SERIES = GSE159344	
GSE172162	live		200.0	^SERIES = GSE172162	
GSE174053	live		200.0	^SERIES = GSE174053	
GSE93017	live		200.0	^SERIES = GSE93017	
RU31562203	not_a_public_geo_ena_id				Present in TISMO gene-module table only; not queried as a GEO/ENA accession.
