feature	kind	n_requested	n_found	n_missing	found	missing	cohort
CLDN4	single_gene	1	1	0	CLDN4		GSE126044
Reactome_TJ	documented_TJ	30	29	1	CLDN1;CLDN2;CLDN3;CLDN4;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN17;CLDN18;CLDN19;CLDN20;CLDN22;CLDN23;CRB3;F11R;PALS1->MPP5;PARD3;PARD6A;PARD6B;PARD6G;PRKCI	PATJ	GSE126044
KEGG_TJ	documented_TJ	171	166	5	CLDN24;OCLN;ARPC5;ARPC4;ARPC3;ARPC1B;ACTR3;ACTR2;ARPC2;CDK4;TUBA1B;MYL12B;MYL9;ARPC1A;MYL12A;CLDN16;CFTR;TUBA3E;TUBA3D;SYNPO;WHAMM;CLDN4;CLDN3;CLDN7;CLDN23;MYL6B;CLDN19;IGSF5;MARVELD2;AMOT;AMOTL1;DLG1;DLG2;DLG3;CTTN;ERBB2;NEDD4L;ARHGEF18;SCRIB;CLDN14;CLDN15;GATA4;CLDN17;TJP3;HCLS1;HSPA4;ITGB1;JUN;RHOA;LLGL2;LLGL1;MAP3K1;MAP3K5;RAB8A;MSN;MYH9;MYH10;MYH11;MYL2;MYL6;NEDD4;NF2;CLDN20;CLDN11;F11R;PARD6A;PCNA;CLDN18;AMOTL2;PRKAG2;RAPGEF6;RAB8B;TUBA8;PRKAG3;CLDN22;EPB41L4B;ARHGAP17;PPP2CA;PPP2CB;PPP2R1A;PPP2R1B;PPP2R2A;PPP2R2B;PPP2R2C;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKACA;PRKACB;PRKACG;PRKAG1;PRKCE;PRKCI;PPP2R2D;PRKCZ;MAPK8;MAPK9;MAPK10;MAP2K7;PARD3;ACTR3B;CGN;RAP2C;JAM2;MPP4;RAB13;RAC1;RAP1A;CCND1;RDX;ACTB;ROCK1;PALS1->MPP5;CLDN25;ACTR3C;SRC;STK11;TIAM1;TJP1;ACTG1;CLDN5;TUBA4A;TUBA3C;VASP;EZR;WAS;CACNA1D;TUBA1A;MICALL2;MYH14;TUBAL3;ACTN4;ARPC5L;SYMPK;JAM3;PARD6G;PARD6B;TUBA1C;CGNL1;YBX3;RUNX1;ACTN1;MPDZ;CLDN12;CLDN10;CLDN8;CLDN6;CLDN2;CLDN1;CLDN9;CD1A;CD1B;CD1C;CD1D;CD1E;ARHGEF2;MARVELD3;MAGI1;CRB3;TJAP1;NHERF1->SLC9A3R1;TJP2;ROCK2;RAPGEF2;CDC42	CLDN34;PATJ;POPDC1;AFDN;TUBA4B	GSE126044
Reactome_TJ_no_CLDN4	sensitivity	29	28	1	CLDN1;CLDN2;CLDN3;CLDN5;CLDN6;CLDN7;CLDN8;CLDN9;CLDN10;CLDN11;CLDN12;CLDN14;CLDN15;CLDN16;CLDN17;CLDN18;CLDN19;CLDN20;CLDN22;CLDN23;CRB3;F11R;PALS1->MPP5;PARD3;PARD6A;PARD6B;PARD6G;PRKCI	PATJ	GSE126044
CD8A	positive_control	1	1	0	CD8A		GSE126044
CD8	positive_control	2	2	0	CD8A;CD8B		GSE126044
TACSTD2	context	1	1	0	TACSTD2		GSE126044
CLDN4	single_gene	1	1	0	CLDN4->ENSG00000189143		GSE135222
Reactome_TJ	documented_TJ	30	30	0	CLDN1->ENSG00000163347;CLDN2->ENSG00000165376;CLDN3->ENSG00000165215;CLDN4->ENSG00000189143;CLDN5->ENSG00000184113;CLDN6->ENSG00000184697;CLDN7->ENSG00000181885(GRCh37);CLDN8->ENSG00000156284;CLDN9->ENSG00000213937;CLDN10->ENSG00000134873;CLDN11->ENSG00000013297;CLDN12->ENSG00000157224;CLDN14->ENSG00000159261;CLDN15->ENSG00000106404;CLDN16->ENSG00000113946;CLDN17->ENSG00000156282;CLDN18->ENSG00000066405;CLDN19->ENSG00000164007;CLDN20->ENSG00000171217;CLDN22->ENSG00000177300;CLDN23->ENSG00000253958;CRB3->ENSG00000130545;F11R->ENSG00000158769;PALS1->ENSG00000072415;PARD3->ENSG00000148498;PARD6A->ENSG00000102981;PARD6B->ENSG00000124171;PARD6G->ENSG00000178184;PATJ->ENSG00000132849;PRKCI->ENSG00000163558		GSE135222
KEGG_TJ	documented_TJ	171	171	0	CLDN24->ENSG00000185758;CLDN34->ENSG00000234469;OCLN->ENSG00000197822;ARPC5->ENSG00000162704;ARPC4->ENSG00000241553;ARPC3->ENSG00000111229;ARPC1B->ENSG00000130429;ACTR3->ENSG00000115091;ACTR2->ENSG00000138071;ARPC2->ENSG00000163466;CDK4->ENSG00000135446;PATJ->ENSG00000132849;TUBA1B->ENSG00000123416;MYL12B->ENSG00000118680;MYL9->ENSG00000101335;ARPC1A->ENSG00000241685;MYL12A->ENSG00000101608;CLDN16->ENSG00000113946;CFTR->ENSG00000001626;POPDC1->ENSG00000112276;TUBA3E->ENSG00000152086;TUBA3D->ENSG00000075886;SYNPO->ENSG00000171992;WHAMM->ENSG00000156232;CLDN4->ENSG00000189143;CLDN3->ENSG00000165215;CLDN7->ENSG00000181885(GRCh37);CLDN23->ENSG00000253958;MYL6B->ENSG00000196465;CLDN19->ENSG00000164007;IGSF5->ENSG00000183067;MARVELD2->ENSG00000152939;AMOT->ENSG00000126016;AMOTL1->ENSG00000166025;DLG1->ENSG00000075711;DLG2->ENSG00000108852;DLG3->ENSG00000161647;CTTN->ENSG00000143376(alt);ERBB2->ENSG00000141736;NEDD4L->ENSG00000049759;ARHGEF18->ENSG00000104880;SCRIB->ENSG00000180900(GRCh37);CLDN14->ENSG00000159261;CLDN15->ENSG00000106404;GATA4->ENSG00000136574;CLDN17->ENSG00000156282;TJP3->ENSG00000105289;HCLS1->ENSG00000180353;HSPA4->ENSG00000170606;ITGB1->ENSG00000150093;JUN->ENSG00000177606;RHOA->ENSG00000067560;LLGL2->ENSG00000073350;LLGL1->ENSG00000131899;MAP3K1->ENSG00000095015;MAP3K5->ENSG00000197442;RAB8A->ENSG00000167461;AFDN->ENSG00000130396;MSN->ENSG00000147065;MYH9->ENSG00000100345;MYH10->ENSG00000133026;MYH11->ENSG00000133392;MYL2->ENSG00000111245;MYL6->ENSG00000092841;NEDD4->ENSG00000069869;NF2->ENSG00000186575;CLDN20->ENSG00000171217;CLDN11->ENSG00000013297;F11R->ENSG00000158769;PARD6A->ENSG00000102981;PCNA->ENSG00000132646;CLDN18->ENSG00000066405;AMOTL2->ENSG00000114019;PRKAG2->ENSG00000106617;RAPGEF6->ENSG00000158987;RAB8B->ENSG00000166128;TUBA8->ENSG00000183785;PRKAG3->ENSG00000115592;CLDN22->ENSG00000177300;EPB41L4B->ENSG00000095203;ARHGAP17->ENSG00000140750;PPP2CA->ENSG00000113575;PPP2CB->ENSG00000104695;PPP2R1A->ENSG00000105568;PPP2R1B->ENSG00000137713;PPP2R2A->ENSG00000221914;PPP2R2B->ENSG00000156475;PPP2R2C->ENSG00000074211;PRKAA1->ENSG00000132356;PRKAA2->ENSG00000162409;PRKAB1->ENSG00000111725;PRKAB2->ENSG00000131791;PRKACA->ENSG00000072062;PRKACB->ENSG00000142875;PRKACG->ENSG00000165059;PRKAG1->ENSG00000181929;PRKCE->ENSG00000171132;PRKCI->ENSG00000163558;PPP2R2D->ENSG00000175470;PRKCZ->ENSG00000067606;MAPK8->ENSG00000107643;MAPK9->ENSG00000050748;MAPK10->ENSG00000109339;MAP2K7->ENSG00000076984;PARD3->ENSG00000148498;ACTR3B->ENSG00000133627;CGN->ENSG00000143375;RAP2C->ENSG00000123728;JAM2->ENSG00000154721;MPP4->ENSG00000129351;RAB13->ENSG00000143545;RAC1->ENSG00000129538;RAP1A->ENSG00000116473;CCND1->ENSG00000110092;RDX->ENSG00000137710;ACTB->ENSG00000075624;ROCK1->ENSG00000067900;PALS1->ENSG00000072415;CLDN25->ENSG00000228607;ACTR3C->ENSG00000106526;SRC->ENSG00000197122;STK11->ENSG00000118046;TIAM1->ENSG00000156299;TJP1->ENSG00000104067;ACTG1->ENSG00000184009(GRCh37);CLDN5->ENSG00000184113;TUBA4A->ENSG00000127824;TUBA3C->ENSG00000198033;VASP->ENSG00000125753;EZR->ENSG00000092820;WAS->ENSG00000015285;CACNA1D->ENSG00000157388;TUBA1A->ENSG00000167552;MICALL2->ENSG00000164877;MYH14->ENSG00000078814;TUBAL3->ENSG00000178462;TUBA4B->ENSG00000243910;ACTN4->ENSG00000130402(GRCh37);ARPC5L->ENSG00000136950;SYMPK->ENSG00000125755;JAM3->ENSG00000166086;PARD6G->ENSG00000178184;PARD6B->ENSG00000124171;TUBA1C->ENSG00000167553;CGNL1->ENSG00000128849;YBX3->ENSG00000060138;RUNX1->ENSG00000159216;ACTN1->ENSG00000072110;MPDZ->ENSG00000072201;CLDN12->ENSG00000157224;CLDN10->ENSG00000134873;CLDN8->ENSG00000156284;CLDN6->ENSG00000184697;CLDN2->ENSG00000165376;CLDN1->ENSG00000163347;CLDN9->ENSG00000213937;CD1A->ENSG00000158477;CD1B->ENSG00000158485;CD1C->ENSG00000158481;CD1D->ENSG00000158473;CD1E->ENSG00000158488;ARHGEF2->ENSG00000116584;MARVELD3->ENSG00000140832;MAGI1->ENSG00000153721;CRB3->ENSG00000130545;TJAP1->ENSG00000137221;NHERF1->ENSG00000109062;TJP2->ENSG00000119139;ROCK2->ENSG00000134318;RAPGEF2->ENSG00000109756;CDC42->ENSG00000070831		GSE135222
