nhood	n_cells	n_TNK	n_epithelial	n_malignant_like	frac_TNK	frac_epithelial	mean_TACSTD2_log1p_all	mean_TACSTD2_log1p_epi	mean_TACSTD2_log1p_tnk	index_lineage	index_cell	kth_distance	embedding	n_cells_da	n_samples_nonzero	testable	logFC	logCPM	F	PValue	FDR_BH	SpatialFDR	dispersion	ql_dispersion	ref_level	alt_level	n_samples	n_ref	n_alt	is_interface	tacstd2_high_epi_nhood	tnk_depleted_nhood	kept_composition	kept_da_enriched	tnk_rich_depleted_in_alt	keep_reason	contrast	epi_tacstd2_threshold	tnk_depleted_threshold
0	39	39	0	0	1.0	0.0	0.0		0.0	T	BD_immune01_66564	6.253851890563965	harmony	36.0	7	True	0.20298315165576972	6.631157314259025	0.04656982277680345	0.8345438433921007	0.95931790773721	0.9629802568551172	0.510278833829461	1.323336058001554	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
1	44	44	0	0	1.0	0.0	0.047260035038178085		0.047260035038178085	NK	BD_immune01_647852	6.067204475402832	harmony	34.0	5	True	0.4799804710205979	4.983006068555177	0.12996995447808338	0.7277966062213221	0.9166891784348878	0.9210930697649549	0.5677387963362043	2.409064275862096	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
2	50	50	0	0	1.0	0.0	0.027725887222397813		0.027725887222397813	NK	BD_immune01_566333	5.591763973236084	harmony	37.0	7	True	0.3617101399897057	6.459751291663902	0.07694012576846201	0.7885206253678507	0.9408723943485003	0.9446580973893642	0.49823502203457964	2.6013670718972226	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
3	55	54	0	0	0.9818181818181818	0.0	0.0		0.0	NK	BD_immune01_315641	5.271362781524658	harmony	30.0	6	True	1.8626310682666032	5.519872212240671	1.9365570197491957	0.20151497691893944	0.5976447029454052	0.6212342385963863	0.34741856653492936	2.7521697540721655	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
4	50	48	0	0	0.96	0.0	0.013862943611198907		0.014440566261665526	NK	BD_immune01_244839	4.991816997528076	harmony	47.0	5	True	0.7950347827357749	5.105630964533682	0.4019671250175206	0.5437733352220069	0.8430254840178899	0.8542407433677812	0.5602751055725249	2.36138544746176	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
5	46	46	0	0	1.0	0.0	0.0		0.0	NK	BD_immune01_185773	5.131018161773682	harmony	15.0	5	False		4.291099950776983					0.4178093030761775	2.250221684186039	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
6	72	72	0	0	1.0	0.0	0.009627044174443685		0.009627044174443685	NK	BD_immune01_555399	4.538456916809082	harmony	35.0	7	True	1.7299520037205756	6.250064371196711	2.0583395538818183	0.18928849763289296	0.5844658378941474	0.6093211658450598	0.2641494954065879	2.723636287423799	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
7	82	79	0	0	0.9634146341463414	0.0	0.0		0.0	NK	BD_immune01_32558	4.089267730712891	harmony	74.0	9	True	-0.11822457745174011	8.601082521982548	0.010835023189581544	0.9196590862869746	0.9819929913823466	0.9839720607387105	0.42835750061983735	2.7135631067564194	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
8	54	54	0	0	1.0	0.0	0.012836058899258247		0.012836058899258247	NK	BD_immune01_22829	5.007774353027344	harmony	33.0	8	True	0.496562213642484	7.071766570311112	0.23579402546129108	0.6402800133953546	0.8886496370048651	0.8965820041927866	0.49157557232714877	1.542056304620057	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
9	115	115	0	0	1.0	0.0	0.0		0.0	NK	BD_immune01_145131	3.9926183223724365	harmony	66.0	10	True	0.5791906237906971	9.272937593462448	0.4456078189989143	0.5232138680440774	0.8305941116690544	0.8418463536571308	0.4267671348477461	1.5302483659648944	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
10	97	96	0	0	0.9896907216494846	0.0	0.0		0.0	T	BD_immune01_853518	3.75131893157959	harmony	85.0	9	True	0.33866734760065936	9.145340753765073	0.1240189328169266	0.7338128468117965	0.9169688705486355	0.9210930697649549	0.4990163834059507	1.7840490315713384	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
11	85	85	0	0	1.0	0.0	0.0		0.0	T	BD_immune01_89457	3.923806667327881	harmony	67.0	8	True	-0.3930669761841973	7.942102090321571	0.13819712069451567	0.7197333890879966	0.9155599463663834	0.9205150567494711	0.5840147004067364	1.795618343878697	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
12	53	53	0	0	1.0	0.0	0.039234746069430865		0.039234746069430865	NK	BD_immune01_24678	5.427778720855713	harmony	35.0	6	True	1.7250935565591003	5.770686900652157	2.3151296856732513	0.16661522957664576	0.5626660986113962	0.588474268555459	0.39652859947775854	1.969513290580261	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
13	49	49	0	0	1.0	0.0	0.0		0.0	T	BD_immune01_23875	4.347189903259277	harmony	39.0	7	True	1.0661764123717314	6.656304220243655	1.1828516886187141	0.3084541057963651	0.7029323366671292	0.7248481597438949	0.35769358930421924	1.7975214436792173	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
14	70	66	0	0	0.9428571428571428	0.0	0.0		0.0	T	BD_immune01_417691	4.470379829406738	harmony	60.0	8	True	-1.661734396762255	7.756954216077768	2.3109428697942676	0.16695472300974679	0.5626660986113962	0.588474268555459	0.43043673713505415	2.1025210447768217	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
15	76	76	0	0	1.0	0.0	0.009120357638946648		0.009120357638946648	NK	BD_immune01_528344	4.426528453826904	harmony	47.0	8	True	-0.07711633747912017	7.572488833915088	0.005765628452641685	0.9413379545185031	0.9870595461531215	0.9883632520095518	0.4571250387683333	1.8217863150275864	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
16	50	50	0	0	1.0	0.0	0.0		0.0	NK	BD_immune01_154854	5.154417037963867	harmony	16.0	8	False		6.645797382216438					0.4178093030761775	0.7037153836241103	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
17	57	57	0	0	1.0	0.0	0.012160476851928864		0.012160476851928864	NK	BD_immune01_407616	4.241403102874756	harmony	47.0	7	True	0.5884052940114955	6.967265626281891	0.3480027151595165	0.5715273758713846	0.8568827132955941	0.8655751412110168	0.5823843959234742	1.4691880037337883	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
18	128	126	1	1	0.984375	0.0078125	0.010830424696249145	0.0	0.01100233619936421	NK	BD_immune01_543561	4.02528715133667	harmony	110.0	10	True	-0.8843642564421561	10.321735858773197	0.8207098559650958	0.39144064510803583	0.750355531376976	0.767907388952316	0.3307405508147334	2.6053380462915077	low	high	10	5	5	False	False	False	False	False	False		tacstd2_high_vs_low	0.51632594758476	0.06868022328548644
