term	bucket	n_cohorts	cohorts	median_NES	mean_NES	n_pos	n_neg	stouffer_z_signs	stouffer_p_signs	n_high_sum	n_low_sum	stouffer_fdr
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	MHC_I	4	GSE207422,GSE241934,GSE131907,GSE205335	-0.20910763445395575	-0.2133630669970964	2	2	0.0	1.0	42	42	1.0
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	TJ	4	GSE207422,GSE241934,GSE131907,GSE205335	1.5670051508299765	1.5826442013048712	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
GOBP_CORNIFICATION	KERATIN_BARRIER	2	GSE131907,GSE205335	0.9802804263752667	0.9802804263752667	2	0	1.414213562373095	0.15729920705028516	20	20	0.21449891870493432
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	KERATIN_BARRIER	4	GSE207422,GSE241934,GSE131907,GSE205335	1.8588051385195736	1.8804484898099538	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	EMT	4	GSE207422,GSE241934,GSE131907,GSE205335	1.4806988042172824	0.8613349671985364	3	1	1.0	0.31731050786291415	42	42	0.3966381348286427
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	KERATIN_BARRIER	4	GSE207422,GSE241934,GSE131907,GSE205335	1.9342352989061091	2.0123935649184785	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
GOBP_KERATINIZATION	KERATIN_BARRIER	4	GSE207422,GSE241934,GSE131907,GSE205335	1.43812532819467	1.5762624433603394	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
GOBP_KERATINOCYTE_DIFFERENTIATION	KERATIN_BARRIER	4	GSE207422,GSE241934,GSE131907,GSE205335	1.8320288439180041	1.86174881330444	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
GOBP_TIGHT_JUNCTION_ORGANIZATION	TJ	4	GSE207422,GSE241934,GSE131907,GSE205335	1.6812397824035674	1.7616263249336477	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
HALLMARK_APICAL_JUNCTION	TJ	4	GSE207422,GSE241934,GSE131907,GSE205335	1.407960036890993	1.5886634949806413	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	EMT	4	GSE207422,GSE241934,GSE131907,GSE205335	1.6867369613586192	1.9636697703103354	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_CONTEXT	4	GSE207422,GSE241934,GSE131907,GSE205335	0.09303061873351437	0.15353704821488323	2	2	0.0	1.0	42	42	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_CONTEXT	4	GSE207422,GSE241934,GSE131907,GSE205335	0.45231739944050964	0.4174345420763089	2	2	0.0	1.0	42	42	1.0
KEGG_TIGHT_JUNCTION	TJ	4	GSE207422,GSE241934,GSE131907,GSE205335	1.6545536643758445	1.712960199279129	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
KRT_EPITHELIAL	KERATIN_BARRIER	4	GSE207422,GSE241934,GSE131907,GSE205335	1.7375661829346405	1.7289896705515408	4	0	2.0	0.04550026389635839	42	42	0.06825039584453758
