tf	n_r10	n_top	mean_r_top	n_high_specific	det_high
BTF3	3284	50	0.49166515312839837	762	0.8037149490980532
NPM1	3453	50	0.6312439103514061	658	0.8501518128237185
AES	3158	50	0.388227052704108	486	0.7647794248973031
RARG	2625	50	0.2931441270473738	479	0.46454724057867475
PHB2	2679	50	0.41903450175113044	469	0.6497588855152706
ID1	2233	50	0.3070618930622062	462	0.5870691194856225
PCBD1	2276	50	0.37312653681231533	422	0.5961778889087337
FOSL1	1499	50	0.2735983222822188	418	0.3427397749598142
YBX3	3224	50	0.3559062787073308	411	0.78942668333631
ENO1	3578	50	0.4536269963789634	408	0.8465797463832827
TFAP2A	2508	50	0.29902963970830787	387	0.5518842650473299
PARK7	2173	50	0.35413812368704023	368	0.6276120735845687
NR2F2	1524	50	0.30991172203847384	363	0.2907662082514735
PPP1R13L	1873	50	0.31743140182583884	348	0.45954634756206464
TFAM	2329	50	0.2420324122223306	326	0.44650830505447403
OVOL1	885	50	0.2753905398421719	313	0.20182175388462226
GRHL1	1635	50	0.30862765438651674	311	0.3330951955706376
EHF	1266	50	0.25133146186130984	307	0.38685479549919627
CREG1	2127	50	0.3301512790389583	303	0.7160207179853545
ELK3	1476	50	0.28582382501322573	300	0.3691730666190391
YEATS4	676	50	0.2914036401756781	268	0.23932845150919807
YAP1	2521	50	0.3098824396676276	262	0.5183068405072334
GTF3A	1606	50	0.35721772381246	252	0.4688337203071977
TRIM31	522	50	0.30000163780975425	245	0.08162171816395784
MUC1	1440	50	0.5053279400335584	238	0.21718163957849615
SSB	3366	50	0.38044584156193667	233	0.7092337917485265
ZBTB7A	2987	50	0.3467847883159181	217	0.6576174316842294
ILF2	3624	50	0.3677154068149045	215	0.6988747990712627
SND1	1823	50	0.28255170587965267	210	0.44597249508840864
MAFK	1388	50	0.42960068403337665	207	0.36702982675477763
DNAJC2	2898	50	0.27290749519938595	201	0.5400964457938918
ID4	1282	50	0.36487836681896796	199	0.20646544025718877
SFPQ	3439	50	0.36176273881818716	199	0.7195927844257903
FOXQ1	1897	50	0.3342174931904025	196	0.4540096445793892
RBMX	3435	50	0.39829334329581484	194	0.6567244150741204
