accession	twoway	has_timepoint	has_response	malignant_matrix	t_cell_only	public_processed	is_lung	is_scrna	n_samples	note	title
GSE207422	True	True	True	True	False	True	True	True	39	3 pre-biopsy + 12 post-surgery; MPR/NMPR/pCR/NE and RECIST on the same GEO xlsx. Pre patients are not paired to the 12 post patients.	Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing
GSE102106	False	False	True	False	False	False	True	False	12	Response labels without a public pre/post axis.	Gene Expression of Primary Human Type I Alveolar Epithelial Cells Exposed to Bacillus anthracis, Sterne endospores
GSE103352	False	False	True	False	False	False	True	False	21	Response labels without a public pre/post axis.	Non-coding mechanisms of tolerance, persistence and resistance to EGFR inhibition in lung cancer [microRNA-seq]
GSE123814	False	False	True	False	False	False	False	False	124	Response labels without a public pre/post axis.	Clonal replacement of tumor-specific T cells following PD-1 blockade
GSE124885	False	False	True	False	False	False	True	False	4	Response labels without a public pre/post axis.	A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children
GSE131933	False	False	True	True	False	False	True	True	8	Response labels without a public pre/post axis.	Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment
GSE144945	False	False	True	True	False	False	True	True	10	Response labels without a public pre/post axis.	Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer
GSE146100	False	False	True	True	False	True	True	True	3	One patient, three post-pembrolizumab nodules with different radiographic responses. No pre-treatment scRNA.	Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma
GSE160673	False	False	True	True	False	False	True	True	12	Response labels without a public pre/post axis.	Secretory Cells Dominate Airway CFTR Expression and Function in Human Airway Superficial Epithelia [single-cell RNA-seq]
GSE160674	False	False	True	True	False	False	True	True	20	Response labels without a public pre/post axis.	Secretory Cells Dominate Airway CFTR Expression and Function in Human Airway Superficial Epithelia [bulk RNA]
GSE172421	False	False	True	False	False	False	True	False	18	Response labels without a public pre/post axis.	Long and short-read transcriptome profiling of human lung cancer cell lines
GSE176021	False	False	True	True	False	True	True	True	110	Response labels without a public pre/post axis.	Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]
GSE176022	False	False	True	True	False	False	True	True	102	Response labels without a public pre/post axis.	Distinct transcriptional programs characterize neoantigen-specific T cells in   lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]
GSE179994	False	True	True	False	True	True	True	True	47	Paired pre/post + good/poor response, but deposited matrix is T cells only. No malignant TACSTD2/CLDN4.	Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer
GSE183590	False	False	True	True	False	False	True	True	1456	Response labels without a public pre/post axis.	Single-cell RNA sequencing for the identification of early-stage lung cancer biomarkers from circulating blood
GSE192591	False	False	True	True	False	False	True	True	6	Response labels without a public pre/post axis.	PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance
GSE194070	False	False	True	True	False	False	True	True	16	Response labels without a public pre/post axis.	Tumor-intrinsic CD74 expression mediates immune evasion in lung cancer with COPD
GSE205335	False	False	True	True	False	True	True	True	33	RECIST on 14 core pre-ICI samples / 11 patients. Post-ICI / neoadjuvant samples were excluded from the response core. Raw in EGA.	Single-cell transcriptome profiles of tumor tissues from lung cancer patients receiving immune checkpoint inhibitors.
GSE213590	False	False	True	True	False	False	True	True	6	Response labels without a public pre/post axis.	FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis
GSE213902	False	True	True	True	False	False	True	True	6		The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer
GSE227000	False	False	True	False	False	False	True	False	5	Response labels without a public pre/post axis.	Long-read transcriptome profiling of human lung cancer cell lines
GSE229353	False	False	True	False	False	True	True	True	7	scRNA is post-surgery CD45+ immune cells (n=7). Paired pre/post in the paper is FFPE IHC, not scRNA. No malignant compartment.	PD-1 blockade potentiates neoadjuvant chemotherapy in NSCLC via increasing CD127+ and KLRG1+ CD8 T cells
GSE235500	False	True	True	True	False	False	True	True	34		Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [human]
GSE241977	False	False	True	True	False	False	True	True	6	Response labels without a public pre/post axis.	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)
