block	pr	gate	split	contrast	score	item	n	delta	frac_pos	p_wilcox_high_vs_low	rank_on_this_score	GSE123902	GSE131907	GSE205335	GSE189357	n_cohorts_pos	on_slide	note
same_scale	716	TACSTD2	q4q1	crude	expr_prop_pp	FAMILY	63	25.191954804200083	0.9523809523809523	7.23422735081563e-12		18.897171299535646	21.981963121208032	32.17546217709223	25.12288418083827	4	yes	Co-primary. 60/63 patients >0. I2=45%. EBUS_13 out.
same_scale	716	CLDN4	q4q1	crude	expr_prop_pp	FAMILY	64	25.604388068245676	0.96875	4.908681071049331e-12		21.327058096659865	21.7701477992708	32.4373997624201	24.78562025729293	4	yes	Co-primary. 62/64 patients >0. I2=34%. Locked Q4 vs Q1 +25.6.
same_scale	716	TACSTD2	q4q1	crude	expr_prop_pp	CDH1	63	32.25620444137469	0.7619047619047619	1.2568067208130598e-09	1	24.472605131436328	26.96078723933598	42.04147209869279	32.434483804296114	4	yes	Same rank as CLDN4.
same_scale	716	CLDN4	q4q1	crude	expr_prop_pp	CDH1	64	32.25666444632742	0.75	1.1812325186599061e-09	1	27.142236856300606	26.611031300007838	40.42598932622267	33.75555692024513	4	yes	Same rank as TACSTD2.
same_scale	716	TACSTD2	q4q1	crude	expr_prop_pp	NECTIN2	63	28.457320301720245	0.8888888888888888	8.919410123936717e-11	2	22.597558280145797	24.90179234312656	36.68159492012079	25.632620131268	4	yes	
same_scale	716	CLDN4	q4q1	crude	expr_prop_pp	NECTIN2	64	30.517898537942962	0.90625	2.696240623562287e-11	2	30.154309076371792	24.877280407445966	39.196211430745194	23.955128870389114	4	yes	
same_scale	716	TACSTD2	q4q1	crude	expr_prop_pp	F11R	63	25.85382080785981	0.6666666666666666	1.3205547366235221e-08	3	17.205131977084662	19.836245546812684	31.976468390496517	37.432583117376296	4	yes	
same_scale	716	CLDN4	q4q1	crude	expr_prop_pp	F11R	64	27.35893318045002	0.6875	6.343324948303714e-09	3	19.56740032221187	21.92887335691867	33.69163336835761	36.50720868102723	4	yes	
same_scale	716	TACSTD2	q4q1	crude	expr_prop_pp	LGALS9	63	14.20047366584559	0.7301587301587301	5.288501778768511e-08	4	11.313389809475781	16.229027355556894	18.002313299058805	4.991849670412687	4	yes	Smallest ligand on both gates.
same_scale	716	CLDN4	q4q1	crude	expr_prop_pp	LGALS9	64	12.284056108262309	0.640625	1.2910985763594576e-06	4	8.44428613175516	13.663406132710717	16.435764924354924	4.924586557510254	4	yes	Smallest ligand on both gates.
same_scale	716	TACSTD2	q4q1	crude	cellchat_hill	FAMILY	63	0.06631532600414444	0.9365079365079365	1.5470912076747997e-11		0.04103760023910912	0.04828198761103976	0.0986130563665207	0.06754031102610582	4	yes	Co-primary. No population-size weight.
same_scale	716	CLDN4	q4q1	crude	cellchat_hill	FAMILY	64	0.06513060063457736	0.953125	6.209655957698549e-12		0.04358814358347996	0.049494700250131994	0.0945980290957518	0.0639739175293502	4	yes	Co-primary. No population-size weight.
same_scale	716	TACSTD2	q4q1	crude	cpdb_means	FAMILY	63	0.10684696291575514	0.9365079365079365	3.425108994448457e-11		0.0731057601654431	0.08428203765578388	0.1403484086834188	0.12755849400826041	4	no	Receptor term cancels. Delta = (Lhigh-Llow)/2.
same_scale	716	CLDN4	q4q1	crude	cpdb_means	FAMILY	64	0.10530096204892374	0.96875	6.209655957698549e-12		0.06914625865775227	0.0868625307850938	0.14159647367394093	0.1158579016600677	4	no	Same definition as the TACSTD2 cpdb_means row.
same_scale	716	TACSTD2	q4q1	crude	liana_logfc	FAMILY	63	0.3082951670652139	0.9365079365079365	3.425108994448457e-11		0.2109386353022054	0.24318655552403254	0.4049599064084515	0.36805601345796374	4	no	log2 of log1p means. Same cells as expr_prop.
same_scale	716	CLDN4	q4q1	crude	liana_logfc	FAMILY	64	0.3038343514976384	0.96875	6.209655957698549e-12		0.19951392892312955	0.2506322848054395	0.40856106075351856	0.33429524034556174	4	no	
sensitivity	716	TACSTD2	decile	crude	expr_prop_pp	FAMILY	59	26.136186460992484	0.9491525423728814	5.4216027176280275e-11		21.931025471583276	24.907889367974246	30.383877920579614	23.82114178393691	4	no	Outer 10%. Same direction as Q4.
sensitivity	716	CLDN4	decile	crude	expr_prop_pp	FAMILY	60	27.762918418636367	0.95	3.693949861431933e-11		21.301294232949605	28.07711471404636	33.1001525132469	22.543609578963416	4	no	Matches locked decile +27.8.
other_score	711	CLDN4	pos_vs_neg	crude	cpdb_lr_means	FAMILY	53	0.2533	0.981	3.36e-10		0.1709	0.2918	0.2435	0.2665	4	no	Winner row. expr_prop gate 0.10. No TACSTD2 arm. BH q=7.34e-10.
other_score	711	CLDN4	pos_vs_neg	crude	connectome_expr_prod	FAMILY	53	0.1250								4	no	Same winner gate. Cohort means are published for CellPhoneDB, not as a second Connectome vector. Connectome cohort signs are 4/4.
other_score	711	CLDN4	pos_vs_neg	crude	cpdb_lr_means	CDH1	50	0.2950	1.000	1.78e-15	1	0.2824	0.2896	0.2799	0.3757	4	no	Rank 1 on this score.
other_score	711	CLDN4	pos_vs_neg	crude	cpdb_lr_means	F11R	43	0.2668	1.000	2.27e-13	2	0.2710	0.2518	0.2567	0.3035	4	no	Rank 2 here. Rank 3 on the #716 expression-proportion profile.
other_score	711	CLDN4	pos_vs_neg	crude	cpdb_lr_means	NECTIN2	52	0.2398	0.981	5.15e-10	3	0.0822	0.2682	0.2781	0.2278	4	no	Rank 3 here. Rank 2 on the #716 expression-proportion profile.
other_score	711	CLDN4	pos_vs_neg	crude	cpdb_lr_means	LGALS9	53	0.2217	0.679	1.31e-05	4	0.0699	0.3505	0.1711	0.2093	4	no	Least consistent ligand. Patient fraction 0.679.
