cohort	outcome	model	k	n	rho	p	ci_low	ci_high	q
LUAD	CD8_score	keratin	3	516	-0.10350424	0.019032085	-0.1883876	-0.017085922	0.050752225
LUAD	CD8_score	keratin_CLDN4	4	516	-0.075924211	0.086116718	-0.16151753	0.010802851	0.11482229
LUAD	CD8_score	keratin_CLDN7	4	516	-0.077540423	0.079620718	-0.16310048	0.0091772284	0.18199021
LUAD	CD8_score	keratin_EPCAM	4	516	-0.071200014	0.10757754	-0.15688802	0.015551926	0.21515509
LUAD	CD8_score	keratin_CLDN7_EPCAM	5	516	-0.061564182	0.16465415	-0.14751723	0.025311794	0.26344664
LUAD	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	516	-0.083814449	0.058560093	-0.1694075	0.0030335049	0.11545396
LUAD	CD3_score	keratin	3	516	-0.054327669	0.2192967	-0.1402395	0.03239611	0.2923956
LUAD	CD3_score	keratin_CLDN4	4	516	-0.016176781	0.71498599	-0.10268882	0.070578142	0.81712684
LUAD	CD3_score	keratin_CLDN7	4	516	-0.020838109	0.63806126	-0.10730034	0.065936943	0.74893216
LUAD	CD3_score	keratin_EPCAM	4	516	-0.013431729	0.76174036	-0.099971355	0.073309585	0.79696093
LUAD	CD3_score	keratin_CLDN7_EPCAM	5	516	-0.00022573339	0.99593856	-0.086964838	0.086516768	0.99593856
LUAD	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	516	-0.022674763	0.60943688	-0.10928548	0.064277663	0.60943688
LUSC	CD8_score	keratin	3	501	-0.22131122	6.0900824e-07	-0.30328032	-0.13609098	4.8720659e-06
LUSC	CD8_score	keratin_CLDN4	4	501	-0.23327632	1.4390324e-07	-0.31477294	-0.14836537	1.151226e-06
LUSC	CD8_score	keratin_CLDN7	4	501	-0.21972286	7.5507942e-07	-0.30184457	-0.13436447	6.0406354e-06
LUSC	CD8_score	keratin_EPCAM	4	501	-0.23164722	1.7659653e-07	-0.31322057	-0.14668069	2.8255445e-06
LUSC	CD8_score	keratin_CLDN7_EPCAM	5	501	-0.23251774	1.6294244e-07	-0.31413072	-0.14749341	1.3035395e-06
LUSC	CD8_score	keratin_CLDN7_EPCAM_CLDN4	6	501	-0.24712298	2.5346589e-08	-0.32810962	-0.16253008	2.0277272e-07
LUSC	CD3_score	keratin	3	501	-0.16247331	0.00027174134	-0.24681641	-0.075687169	0.0021739307
LUSC	CD3_score	keratin_CLDN4	4	501	-0.16961504	0.0001450733	-0.25378405	-0.082896657	0.0011605864
LUSC	CD3_score	keratin_CLDN7	4	501	-0.15037878	0.00077052614	-0.23522267	-0.06326042	0.0041094728
LUSC	CD3_score	keratin_EPCAM	4	501	-0.18883859	2.2606672e-05	-0.27227143	-0.10258742	0.00036170676
LUSC	CD3_score	keratin_CLDN7_EPCAM	5	501	-0.18160167	4.7391598e-05	-0.26540196	-0.095078083	0.00037913279
LUSC	CD3_score	keratin_CLDN7_EPCAM_CLDN4	6	501	-0.19853394	8.5746579e-06	-0.28173703	-0.11236732	6.8597263e-05
