predictor	outcome	adjustment	n_cohorts	n_negative	stouffer_z	stouffer_p	median_delta	thesis	q
CLDN7	T_CD3	none	8	8	-9.098717424274314	9.140482266088225e-20	-0.25046368760697296	True	1.5356010207028217e-17
CLDN7	T_CD3	squamous_pearson	8	8	-8.788241475861797	1.5191915700838056e-18	-0.22113080186326134	True	1.2761209188703968e-16
CLDN7	T_CD3	squamous_spearman	8	8	-8.367888848745082	5.865968581094395e-17	-0.21180537746320732	True	3.2849424054128614e-15
CLDN7	CD8A	squamous_pearson	8	7	-8.083583159562773	6.289103603522211e-16	-0.18001232622631963	True	2.6414235134793287e-14
CLDN7	CD8A	none	8	8	-8.036582072532848	9.237908114919159e-16	-0.18432969453623066	True	3.103937126612837e-14
CLDN4	CYT_Rooney	none	8	8	-7.994407629893055	1.301983275689419e-15	-0.22124965084556164	True	3.645553171930373e-14
CLDN4	CYT_Rooney	squamous_pearson	8	8	-7.751954094998139	9.048910525697968e-15	-0.2275025478601026	True	1.827890404526827e-13
CLDN7	CYT_Rooney	none	8	7	-7.747278272102583	9.38830684634684e-15	-0.16695261982788762	True	1.827890404526827e-13
CLDN7	CYT_Rooney	squamous_pearson	8	7	-7.741925065374499	9.792270024250859e-15	-0.17024238889455562	True	1.827890404526827e-13
CLDN7	CD8_AB	squamous_pearson	8	7	-7.702296996523079	1.3364182616674169e-14	-0.18414511774208597	True	2.2451826796012602e-13
CLDN4	cytotoxic_8	none	8	8	-7.669519454752641	1.726419172378811e-14	-0.22987615675299689	True	2.636712917814911e-13
CLDN7	CD8A	squamous_spearman	8	7	-7.630609526544334	2.3364636451151116e-14	-0.17147231125422913	True	3.2710491031611565e-13
CLDN4	cytotoxic_4	none	8	7	-7.609001549973234	2.7622143956196042e-14	-0.2311229598772575	True	3.5696309112622575e-13
CLDN7	CD8_AB	none	8	7	-7.572736541362596	3.654429671027605e-14	-0.18657984782131515	True	4.2973529784333896e-13
CLDN7	cytotoxic_8	squamous_pearson	8	8	-7.566405785540923	3.836922302172669e-14	-0.176164583480451	True	4.2973529784333896e-13
CLDN4	CYT_Rooney	squamous_spearman	8	8	-7.556768774023539	4.132055651104909e-14	-0.23063539141146655	True	4.338658433660154e-13
CLDN4	T_CD3	none	8	8	-7.4868309967044695	7.055646025997576e-14	-0.2106053356771504	True	6.681704332056423e-13
CLDN7	cytotoxic_8	none	8	7	-7.480207489587684	7.420535816560851e-14	-0.16256524396250877	True	6.681704332056423e-13
CLDN4	T_CD3	squamous_pearson	8	8	-7.477817747228836	7.55668942315905e-14	-0.21380310031189526	True	6.681704332056423e-13
CLDN4	cytotoxic_4	squamous_pearson	8	8	-7.4506209701661	9.290191121385015e-14	-0.22033192361912085	True	7.803760541963413e-13
CLDN4	cytotoxic_8	squamous_pearson	8	8	-7.413125867847999	1.2335670623013846e-13	-0.2156216507928782	True	9.868536498411077e-13
CLDN7	CD8_effector	squamous_pearson	8	8	-7.404645207895656	1.3150156637209936e-13	-0.16960313537179578	True	1.0041937795687588e-12
CLDN4	T_CD3	squamous_spearman	8	8	-7.396569864746055	1.3974729452149472e-13	-0.2300157889408192	True	1.0207628469396137e-12
CLDN7	cytotoxic_4	squamous_pearson	8	7	-7.387465169180429	1.496543167807152e-13	-0.17290423794790244	True	1.0475802174650064e-12
CLDN4	CD8_effector	none	8	7	-7.285958457342247	3.193913918247727e-13	-0.22968580013069806	True	2.1463101530624723e-12
CLDN4	cytotoxic_8	squamous_spearman	8	8	-7.2747450663199835	3.4707526382103406e-13	-0.21843003762563745	True	2.2426401662282205e-12
CLDN7	CD8_AB	squamous_spearman	8	7	-7.2604848729239695	3.857051829102373e-13	-0.17524733357882138	True	2.332876951735007e-12
CLDN7	CD8_effector	none	8	8	-7.259399404102998	3.8881282528916783e-13	-0.15556048127311928	True	2.332876951735007e-12
CLDN7	CYT_Rooney	squamous_spearman	8	7	-7.2491777136834665	4.193094259674352e-13	-0.16141205937712771	True	2.429102881466521e-12
CLDN4	CD8_effector	squamous_pearson	8	8	-7.2236944522600925	5.059386685987808e-13	-0.21918301832302906	True	2.8332565441531724e-12
CLDN4	cytotoxic_4	squamous_spearman	8	8	-7.210627973298753	5.569442604143524e-13	-0.2267503951471656	True	3.0182785725681035e-12
CLDN7	cytotoxic_4	none	8	7	-7.175939966203241	7.181206328202511e-13	-0.16215898123955463	True	3.770133322306318e-12
CLDN4	CD8_effector	squamous_spearman	8	8	-7.077190445162401	1.4710631059689538e-12	-0.2124211441298713	True	7.489048539478311e-12
CLDN7	cytotoxic_8	squamous_spearman	8	7	-7.004987061179207	2.470086604664414e-12	-0.1596813017145856	True	1.2205133811282987e-11
CLDN7	CD8_effector	squamous_spearman	8	7	-6.953745832493664	3.557122448104759e-12	-0.15730605967877348	True	1.7074187750902843e-11
CLDN4	CD8A	squamous_pearson	8	8	-6.929922408527004	4.210715056755536e-12	-0.19319432197693293	True	1.96500035981925e-11
CLDN4	CD8A	none	8	8	-6.91394963928663	4.713425629820371e-12	-0.21105519318641325	True	2.1401500157022224e-11
CLDN7	cytotoxic_4	squamous_spearman	8	7	-6.78421924230448	1.1671597100463709e-11	-0.16304789464044817	True	5.160074507573429e-11
CLDN4	CD8A	squamous_spearman	8	8	-6.715270748567982	1.8771733985575682e-11	-0.20073055362400954	True	8.086285409171064e-11
CLDN7	T_CD3	simple_pearson	8	7	-6.674425763769434	2.48202076922343e-11	-0.18452935744131999	True	1.0424487230738408e-10
CLDN4	CD8_AB	squamous_pearson	8	8	-6.646051689736461	3.0105956953277755e-11	-0.20412465809591668	True	1.233609943451381e-10
CLDN4	CD8_AB	squamous_spearman	8	8	-6.44041019255906	1.1915104158443598e-10	-0.19595224166477687	True	4.766041663377439e-10
CLDN4	CD8_AB	none	8	7	-6.359517763656447	2.0238812586304368e-10	-0.22240692078141616	True	7.907257010463102e-10
CLDN4	CYT_Rooney	simple_pearson	8	8	-6.2477102058757925	4.165135326490405e-10	-0.2217090963682687	True	1.5903243973872455e-09
CLDN4	cytotoxic_4	simple_pearson	8	7	-6.187375307521493	6.117420095199468e-10	-0.23663892221009974	True	2.283836835541135e-09
CLDN4	cytotoxic_8	simple_pearson	8	8	-6.161708322776193	7.196431590825371e-10	-0.20578166154424526	True	2.62826197230144e-09
CLDN7	CYT_Rooney	simple_pearson	8	8	-6.098571318913908	1.0702064771558499e-09	-0.08526532252138264	True	3.825418897067719e-09
CLDN7	cytotoxic_8	simple_pearson	8	8	-6.0465316494409	1.4799717051326232e-09	-0.0952223633035707	True	5.1799009679641806e-09
CLDN7	CD8A	simple_pearson	8	7	-5.917969238449013	3.25940907902306e-09	-0.1281250035107258	True	1.1175116842364778e-08
CLDN7	cytotoxic_4	simple_pearson	8	8	-5.9123581830718335	3.3724417652390625e-09	-0.09302679222113197	True	1.133140433120325e-08
CLDN7	T_CD3	simple_spearman	8	7	-5.867695613071291	4.4189352537429995e-09	-0.18148333393672517	True	1.4556492600565174e-08
CLDN4	cytotoxic_4	simple_spearman	8	7	-5.859614619136954	4.639425736134684e-09	-0.20999786406937504	True	1.4988913916742824e-08
CLDN4	cytotoxic_8	simple_spearman	8	7	-5.846498669875748	5.020275817092315e-09	-0.20461830919731727	True	1.5913327118330357e-08
CLDN4	CD8_effector	simple_pearson	8	7	-5.794274534159054	6.8617136409821665e-09	-0.2012923060702202	True	2.1347553549722295e-08
CLDN4	CYT_Rooney	simple_spearman	8	7	-5.775943769656442	7.652292825597293e-09	-0.1916391242513471	True	2.3374276267279003e-08
CLDN7	CD8_AB	simple_pearson	8	7	-5.734281457129902	9.79265996582364e-09	-0.13930613525566365	True	2.9377979897470917e-08
TACSTD2	CD8_effector	squamous_spearman	8	7	-5.688897049929205	1.2786252099015313e-08	-0.18815015246631206	True	3.768579566025566e-08
TACSTD2	cytotoxic_4	squamous_spearman	8	7	-5.659699107542593	1.5163862623083896e-08	-0.18318154828269023	True	4.3922912425484383e-08
CLDN7	CD8_effector	simple_pearson	8	8	-5.639251970493656	1.707904652752384e-08	-0.09139022713227352	True	4.863186129871195e-08
TACSTD2	cytotoxic_4	squamous_pearson	8	6	-5.627003977644793	1.8336650092876718e-08	-0.18469936187347624	True	5.1342620260054815e-08
TACSTD2	CD8_effector	squamous_pearson	8	6	-5.599233730460687	2.1530135167280588e-08	-0.19121899366045614	True	5.929610996890392e-08
CLDN4	CD8_effector	simple_spearman	8	7	-5.55066957740428	2.8457751342103147e-08	-0.20785296253577684	True	7.711132621731175e-08
TACSTD2	CD8_AB	squamous_spearman	8	7	-5.453385175580705	4.941986195305684e-08	-0.1793314680059287	True	1.317862985414849e-07
TACSTD2	CD8_AB	none	8	6	-5.394274373821148	6.880101883868703e-08	-0.14230704803731237	True	1.8060267445155345e-07
CLDN4	T_CD3	simple_pearson	8	8	-5.357097053275581	8.456969863533596e-08	-0.12573795347074934	True	2.1858014416517604e-07
CLDN7	CD8A	simple_spearman	8	7	-5.303841619670783	1.1339070123583083e-07	-0.13312865303479465	True	2.886308758730239e-07
TACSTD2	CYT_Rooney	squamous_spearman	8	7	-5.274838860139378	1.3287278738354207e-07	-0.16602788505799804	True	3.33173556424404e-07
CLDN7	CD8_AB	simple_spearman	8	7	-5.233647978109629	1.661968354600768e-07	-0.1416063812225321	True	4.10603946430778e-07
CLDN7	CYT_Rooney	simple_spearman	8	8	-5.226068438393795	1.73152290972761e-07	-0.0743631344035584	True	4.2158818671628763e-07
TACSTD2	CYT_Rooney	squamous_pearson	8	6	-5.200793196914778	1.98439806616759e-07	-0.16593274731521918	True	4.762555358802216e-07
CLDN7	cytotoxic_8	simple_spearman	8	8	-5.166212222096463	2.388855436861096e-07	-0.09604855356196002	True	5.65250300553048e-07
TACSTD2	CD8A	squamous_spearman	8	6	-5.122217071367699	3.019639797946024e-07	-0.17151045262765885	True	7.045826195207391e-07
TACSTD2	CD8_AB	squamous_pearson	8	6	-5.113656277743809	3.15982104742218e-07	-0.17212728690618928	True	7.271916931053784e-07
TACSTD2	cytotoxic_8	squamous_spearman	8	7	-5.085549131447939	3.665639210166202e-07	-0.1694759506050414	True	8.321991720377325e-07
CLDN4	CD8A	simple_pearson	8	8	-5.079628598510725	3.7817346081701194e-07	-0.1320238638123724	True	8.471085522301068e-07
TACSTD2	cytotoxic_8	squamous_pearson	8	6	-5.022004822940555	5.113489903423703e-07	-0.16880703766794058	True	1.130350399704187e-06
CLDN7	CD8_effector	simple_spearman	8	8	-4.999061549192372	5.761001265520457e-07	-0.09028743340628759	True	1.2569457306590086e-06
TACSTD2	CD8A	none	8	7	-4.981799314150991	6.299574937610027e-07	-0.12949859427986038	True	1.3568315250236983e-06
TACSTD2	CD8A	squamous_pearson	8	6	-4.975620438875367	6.503898000316016e-07	-0.16121940032548082	True	1.3831074228520137e-06
TACSTD2	CD8_effector	none	8	6	-4.957248297626311	7.149857875297958e-07	-0.15188394666070854	True	1.5014701538125712e-06
CLDN7	cytotoxic_4	simple_spearman	8	7	-4.944268781231468	7.643019379346387e-07	-0.0939591409270849	True	1.585218834234806e-06
CLDN4	CD8_AB	simple_pearson	8	7	-4.767005373088543	1.8698432516725206e-06	-0.11860111893835235	True	3.830898369280286e-06
CLDN4	T_CD3	simple_spearman	8	8	-4.723711589885535	2.3157877568677344e-06	-0.138802170105515	True	4.687377628358788e-06
CLDN4	CD8A	simple_spearman	8	7	-4.6546351228311185	3.2455493804711406e-06	-0.13762263089309784	True	6.49109876094228e-06
TACSTD2	T_CD3	squamous_spearman	8	7	-4.631431242494097	3.631465986364742e-06	-0.14272404673264855	True	7.1774857142267845e-06
TACSTD2	cytotoxic_4	none	8	6	-4.577170007443272	4.713084264067158e-06	-0.1479190857052421	True	9.206955306549798e-06
TACSTD2	T_CD3	squamous_pearson	8	6	-4.471152726007744	7.77991123684952e-06	-0.12711745953849468	True	1.5023276871157692e-05
TACSTD2	CYT_Rooney	none	8	6	-4.4002997539401	1.0810144464230207e-05	-0.15435579256566373	True	2.0637548522621305e-05
CLDN4	CD8_AB	simple_spearman	8	7	-4.309000303461995	1.6399414327701834e-05	-0.14607395205624168	True	3.095619783206638e-05
TACSTD2	T_CD3	none	8	6	-4.093902905321321	4.241719945971797e-05	-0.14649697524615385	True	7.830867592563318e-05
TACSTD2	cytotoxic_8	none	8	6	-4.066291064144123	4.776727099522006e-05	-0.147494763766722	True	8.722719051301054e-05
TACSTD2	CD8_AB	simple_pearson	8	7	-3.7064690474808355	0.00021016890834571413	-0.11232772415921499	True	0.0003677955896049997
TACSTD2	CD8_effector	simple_pearson	8	6	-3.628559763161182	0.00028500677763194595	-0.12758801343839205	True	0.0004936199860017209
TACSTD2	cytotoxic_4	simple_pearson	8	6	-3.5559555910559766	0.00037660769513295667	-0.1417248305601408	True	0.0006456131916564972
TACSTD2	CD8A	simple_pearson	8	7	-3.424241789654048	0.0006165174116632946	-0.12210506561691664	True	0.0010357492515943349
TACSTD2	CD8_effector	squamous_ESTIMATE_spearman	8	6	-3.3732052425976566	0.0007429854813212708	-0.11227515594760429	True	0.0012358570382373613
TACSTD2	cytotoxic_4	squamous_ESTIMATE_spearman	8	6	-3.3044528263584376	0.0009516198940131137	-0.11613294428098819	True	0.0015673739430804225
TACSTD2	cytotoxic_8	simple_pearson	8	6	-3.2698243312575617	0.0010761429191851603	-0.12602992011780528	True	0.0017552622371175429
TACSTD2	CD8_AB	simple_spearman	8	7	-3.257072539159755	0.001125676620938343	-0.05635427586519409	True	0.0018184006953619386
TACSTD2	CD8_effector	simple_ESTIMATE_spearman	8	7	-3.2216267112946175	0.0012746508577426898	-0.06745961436383457	True	0.00203911209313979
TACSTD2	CD8_effector	simple_spearman	8	6	-3.2189559163564216	0.0012865826301953437	-0.0829214412525982	True	0.00203911209313979
TACSTD2	T_CD3	simple_pearson	8	6	-3.1807140114825225	0.0014691258194219016	-0.11017518395661258	True	0.002306664837970836
TACSTD2	CD8A	simple_ABSOLUTE_spearman	5	5	-3.113687501169067	0.0018476506955489925	-0.15204426404226856	True	0.0028741233041873213
TACSTD2	CYT_Rooney	simple_pearson	8	6	-3.0890766686772717	0.0020077961818515183	-0.12077863553948864	True	0.0030945849408353676
TACSTD2	CD8_effector	simple_ABSOLUTE_spearman	5	5	-3.0707102057559985	0.0021355030739834604	-0.10488110137672091	True	0.0032614956039020123
TACSTD2	cytotoxic_4	simple_ESTIMATE_spearman	8	7	-3.037733821751325	0.0023836440025694597	-0.0702497790968008	True	0.0036076774092943173
TACSTD2	CD8_AB	simple_ABSOLUTE_spearman	5	5	-3.029822208263802	0.0024469773839286726	-0.08909499081611827	True	0.0036704660758930087
TACSTD2	cytotoxic_4	simple_spearman	8	6	-2.9598630210066155	0.0030777585454276695	-0.09472965971162733	True	0.004575782616211048
TACSTD2	CD8_AB	simple_ESTIMATE_spearman	8	7	-2.9505845539311415	0.0031717321740664015	-0.07791648722365774	True	0.00467413162493996
TACSTD2	CYT_Rooney	squamous_ESTIMATE_spearman	8	6	-2.9349443103530684	0.003336075559728839	-0.1038255488915959	True	0.004873571252473435
TACSTD2	CD8A	simple_spearman	8	7	-2.8893082242759127	0.003860904284811589	-0.07568882746095651	True	0.005591654481451267
TACSTD2	CD8A	simple_ESTIMATE_spearman	8	7	-2.839950609798369	0.0045120519186665166	-0.06300286341212119	True	0.0064788437806493565
TACSTD2	cytotoxic_4	simple_ABSOLUTE_spearman	5	5	-2.7230910168619036	0.0064674237361018625	-0.09952606635071093	True	0.009130480568614393
