score	gene	status
IFN_gamma	Adar	used
IFN_gamma	Apol6	used
IFN_gamma	Arid5b	used
IFN_gamma	Arl4a	used
IFN_gamma	Auts2	used
IFN_gamma	B2m	used
IFN_gamma	Bank1	used
IFN_gamma	Batf2	used
IFN_gamma	Bpgm	used
IFN_gamma	Bst2	used
IFN_gamma	Btg1	used
IFN_gamma	C1s1	used
IFN_gamma	Casp1	used
IFN_gamma	Casp3	used
IFN_gamma	Casp4	used
IFN_gamma	Casp7	used
IFN_gamma	Casp8	used
IFN_gamma	Ccl5	used
IFN_gamma	Ccl7	used
IFN_gamma	Cd274	used
IFN_gamma	Cd38	used
IFN_gamma	Cd40	used
IFN_gamma	Cd69	used
IFN_gamma	Cd74	used
IFN_gamma	Cd86	used
IFN_gamma	Cdkn1a	used
IFN_gamma	Cfb	used
IFN_gamma	Cfh	used
IFN_gamma	Ciita	used
IFN_gamma	Cmklr1	used
IFN_gamma	Cmpk2	used
IFN_gamma	Cmtr1	used
IFN_gamma	Cxcl10	used
IFN_gamma	Cxcl9	used
IFN_gamma	Ddx60	used
IFN_gamma	Dhx58	used
IFN_gamma	Eif2ak2	used
IFN_gamma	Eif4e3	used
IFN_gamma	Epsti1	used
IFN_gamma	Fas	used
IFN_gamma	Fcgr1	used
IFN_gamma	Fgl2	used
IFN_gamma	Fpr1	used
IFN_gamma	Gbp3	used
IFN_gamma	Gch1	used
IFN_gamma	Gpr18	used
IFN_gamma	Gzma	used
IFN_gamma	H2-Aa	used
IFN_gamma	H2-DMa	used
IFN_gamma	Helz2	used
IFN_gamma	Herc6	used
IFN_gamma	Hif1a	used
IFN_gamma	Icam1	used
IFN_gamma	Ido1	used
IFN_gamma	Ifi27	used
IFN_gamma	Ifi30	used
IFN_gamma	Ifi35	used
IFN_gamma	Ifi44	used
IFN_gamma	Ifi44l	used
IFN_gamma	Ifih1	used
IFN_gamma	Ifit2	used
IFN_gamma	Ifit3	used
IFN_gamma	Ifitm2	used
IFN_gamma	Ifitm3	used
IFN_gamma	Ifnar2	used
IFN_gamma	Il10ra	used
IFN_gamma	Il15	used
IFN_gamma	Il15ra	used
IFN_gamma	Il18bp	used
IFN_gamma	Il2rb	used
IFN_gamma	Il4ra	used
IFN_gamma	Il6	used
IFN_gamma	Il7	used
IFN_gamma	Irf1	used
IFN_gamma	Irf2	used
IFN_gamma	Irf4	used
IFN_gamma	Irf5	used
IFN_gamma	Irf7	used
IFN_gamma	Irf8	used
IFN_gamma	Irf9	used
IFN_gamma	Isg15	used
IFN_gamma	Isg20	used
IFN_gamma	Isoc1	used
IFN_gamma	Itgb7	used
IFN_gamma	Jak2	used
IFN_gamma	Lap3	used
IFN_gamma	Lats2	used
IFN_gamma	Lcp2	used
IFN_gamma	Lgals3bp	used
IFN_gamma	Ly6e	used
IFN_gamma	Lysmd2	used
IFN_gamma	Marchf1	used
IFN_gamma	Mthfd2	used
IFN_gamma	Mvp	used
IFN_gamma	Myd88	used
IFN_gamma	Nampt	used
IFN_gamma	Ncoa3	used
IFN_gamma	Nfkb1	used
IFN_gamma	Nfkbia	used
IFN_gamma	Nlrc5	used
IFN_gamma	Nmi	used
IFN_gamma	Nod1	used
IFN_gamma	Nup93	used
IFN_gamma	Oas2	used
IFN_gamma	Oas3	used
IFN_gamma	Oasl1	used
IFN_gamma	Ogfr	used
IFN_gamma	P2ry14	used
IFN_gamma	Parp12	used
IFN_gamma	Parp14	used
IFN_gamma	Pde4b	used
IFN_gamma	Peli1	used
IFN_gamma	Pfkp	used
IFN_gamma	Pim1	used
IFN_gamma	Pla2g4a	used
IFN_gamma	Plscr1	used
IFN_gamma	Pml	used
IFN_gamma	Pnp	used
IFN_gamma	Pnpt1	used
IFN_gamma	Psma2	used
IFN_gamma	Psma3	used
IFN_gamma	Psmb10	used
IFN_gamma	Psmb2	used
IFN_gamma	Psmb8	used
IFN_gamma	Psmb9	used
IFN_gamma	Psme1	used
IFN_gamma	Psme2	used
IFN_gamma	Ptgs2	used
IFN_gamma	Ptpn1	used
IFN_gamma	Ptpn2	used
IFN_gamma	Ptpn6	used
IFN_gamma	Rapgef6	used
IFN_gamma	Rbck1	used
IFN_gamma	Rigi	used
IFN_gamma	Ripk1	used
IFN_gamma	Ripk2	used
IFN_gamma	Rnf213	used
IFN_gamma	Rnf31	used
IFN_gamma	Rsad2	used
IFN_gamma	Rtp4	used
IFN_gamma	Samd9l	used
IFN_gamma	Samhd1	used
IFN_gamma	Sectm1a	used
IFN_gamma	Selp	used
IFN_gamma	Serping1	used
IFN_gamma	Slamf7	used
IFN_gamma	Slc25a28	used
IFN_gamma	Socs1	used
IFN_gamma	Socs3	used
IFN_gamma	Sod2	used
IFN_gamma	Sp110	used
IFN_gamma	Sppl2a	used
IFN_gamma	Sri	used
IFN_gamma	Sspn	used
IFN_gamma	St3gal5	used
IFN_gamma	St8sia4	used
IFN_gamma	Stat1	used
IFN_gamma	Stat2	used
IFN_gamma	Stat3	used
IFN_gamma	Stat4	used
IFN_gamma	Tap1	used
IFN_gamma	Tapbp	used
IFN_gamma	Tdrd7	used
IFN_gamma	Tnfaip2	used
IFN_gamma	Tnfaip3	used
IFN_gamma	Tnfaip6	used
IFN_gamma	Tnfsf10	used
IFN_gamma	Tor1b	used
IFN_gamma	Trafd1	used
IFN_gamma	Trim14	used
IFN_gamma	Trim21	used
IFN_gamma	Trim25	used
IFN_gamma	Trim26	used
IFN_gamma	Txnip	used
IFN_gamma	Ube2l6	used
IFN_gamma	Upp1	used
IFN_gamma	Usp18	used
IFN_gamma	Vamp5	used
IFN_gamma	Vamp8	used
IFN_gamma	Vcam1	used
IFN_gamma	Wars1	used
IFN_gamma	Xaf1	used
IFN_gamma	Xcl1	used
IFN_gamma	Zbp1	used
IFN_gamma	Znfx1	used
IFN_gamma	Cxcl11	dropped
IFN_gamma	Mx2	dropped
IFN_gamma	Tmt1b	dropped
IFN_alpha	Adar	used
IFN_alpha	B2m	used
IFN_alpha	Batf2	used
IFN_alpha	Bst2	used
IFN_alpha	C1s1	used
IFN_alpha	Casp1	used
IFN_alpha	Casp8	used
IFN_alpha	Ccrl2	used
IFN_alpha	Cd47	used
IFN_alpha	Cd74	used
IFN_alpha	Cmpk2	used
IFN_alpha	Cmtr1	used
IFN_alpha	Cnp	used
IFN_alpha	Csf1	used
IFN_alpha	Cxcl10	used
IFN_alpha	Ddx60	used
IFN_alpha	Dhx58	used
IFN_alpha	Eif2ak2	used
IFN_alpha	Elf1	used
IFN_alpha	Epsti1	used
IFN_alpha	Gbp3	used
IFN_alpha	Gmpr	used
IFN_alpha	Helz2	used
IFN_alpha	Herc6	used
IFN_alpha	Ifi27	used
IFN_alpha	Ifi30	used
IFN_alpha	Ifi35	used
IFN_alpha	Ifi44	used
IFN_alpha	Ifi44l	used
IFN_alpha	Ifih1	used
IFN_alpha	Ifit2	used
IFN_alpha	Ifit3	used
IFN_alpha	Ifitm1	used
IFN_alpha	Ifitm2	used
IFN_alpha	Ifitm3	used
IFN_alpha	Il15	used
IFN_alpha	Il4ra	used
IFN_alpha	Il7	used
IFN_alpha	Irf1	used
IFN_alpha	Irf2	used
IFN_alpha	Irf7	used
IFN_alpha	Irf9	used
IFN_alpha	Isg15	used
IFN_alpha	Isg20	used
IFN_alpha	Lamp3	used
IFN_alpha	Lap3	used
IFN_alpha	Lgals3bp	used
IFN_alpha	Lpar6	used
IFN_alpha	Ly6e	used
IFN_alpha	Mov10	used
IFN_alpha	Mvb12a	used
IFN_alpha	Ncoa7	used
IFN_alpha	Nmi	used
IFN_alpha	Nub1	used
IFN_alpha	Oas1a	used
IFN_alpha	Oasl1	used
IFN_alpha	Ogfr	used
IFN_alpha	Parp12	used
IFN_alpha	Parp14	used
IFN_alpha	Parp9	used
IFN_alpha	Plscr1	used
IFN_alpha	Pnpt1	used
IFN_alpha	Procr	used
IFN_alpha	Psma3	used
IFN_alpha	Psmb8	used
IFN_alpha	Psmb9	used
IFN_alpha	Psme1	used
IFN_alpha	Psme2	used
IFN_alpha	Ripk2	used
IFN_alpha	Rnf31	used
IFN_alpha	Rsad2	used
IFN_alpha	Rtp4	used
IFN_alpha	Samd9l	used
IFN_alpha	Sell	used
IFN_alpha	Slc25a28	used
IFN_alpha	Sp110	used
IFN_alpha	Stat2	used
IFN_alpha	Tap1	used
IFN_alpha	Tdrd7	used
IFN_alpha	Tent5a	used
