gene	t
Ttll10	68.31810677983265
Slitrk6	47.66953916459248
Slco3a1	34.84921934201494
Paf1	24.42366956261678
2610001A08Rik	22.05424364358941
Clec4d	20.220746276030475
Svil	19.815479181052332
Cbx3-ps6	18.337093772154727
Gm8724	18.337093772154727
Mark2	17.047173203467295
Slpi	17.010855813995263
Numa1	16.797190311271134
Tmem252	15.753746792225984
Gm17906	15.255996053144042
Uaca	15.229686441151587
Por	15.177949635982701
Pde4d	14.359732052200165
Trp53-ps	14.337043632484983
Dact2	14.124342117399031
Mx1	13.872427156630296
Gcnt2	13.79640192442435
Acvr2b	13.096219941144652
Gm25788	12.901429223358813
Aff3	12.43945695586622
Slc6a17	12.33644424581372
Clk3	12.187515559770027
B3gnt3	11.86883007337231
Ccdc88b	11.810480189059643
Sirt7	11.635042275487471
Thoc5	11.326626039048264
H13	11.326267256830546
Gm9902	10.834110595694693
Ube2e1	10.809182279406544
Sharpin	10.416756437121068
2010008C14Rik	10.352318453974219
Platr27	10.295448735803674
Il36a	10.11841062301114
Adam3	10.11169757743647
Cd55	10.106383521057339
Snord55	10.034812204927938
P2ry2	10.012298796680719
Trp53i11	9.991956672167817
Rnf41	9.986265589967632
Tdg-ps2	9.955340230868016
Med15	9.830791460578128
Tgfbr2	9.816922534600263
Mtif2	9.70637392528103
Gpatch1	9.67665358703802
Nexmif	9.627546601789817
F630042J09Rik	9.623211959488321
Irx5	9.582955683544577
Fdxr	9.523842884998624
Slc35g2	9.42371439536736
Irx3os	9.36311135144457
Zfp799	9.338779916854277
Ngef	9.336610556989944
Ano9	9.324041979129943
Slu7	9.19747001815443
Pisd-ps1	9.187628952242397
Zswim6	9.07281608053335
Gm15675	9.037394636375927
Fblim1	8.987296205818389
Nr4a2	8.977427881346644
Fos	8.901395880074038
Purb	8.791827272553046
Trpm4	8.710246424190665
Map7d1	8.686249944084247
Zbtb38	8.665817115063316
Cxxc5	8.652064407182177
Thbd	8.604479755283192
Gm6786	8.576155267375198
Rassf10	8.564636991370197
Pias1	8.529631899531903
Litaf	8.500153122285633
Cep164	8.481481500999074
Gsto1	8.450496369397007
Ikbke	8.439515333134686
Zfp867	8.403117910781535
Lrrc2	8.387803675537203
Itgb4	8.374427585524975
Elf3	8.36059395141934
Gm35330	8.349446043244926
Lgals8	8.297791231172239
Lingo1	8.2653048042035
Zdhhc21	8.25454104877882
Klk8	8.244445768963706
Lhx6	8.244222652781437
Glb1l	8.243365884077647
Tmub2	8.197005240839296
Krt6b	8.148060796842234
Prps1l3	8.114734004050787
Htr1d	8.077060382331524
Apol7a	8.05879038284155
Ap1b1	8.058552300068865
Cd82	8.056188117832738
Rhog	8.01656913184504
Gde1	7.9744896068756015
Ccdc163	7.95547619198578
2310011J03Rik	7.924495615706949
Mill2	7.861776730170691
Bag3	7.849836697987089
Havcr2	7.8416388413122435
Cep128	7.817279668904931
Smap2	7.805463782421796
Snap23	7.772802147174255
Lrrc45	7.760887206781877
Cars	7.751885453764397
Nf2	7.736553792098026
Atp8b1	7.699987170989002
Rnf152	7.690761169432415
Gdpd5	7.615281993254733
Trim62	7.574788413083709
Tbc1d10a	7.548117968202405
Capsl	7.5479616279514605
Ppp2r3d	7.499851442749877
Gm16202	7.464706385934043
Prdx6	7.43915296515481
Spcs2-ps	7.425246456883721
Zfp217	7.423122333731748
Cmtm6	7.403535092359245
Krt87	7.3955540030602345
Tug1	7.3674033768872595
Cobl	7.293312951350738
Tradd	7.283741475036285
Med7	7.263512975153087
Rnf111	7.261254806521755
Itprid2	7.111676384660222
Ly6a	7.1105807324722194
Afap1l1	7.101210320290352
Eapp	7.091197541503762
Tmsb15b1	7.091172698435462
Dtwd1	7.073327172042984
Sh2d4b	7.071854001554543
Spop	7.013630579685692
Myh9	7.002273341724487
Col15a1	6.934727669430105
Cbx4	6.920567494583488
Tut7	6.912999427095613
Ehd4	6.902471854316919
Rtf2	6.899036687831576
Kif21a	6.88919873493372
Fam234b	6.834499728952062
Lrfn1	6.809069732054285
Odc1	6.80477791957443
Prdm11	6.80460600807383
Tcf7	6.776012891255997
Rgs10	6.759432875309753
Cwc25	6.735608463443503
Ostm1	6.730080158335811
Faf2	6.7099229376050555
Nkx6-2	6.709382260862124
Tns4	6.708035706443308
Il10rb	6.702470027763475
Nxn	6.694340218981085
Arid5a	6.685957848881216
Cald1	6.6828336332622245
Ets2	6.63994478722792
Supt5	6.631331393811815
Zbtb7a	6.621661107941705
Gm40332	6.61175486951472
Nanos3	6.60469561222557
5830432E09Rik	6.570912476312465
Macf1	6.53470488597527
5430434I15Rik	6.496664861756405
Pkp3	6.4961524977065315
Tspan18	6.486093008950019
Far1	6.4851329578158685
Aplp2	6.467535966511029
Krt7	6.453980872266572
2900052L18Rik	6.450596561297756
Ptbp3	6.422861726968568
Galk2	6.404414315299034
Dbn1	6.3995363964975605
Gdpgp1	6.385983883853111
Alox5	6.372242453543936
Serinc2	6.361887420630639
Mlkl	6.360094622660696
Efcab15	6.357512001706313
Gabarap	6.335924459708268
Slc39a14	6.329231813097431
Eif4g3	6.323915020837338
Duox2	6.298896520059308
Leprot	6.286189467261136
Cyth4	6.280515137176455
Ap3b1	6.2415921104545005
Pde6g	6.212962625963197
Sec14l2	6.152986488201638
Cast	6.144730780270132
Proser2	6.141973191628593
Bend5	6.132133628664623
Gm4875	6.131403363557355
Slc37a2	6.114633741644406
Gm30124	6.113986979034009
Ppp6r1	6.103453670353088
Gm4675	6.087674688920845
Dock8	6.081819059921327
Hcn2	6.073043389219679
Tead1	6.072253026013063
Ephb3	6.066791764843524
Mpped2	6.036709606899619
Plekho2	6.023515954120813
Endod1	6.012480924029962
Lyn	5.975229130246937
Ceacam1	5.973522328239249
Cln6	5.969251380816176
Aplp1	5.947244481440786
Syk	5.933608385098903
Gm23733	5.923957060457112
Gm29519	5.923957060457112
Leng9	5.913003381215074
Fubp3	5.9085001036904865
Mia3	5.899913017448222
Faxc	5.862299835331938
Ptges	5.8615935612513415
Gm47121	5.8327569165658
Ecm1	5.832601752807746
Car5b	5.820244684239622
Tctn3	5.816162315698193
4833427F10Rik	5.814680996084704
Cxcl16	5.805555879671606
Gm22748	5.7785972969906485
Map3k20	5.778485462805365
Ly6c2	5.762178191776564
Snord11	5.761056260109867
Ttf1	5.752147007642847
Psme4	5.749033362173858
Msx1	5.743011915887394
Smagp	5.724372805678371
9530034E10Rik	5.713550775980388
Slc7a4	5.704545994573912
Zscan29	5.676212619876846
Pip4k2a	5.670322768116976
Apeh	5.658358747285344
Klf12	5.657955318932627
Cep112	5.657004471013773
Denn2b	5.65490351504433
Cep250	5.644977241687333
Actr2	5.643830402799616
Cmah	5.64269341390494
Gm50419	5.64269341390494
Rhbdl2	5.633801516548092
Zkscan6	5.616785292548335
Gm6900	5.597036675182346
Bax	5.591296702578784
Abhd11os	5.574356534184237
Gm2541	5.5683880457090424
Tsg101	5.555903954386342
Lats1	5.548826511158486
Cd93	5.54340868564114
Igf1r	5.535164723349882
Unc45a	5.532301719525074
Selp	5.5261502996443275
Gm26585	5.522569931203743
Med19	5.493979971443275
Dalrd3	5.492113887168393
Snord104	5.486839805771943
Rnasel	5.479198336934772
Mboat1	5.475962892737272
Padi4	5.463451480227341
Pmp22	5.447791601910772
Stat1	5.439339534805968
Capg	5.437340625492022
Snord66	5.417029155763483
Vamp8	5.401954092192638
Bloc1s6	5.393446157097825
Ttc9	5.393035877876882
Rpl26	5.3675449383741745
Rbm5	5.3674053150766285
Fbxw11	5.3645513280123955
Pde4b	5.363998188413772
Gdnf	5.360815172371926
Wwc1	5.347094799656391
Trp53	5.346321858452478
Tcf24	5.326373881168547
Pggt1b	5.319557329953685
Ap5b1	5.3101554123586645
Gm25394	5.308356368225651
Gm30015	5.306023536839435
Hhat	5.294422447740628
Plcb3	5.291742643675211
Gm19385	5.272951241575767
Gm25574	5.265260132563038
Mink1	5.256462143504188
Inip	5.2563796894525465
Dnah2	5.250543864248227
Ifitm2	5.234564149118967
Pik3r1	5.231852671292153
Pdzrn3	5.223260950385851
Fam83b	5.2194144909615785
Trim12c	5.20818172810763
Hip1r	5.1900189393030605
Gm6540	5.186368097009466
Itpr2	5.178954972794636
Cap1	5.1758327623610905
Map4k4	5.170647531543547
Ly6e	5.160602710912935
Mdfi	5.159414863959842
Gng2	5.145343099277752
Gm13803	5.137620062250781
Cd151	5.134608023648375
Lamb3	5.1271276075597045
Snx30	5.120059683111614
Gm38118	5.112932032735792
Cacnb3	5.1117959246650795
Snord87	5.108191787440658
Bend7	5.106243853966497
Rap2a	5.09998987750721
Cyb5r4	5.093878595588738
Egfr	5.093570686802249
Gm37254	5.083013951500637
Notch4	5.068343494963121
Cebpb	5.059016864471895
Csf3	5.058631909664968
Eefsec	5.0553119419531125
Nog	5.054229863429287
Syt4	5.052839779078852
Prl2c3	5.048622868512458
Lrrk2	5.04405551063377
Syf2	5.040651819447184
Sim2	5.033210666790445
Zfp106	5.032296174628267
Acbd3	5.022925649006762
Tnnt2	5.022882218936341
Gm10575	5.022287899588669
Mmgt2	5.017645694119587
Serpinb6a	5.009245535636733
Cd2bp2	5.004278539992757
Trim16	5.003706942186473
Inpp1	5.002124950824397
Dnase2a	4.9970012851780865
Tdrd7	4.993918326957922
H3c3	4.985025726519473
Upp1	4.983546191565742
Gfus	4.963924948829799
Tmem102	4.96222349828531
Hdac4	4.947022909301873
Ccm2	4.944612727193667
Akr1a1	4.942357098526798
Nhsl1	4.939373701820665
Cyb561	4.935545802205559
Harbi1	4.935254764186354
Clip2	4.931713944433621
Tfip11	4.931076040746155
Gm29736	4.92351980822899
Scand1	4.919621071930212
Gm19000	4.916523985116771
Urah	4.913793185715925
Ubxn2a	4.9055130707245915
Scaf1	4.900927275421618
Slc26a9	4.8990556562306296
Il13ra2	4.897458642222549
Ptprj	4.88712455506933
Ppp4r3b	4.875773811554472
Sparc	4.87129732579136
Gm48544	4.864014471258333
Gfra2	4.8634305251166055
Ankrd13b	4.861854516620933
Irx3	4.849793426956058
Med25	4.845687795139472
Gm20744	4.843039877227155
Plcg1	4.831088346026782
Gm55936	4.830187922700003
Fndc11	4.830187922700003
Elovl7	4.827649456947991
Pnisr	4.825962115148649
Gm6828	4.820889342222802
2010016I18Rik	4.813940575025986
Hnrnph2	4.813686307612828
Cdkn2aipnl	4.808793726555713
Tcirg1	4.806738498504303
Septin9	4.800655133848686
Ssbp4	4.788452243450853
Pip5k1c	4.7868013158671445
Qsox2	4.783084296685195
Rab1a	4.7783994106860925
H3c1	4.778242579145663
Slc4a8	4.776534979687984
Gm9465	4.774355621390328
Prl2c5	4.769051968596122
Has2	4.767123713715601
H3c13	4.758479223835373
Fgd6	4.756232935138816
Myo7a	4.754479059097361
Fkrp	4.753050045009087
AI429214	4.751907652502333
Tspyl1	4.74992857971302
Neurl3	4.7477348358133815
Pfdn5	4.741965496977772
Gm23969	4.737542263979828
Muc4	4.713373315113128
Gm47024	4.712999953584239
Cib1	4.7116576640788415
Lsm11	4.707013489091947
Cog7	4.6909768245559
Snord7	4.6902533046311445
Atxn7l3	4.689641573844458
Tmbim1	4.689329517375829
AA986860	4.673544677524412
Retreg3	4.669561712782711
Sbno2	4.667599850118463
Prdx5	4.667028394520523
Rorb	4.660356645654691
Myo1b	4.66011116434734
Card14	4.656768476930925
Galnt12	4.651680414640629
Sumo1	4.643676645497352
Ergic3	4.643461297593946
Rin3	4.641199867600012
Gm18343	4.637430650657992
Meis1	4.634429470594719
Gm14137	4.6317344372163465
Esyt3	4.631670456183442
Mapk11	4.62338807790577
Fgfr3	4.619966248688006
Ptpre	4.619443974714608
Elmod2	4.61670170083009
Lpin3	4.614814364500502
Atp2b1	4.611380064370143
Tpm1	4.605897354985575
Map3k8	4.601938883874187
Snord82	4.5985906498821345
Smim33	4.597146141540733
F11r	4.59449709977709
Natd1	4.587592153103987
Tedc1	4.585393390653794
Entpd7	4.583271682672404
Ripk1	4.5774193135209
A730035I17Rik	4.571508842988274
A530020G20Rik	4.563161772002548
Ptdss2	4.557731070241702
Cdk13	4.556526917771038
Zfp787	4.553889284720212
Ppfia1	4.553693979390589
Gm49351	4.552577997099426
Odf2	4.551889307240579
Pglyrp1	4.551069342386722
Klrc1	4.54639224334236
Gm43772	4.539578702835051
Arhgap26	4.529442688388579
Smpd5	4.527966775805883
Zfp526	4.526746537824392
Edaradd	4.521402923061186
Zfp511	4.511579286518063
Eipr1	4.500563702294434
Lynx1	4.498331695985957
Lsm14b	4.496315615266507
Tsen34	4.4961811269926395
Rest	4.495998056451495
Gm43682	4.495288288671615
Gm6566	4.483221530575367
Lepr	4.47606634224979
Gm39460	4.475085697510718
Fam171a2	4.473311917496294
Aspscr1	4.4717413134749835
Pmepa1	4.461895854982531
Tnk1	4.459816428746883
Rsph1	4.458348484065413
Tmem192	4.458044784199692
Cep19	4.451427128352159
Sftpc	4.446477664666053
Tent5b	4.445694753022923
Gm11830	4.435611798038042
Aldh1b1	4.429015973916707
Polk	4.427228225404008
Dclk1	4.421314324862361
Trim15	4.416069512989624
Erfe	4.413071205046071
Plekhg2	4.412395044868089
Ydjc	4.411139131843978
Ppp1r26	4.402665557744296
