cohort,gene,mean_tumor,mean_normal,log2fc_tumor_vs_normal,cliffs_delta,p,n_tumor,n_normal,q
LUAD,TACSTD2,8.809163740273883,8.684406903067565,0.12475683720631814,0.19067796610169485,0.01623941043010789,528,59,0.017715720469208607
LUAD,EPCAM,9.144470736599924,7.70779853423759,1.4366722023623346,0.8787878787878789,1.594243837696206e-28,528,59,1.9130926052354472e-27
LUAD,CD47,6.465024335660979,7.17531545127721,-0.710291115616231,-0.5614406779661016,1.4653514549140862e-12,528,59,4.3960543647422586e-12
LUAD,LGALS1,9.056131033201885,9.381933734512813,-0.3258027013109288,-0.24550590652285564,0.0019700477458850607,528,59,0.0023640572950620726
LUAD,LGALS3,8.816464274233711,9.393482970459715,-0.5770186962260038,-0.4052388289676425,3.2476315783109806e-07,528,59,6.495263156621961e-07
LUAD,LGALS9,5.175511943151547,5.633590473993511,-0.4580785308419637,-0.27985362095531585,0.00041913038458767543,528,59,0.0006286955768815131
LUAD,PVR,4.666614631542571,4.913532650653672,-0.24691801911110112,-0.2478813559322034,0.001780116324437057,528,59,0.0023640572950620726
LUAD,NECTIN2,6.874545716273286,6.613299526763474,0.26124618950981215,0.3159347714432461,6.816137739555498e-05,528,59,0.00011684807553523711
LUAD,NECTIN4,5.720408103599978,3.708534016671163,2.0118740869288154,0.8601694915254237,2.1334468718866197e-27,528,59,1.2800681231319718e-26
LUAD,TGFB1,6.090110917117784,6.737456781235873,-0.6473458641180896,-0.48125321006676935,1.304847471651317e-09,528,59,3.1316339319631608e-09
LUAD,TGFB2,2.6066415372086262,3.984047202725928,-1.3774056655173017,-0.6190934771443246,5.9707486369917725e-15,528,59,2.388299454796709e-14
LUAD,TGFB3,3.6333970782633216,3.780420421990617,-0.14702334372729542,-0.11658962506420134,0.1417103770202879,528,59,0.1417103770202879
LUSC,TACSTD2,9.367720884934908,8.571535525286885,0.7961853596480228,0.4971625376697586,4.832659347468464e-09,501,51,9.665318694936928e-09
LUSC,EPCAM,7.951358482510777,7.408217127837855,0.5431413546729225,0.3482055496849439,4.147535306116216e-05,501,51,6.221302959174324e-05
LUSC,CD47,5.72083653046775,6.951381288768539,-1.2305447583007894,-0.8445462017142187,2.7131010123995274e-23,501,51,1.6278606074397164e-22
LUSC,LGALS1,9.253901858583498,9.618294189622253,-0.36439233103875424,-0.23995146960979996,0.0047341950181295465,501,51,0.005164576383414051
LUSC,LGALS3,8.147371510727703,9.352698580274613,-1.2053270695469092,-0.8242730225822864,2.8979776964161047e-22,501,51,1.159191078566442e-21
LUSC,LGALS9,4.846673373731473,5.768767401798885,-0.9220940280674119,-0.6528511604242495,1.5202121598127194e-14,501,51,3.648509183550527e-14
LUSC,PVR,4.503432097624274,4.952905655788937,-0.44947355816466317,-0.3929787483855818,3.7237021928030926e-06,501,51,6.38348947337673e-06
LUSC,NECTIN2,6.372453751711265,6.624811280219005,-0.25235752850773974,-0.29450902117333955,0.0005264729777016613,501,51,0.0007019639702688817
LUSC,NECTIN4,6.345340034208966,3.6324808023981334,2.712859231810832,0.9246213455442056,1.3518602563952093e-27,501,51,1.622232307674251e-26
LUSC,TGFB1,6.539018398043822,6.8470491830583295,-0.3080307850145072,-0.2604594732104418,0.002169189504513635,501,51,0.002603027405416362
LUSC,TGFB2,2.278428550761938,3.785225316980663,-1.506796766218725,-0.7167234159132715,3.2332943872345584e-17,501,51,9.699883161703675e-17
LUSC,TGFB3,4.018746107534347,4.041459717540389,-0.022713610006041662,-0.02579155414660872,0.7617423354438365,501,51,0.7617423354438365
