n,n_anchor_q4,n_both_q4,n_anchor_q4_not_feature,n_feature_q4_not_anchor,n_neither_q4,frac_anchor_q4_in_feature_q4,expected_frac_if_independent,expected_n_both,odds_ratio,fisher_p,anchor,feature
234,59,15,44,44,131,0.2542372881355932,0.25,14.876068376068377,1.0149793388429753,1.0,TACSTD2,CD274
234,59,11,48,48,127,0.1864406779661017,0.25,14.876068376068377,0.6063368055555556,0.22535801211200007,TACSTD2,IFN_compact
234,59,15,44,44,131,0.2542372881355932,0.25,14.876068376068377,1.0149793388429753,1.0,TACSTD2,MHC1
234,59,15,44,44,131,0.2542372881355932,0.25,14.876068376068377,1.0149793388429753,1.0,TACSTD2,IL6
234,59,10,49,49,126,0.1694915254237288,0.25,14.876068376068377,0.5247813411078717,0.11824189752216877,TACSTD2,IL6_STAT3_compact
234,59,7,52,52,123,0.11864406779661017,0.25,14.876068376068377,0.3184171597633136,0.005575385689527545,TACSTD2,CD8A
234,59,8,51,51,124,0.13559322033898305,0.25,14.876068376068377,0.3813917723952326,0.023317681295303726,TACSTD2,GEP18
234,59,12,47,47,128,0.2033898305084746,0.25,14.876068376068377,0.6953372566772296,0.3873062176588491,TACSTD2,HALLMARK_IFNG
234,59,13,46,46,129,0.22033898305084745,0.25,14.876068376068377,0.7925330812854442,0.6043945139414248,TACSTD2,HALLMARK_IFNA
234,59,16,43,43,132,0.2711864406779661,0.25,14.876068376068377,1.1422390481341265,0.7300036964936985,TACSTD2,HALLMARK_IL6_JAK_STAT3
234,59,9,50,50,125,0.15254237288135594,0.25,14.876068376068377,0.45,0.05560254360321664,TACSTD2,immune8
234,59,8,51,51,124,0.13559322033898305,0.25,14.876068376068377,0.3813917723952326,0.023317681295303726,TACSTD2,CYT
234,59,17,42,42,133,0.288135593220339,0.25,14.876068376068377,1.2817460317460319,0.49002686274472007,TACSTD2,STAT3
234,59,12,47,49,126,0.2033898305084746,0.25,15.38034188034188,0.6565349544072948,0.3043853155158658,TACSTD2,IFNG
234,59,19,40,40,135,0.3220338983050847,0.25,14.876068376068377,1.603125,0.16747524432661498,CLDN4,CD274
234,59,25,34,34,141,0.423728813559322,0.25,14.876068376068377,3.0493079584775087,0.0008536204046737195,CLDN4,IFN_compact
234,59,25,34,34,141,0.423728813559322,0.25,14.876068376068377,3.0493079584775087,0.0008536204046737195,CLDN4,MHC1
234,59,14,45,45,130,0.23728813559322035,0.25,14.876068376068377,0.8987654320987655,0.8629718008520653,CLDN4,IL6
234,59,19,40,40,135,0.3220338983050847,0.25,14.876068376068377,1.603125,0.16747524432661498,CLDN4,IL6_STAT3_compact
234,59,17,42,42,133,0.288135593220339,0.25,14.876068376068377,1.2817460317460319,0.49002686274472007,CLDN4,CD8A
234,59,21,38,38,137,0.3559322033898305,0.25,14.876068376068377,1.992382271468144,0.038628548515971216,CLDN4,GEP18
234,59,25,34,34,141,0.423728813559322,0.25,14.876068376068377,3.0493079584775087,0.0008536204046737195,CLDN4,HALLMARK_IFNG
234,59,24,35,35,140,0.4067796610169492,0.25,14.876068376068377,2.742857142857143,0.002881983385599451,CLDN4,HALLMARK_IFNA
234,59,25,34,34,141,0.423728813559322,0.25,14.876068376068377,3.0493079584775087,0.0008536204046737195,CLDN4,HALLMARK_IL6_JAK_STAT3
234,59,19,40,40,135,0.3220338983050847,0.25,14.876068376068377,1.603125,0.16747524432661498,CLDN4,immune8
234,59,18,41,41,134,0.3050847457627119,0.25,14.876068376068377,1.4348602022605592,0.3004820659807713,CLDN4,CYT
234,59,24,35,35,140,0.4067796610169492,0.25,14.876068376068377,2.742857142857143,0.002881983385599451,CLDN4,STAT3
234,59,24,35,37,138,0.4067796610169492,0.25,15.38034188034188,2.5575289575289575,0.005607091493863306,CLDN4,IFNG
