sample	response	lineage	n_cells	fraction
W1	NR	B_Plasma	496	0.12210733628754308
W1	NR	Endothelial	54	0.013293943870014771
W1	NR	Epithelial	124	0.03052683407188577
W1	NR	Fibroblast	81	0.019940915805022157
W1	NR	Mast	121	0.02978828163466273
W1	NR	Myeloid	242	0.05957656326932546
W1	NR	T_NK	2944	0.724766125061546
W2	R	B_Plasma	122	0.03283100107642627
W2	R	Endothelial	48	0.012917115177610334
W2	R	Epithelial	236	0.06350914962325081
W2	R	Fibroblast	23	0.006189451022604951
W2	R	Mast	76	0.02045209903121636
W2	R	Myeloid	829	0.22308934337997846
W2	R	T_NK	2382	0.6410118406889128
W3	NR	B_Plasma	10	0.0026082420448617634
W3	NR	Endothelial	45	0.011737089201877934
W3	NR	Epithelial	723	0.18857589984350548
W3	NR	Fibroblast	52	0.013562858633281168
W3	NR	Mast	34	0.008868022952529996
W3	NR	Myeloid	1273	0.33202921231090243
W3	NR	T_NK	1697	0.4426186750130412
