model	cell_line	gse_id	cancer_type	cancer_group	independent_key	n_baseline	n_icb	n_responder	n_nonresponder	median_baseline	median_icb	mean_baseline	mean_icb	delta_median	delta_mean	dir_median	dir_mean	treatments	tismo_pvalue
CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10)	CT26	ERP114266	Colorectal carcinoma	Colorectal	CT26_ERP114266	5	5	5	0	0.254270149685212	0.321343881739544	0.24323700806081897	0.655811996830405	0.06707373205433198	0.4125749887695861	1	1	antiPDL1; antiCTL4;;isotype	0.034317941791589
CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10)	CT26	ERP114266	Colorectal carcinoma	Colorectal	CT26_ERP114266	5	5	5	0	0.480306402118443	0.357836766320015	1.2147556112925646	1.532631748140728	-0.12246963579842801	0.3178761368481633	-1	1	antiPDL1; antiCTL4;;isotype	0.739950574332942
CT26_GSE139475_antiPD1(n=14)	CT26	GSE139475	Colorectal carcinoma	Colorectal	CT26_GSE139475	5	9	5	4	1.84328675299402	1.39432807053456	1.629370250589023	1.3127072172063137	-0.44895868245946	-0.3166630333827094	-1	-1	antiPD1;isotype	0.905541868789538
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10)	CT26	GSE153239	Colorectal carcinoma	Colorectal	CT26_GSE153239_FcS_antiGARP:TGFb_FcD	5	5	5	0	0.19668510468779	0.443338881278346	0.261835637001249	0.6199550142686849	0.24665377659055598	0.3581193772674359	1	1	antiGARP:TGFb FcD;antiGARP:TGFb FcD; antiPD1 FcS;	0.178139572680639
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10)	CT26	GSE153239	Colorectal carcinoma	Colorectal	CT26_GSE153239_FcS_antiGARP:TGFb_WT	5	5	5	0	0.170755459657288	0.21651768478215	0.18921112023409634	0.4656884624358647	0.045762225124862	0.27647734220176834	1	1	antiGARP:TGFb WT;antiGARP:TGFb WT; antiPD1 FcS;	
CT26_GSE153239_FcS_antiPD1(n=10)	CT26	GSE153239	Colorectal carcinoma	Colorectal	CT26_GSE153239_FcS	5	5	0	5	0.154330652833521	0.460429307496847	0.2201852447206285	0.3752578004740946	0.30609865466332603	0.15507255575346612	1	1	antiPD1_FcS;isotype	0.999953620793337
CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10)	CT26	GSE153239	Colorectal carcinoma	Colorectal	CT26_GSE153239_FcS_antiTGFb	5	5	5	0	0.263049928553122	0.276267275006927	0.2696775919165601	0.5547914329982612	0.013217346453805012	0.28511384108170107	1	1	antiTGFb;antiTGFb; antiPD1 FcS;	0.989431937816084
MC38_GSE172162_antiPD1(n=8)	MC38	GSE172162	Colorectal carcinoma	Colorectal	MC38_GSE172162	4	4	4	0	0.0	0.03181089454898895	0.015763892114444476	0.035893998652544695	0.03181089454898895	0.02013010653810022	1	1	antiPD1;isotype	
MC38_GSE172162_exercise_antiPD1(n=8)	MC38	GSE172162	Colorectal carcinoma	Colorectal	MC38_GSE172162_exercise	4	4	4	0	0.0	0.0	0.012811111085799826	0.0	0.0	-0.012811111085799826	0	-1	antiPD1; exercise;exercise	
MC38_GSE93017_antiPDL1(n=6)	MC38	GSE93017	Colorectal carcinoma	Colorectal	MC38_GSE93017	3	3	3	0	0.0	0.14928913405771	0.0	0.09954429880361666	0.14928913405771	0.09954429880361666	1	1	antiPDL1;isotype	
YTN16_GSE146027_anti_IL17_day10_antiPD1(n=8)	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	YTN16_GSE146027_anti_IL17	4	4	4	0	1.26805377005716	1.47943191746601	1.2627168801482025	1.4053435272237125	0.21137814740885008	0.14262664707550998	1	1	antiPD1; antiIL17;anti_IL17	0.66765587031771
YTN16_GSE146027_day10_antiPD1(n=8)	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	YTN16_GSE146027	4	4	0	4	1.03311639467173	1.27678568719933	1.0798943046149072	1.2126212403190129	0.24366929252759983	0.13272693570410565	1	1	antiPD1;no_treatment	0.825764641592501
