cohort,cell_line,cancer_type,study,regimen,strict_icb,n_baseline,n_icb,n_baseline_unique,n_icb_unique,mean_baseline,mean_icb,median_baseline,median_icb,delta,direction,tismo_within_cohort_p
CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma,ERP114266,antiPDL1; antiCTL4;,True,5,5,5,5,0.24323700806081897,0.655811996830405,0.254270149685212,0.321343881739544,0.4125749887695861,up,0.034317941791589
CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma,ERP114266,antiPDL1; antiCTL4;,True,5,5,5,5,1.2147556112925646,1.532631748140728,0.480306402118443,0.357836766320015,0.3178761368481633,up,0.739950574332942
CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma,GSE139475,antiPD1,True,5,9,5,9,1.629370250589023,1.3127072172063137,1.84328675299402,1.39432807053456,-0.3166630333827094,down,0.905541868789538
CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,False,5,5,5,5,0.261835637001249,0.6199550142686849,0.19668510468779,0.443338881278346,0.3581193772674359,up,0.178139572680639
CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,False,5,5,5,5,0.18921112023409634,0.4656884624358647,0.170755459657288,0.21651768478215,0.27647734220176834,up,
CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiPD1_FcS,True,5,5,5,5,0.2201852447206285,0.3752578004740946,0.154330652833521,0.460429307496847,0.15507255575346612,up,0.999953620793337
CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma,GSE153239,antiTGFb; antiPD1 FcS;,False,5,5,5,5,0.2696775919165601,0.5547914329982612,0.263049928553122,0.276267275006927,0.28511384108170107,up,0.989431937816084
MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma,GSE172162,antiPD1,True,4,4,4,4,0.015763892114444476,0.035893998652544695,0.0,0.03181089454898895,0.02013010653810022,up,
MC38_GSE172162_exercise_antiPD1,MC38,Colorectal carcinoma,GSE172162,antiPD1; exercise,False,4,4,4,4,0.012811111085799826,0.0,0.0,0.0,-0.012811111085799826,down,
MC38_GSE93017_antiPDL1,MC38,Colorectal carcinoma,GSE93017,antiPDL1,True,3,3,3,3,0.0,0.09954429880361666,0.0,0.14928913405771,0.09954429880361666,up,
