sample_id	cohort	TACSTD2	tacstd2_group	F11R	PARD3	CLDN1	CLDN4	CLDN7	EPCAM	KRT8	PTPRC	CD8A	ESTIMATE	ABSOLUTE	CPE	histology	ModelID	CellLineName	OncotreePrimaryDisease	OncotreeSubtype
TCGA-69-7978-01	TCGA_LUAD	13.4099	high	12.3873	10.2257	10.0741	13.366	11.4145	13.0299	13.3352	11.9779	9.773	0.483	0.2	0.3778	LUAD				
TCGA-62-8399-01	TCGA_LUAD	11.815	low	12.0807	10.4257	10.2132	13.5222	11.4664	12.3633	14.6314	9.7689	7.8585	0.8196		0.7107	LUAD				
TCGA-78-7539-01	TCGA_LUAD	12.1829	low	13.83	9.9202	9.8222	13.2402	11.8335	13.8797	13.6064	10.9511	9.4463	0.71	0.52	0.6168	LUAD				
TCGA-73-4658-01	TCGA_LUAD	12.4766	mid	12.945	10.2475	9.8124	13.6656	11.7101	12.847	14.1056	11.5473	8.4664	0.4689	0.35	0.5334	LUAD				
TCGA-44-6775-01	TCGA_LUAD	13.3396	high	12.8833	9.2605	12.0802	12.7879	9.9526	12.5913	13.2608	11.3241	7.1936	0.5219	0.4	0.7367	LUAD				
TCGA-44-2655-01	TCGA_LUAD	12.9585	mid	13.3821	9.8589	11.1291	12.8344	12.6411	13.6474	14.9206	10.2505	7.0921	0.7856	0.3	0.5834	LUAD				
TCGA-44-3398-01	TCGA_LUAD	12.3358	mid	11.8936	8.3222	11.5938	12.112	11.4537	13.3641	13.7511	11.4246	8.1523	0.4853	0.24	0.3905	LUAD				
TCGA-62-8397-01	TCGA_LUAD	12.9923	mid	12.9458	10.027	9.4991	13.2464	11.5135	13.5828	14.5213	9.6509	5.6621	0.7641		0.7	LUAD				
TCGA-53-A4EZ-01	TCGA_LUAD	11.0072	low	12.39	9.6962	10.1067	12.4489	12.07	13.9202	13.9289	8.8848	7.3565	0.9139		0.7135	LUAD				
TCGA-50-7109-01	TCGA_LUAD	12.2356	mid	13.3193	10.791	9.2116	12.7292	11.2616	13.3029	14.4306	10.4445	8.8716	0.7532	0.44	0.64	LUAD				
TCGA-38-6178-01	TCGA_LUAD	12.5327	mid	12.5717	10.6162	10.9654	12.8884	11.5806	13.3478	14.1627	9.7904	6.3038	0.7584	0.33	0.6553	LUAD				
TCGA-86-8056-01	TCGA_LUAD	12.5018	mid	14.5243	10.2711	11.9365	12.8386	10.5545	13.1835	13.8989	10.9229	7.1603	0.7579	0.55	0.6817	LUAD				
TCGA-55-1592-01	TCGA_LUAD	13.7366	high	13.1774	10.0062	9.8325	13.2875	11.0753	13.4868	14.2608	10.3873	6.9209	0.7697	0.48	0.6978	LUAD				
TCGA-86-A4JF-01	TCGA_LUAD	12.6501	mid	12.8033	10.8389	11.1701	14.0192	12.6391	13.5663	14.8946	9.8894	8.1811	0.7564		0.6573	LUAD				
TCGA-69-7974-01	TCGA_LUAD	12.1696	low	13.0503	10.8581	10.6606	13.4729	11.4635	13.3259	15.3163	11.3225	8.1152	0.621	0.29	0.5606	LUAD				
TCGA-86-A456-01	TCGA_LUAD	12.5731	mid	12.3304	9.5435	10.1647	13.1409	11.7068	13.3602	13.6653	10.3591	8.0095	0.696		0.5977	LUAD				
