	11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
TACSTD2	12.1415	12.0216	10.8317	13.0916	11.5018	12.7115	11.9518	10.8818	13.349	10.2017	12.0916	11.7116	12.7117	13.4615	12.4366	12.4715	11.7416	12.3941	13.1117	12.2916	13.0316	12.6716	13.4216	12.3017	12.2514	13.0217	10.8517	13.6315	12.1916	11.3519	12.5416	12.6916	11.5617	11.2216	11.9316	13.8115	12.3215	13.2815	12.8314	12.2614	12.2418	9.8918	12.7716	12.6215	11.4716	12.6816	12.6665	12.7517	10.4117	11.6716	11.5618	7.393	13.0116	11.7716	12.4116	12.3415	12.1016	12.0115	11.5316	12.6315	13.1215	12.4415	11.5516	13.1416	9.6116	10.0417	12.9916	12.0819	12.4115	9.9818	12.9616	13.6915	14.0214	12.1816	11.6716	12.2116	11.1117	11.3117	11.9317	12.3615	12.4915	12.3316	11.7917	12.1817	10.6917	12.0617	12.8116	11.9116	11.2117	12.6415	13.0315	10.8442	12.7715	11.7616	10.8117	11.5416	12.0515	12.2216	12.2917	14.0318	12.5616	11.8217	12.1316	10.9717	13.0816	12.6915	11.9716	11.9016	12.1115	12.5115
AMOT	10.9816	9.0921	7.9829	8.1922	12.2018	8.3624	9.6416	8.6505	10.2693	6.8634	10.6917	9.9618	11.0717	8.9521	10.7267	10.3317	8.7822	10.0443	10.0617	10.5917	10.2317	8.3222	9.8118	11.6917	9.2922	10.7617	8.2621	8.6822	10.1417	8.7804	12.1416	10.5017	7.7118	9.0721	8.7923	12.1716	9.712	9.362	11.4216	10.2118	10.9918	8.332	11.9716	6.1063	9.5019	10.7617	9.8469	9.5417	8.7921	10.3217	8.6515	10.5817	8.1925	10.3717	10.3317	7.9231	10.8117	8.3927	10.0618	10.8517	10.9916	11.3016	9.422	10.4717	7.8012	8.8418	9.5519	10.3517	9.8019	6.5842	10.7217	10.1418	9.812	11.2816	8.5125	8.8021	9.6819	11.5617	7.9619	11.3416	11.4116	9.5319	9.3718	11.2217	8.5623	11.2117	11.4217	10.7417	9.5918	11.6115	10.6417	9.6144	11.1416	8.9119	8.1529	8.8423	8.3929	10.8317	10.6117	11.1417	10.0118	6.0815	10.5517	9.322	11.6016	10.5417	10.5417	9.9018	9.9119	10.7117
AMOTL1	10.6317	10.2318	11.6516	10.4917	10.9217	11.1116	9.6316	11.912	10.8791	10.7117	11.1317	10.9916	11.8717	11.6516	10.7367	11.5116	11.7916	8.4647	11.3817	11.0117	11.6517	12.2416	11.4516	11.7317	11.4115	12.2917	11.6017	11.8516	11.7916	11.372	10.7417	10.5817	11.5317	11.0216	11.4816	10.2818	11.8115	10.7817	11.1216	11.2316	11.7318	10.5117	10.6117	9.312	10.4517	11.9916	11.5866	10.1617	11.1716	10.9517	10.5917	12.1116	9.8618	10.4717	11.4616	11.3816	10.7017	10.9016	11.5316	11.2516	10.5817	10.8117	10.1418	11.1717	10.5817	11.8617	11.1217	10.9618	12.1715	10.2617	11.3617	11.5216	10.9016	11.5216	11.0316	11.3816	11.3616	10.9517	10.8817	10.6717	11.6215	10.6317	10.6317	11.3517	11.7416	11.7317	11.5817	11.5116	12.3416	11.2916	10.3417	10.3942	10.9016	11.4517	10.9716	10.5217	10.8616	11.7617	12.3417	10.7717	10.5317	10.2917	11.2416	10.5817	11.0317	10.8217	11.2317	11.2017	10.5517	11.7316
AMOTL2	10.7217	10.8617	10.5317	11.2017	10.4017	10.4817	10.6117	10.0915	10.8192	9.032	10.3817	10.3617	12.5217	10.9217	11.0866	11.5916	10.3717	9.0545	10.4817	10.9817	11.1517	10.0018	10.8217	11.3417	9.8719	11.4417	10.2917	9.5219	10.6717	10.1715	10.7517	10.8717	10.4417	10.5717	9.9218	10.7817	11.2716	10.4717	10.8217	11.1116	11.4218	9.3818	10.0818	10.8417	10.4317	10.8617	11.5166	11.0317	10.3517	10.2917	10.5917	9.3219	10.1318	11.6416	9.6419	11.8615	10.9617	10.7617	10.4317	10.4017	10.6517	10.9016	11.0216	11.1617	10.1117	10.1917	9.9918	9.7215	11.3416	8.7821	11.3517	11.1216	11.6115	10.6317	10.1418	10.7317	9.8718	10.4917	10.0117	11.0016	10.8616	10.9717	11.5217	10.8817	11.1216	11.7517	10.7017	10.5917	11.1717	10.6617	10.8517	8.2449	10.5617	10.9217	9.8719	10.1418	9.9419	11.1517	11.0617	10.4017	10.4117	10.5717	10.3417	10.9417	10.2917	10.7417	10.2717	9.7818	10.0518	10.6617
ANK3	11.5516	11.2616	11.2316	11.2917	12.3018	11.5816	11.1217	11.1119	11.879	11.0017	11.4117	11.6016	11.5917	11.7516	11.3266	12.8415	12.0616	12.9541	13.1517	11.6616	13.6916	10.5317	10.8417	12.3117	11.0516	11.8217	10.6017	10.8517	12.0416	10.2716	12.9716	12.1516	11.4617	11.2016	12.3315	11.8616	10.6517	11.3216	12.0515	10.8616	11.5718	10.0817	11.5016	11.3616	10.0318	13.0116	12.9565	11.6417	11.4016	11.1616	10.9317	10.9917	12.3816	11.6616	13.8516	10.5817	11.5516	11.5316	11.8015	11.2216	13.3715	12.0215	11.0616	12.7216	11.3817	11.2517	11.7616	10.6817	11.3616	9.082	11.3017	10.9117	11.4315	11.7516	10.9916	12.9216	10.0818	12.0217	11.5317	12.8915	11.4916	12.6916	11.7217	11.9817	11.0716	11.5217	11.7316	12.6216	10.8417	12.6715	11.8616	11.4541	11.1616	11.6117	11.4216	10.8117	11.3616	12.4216	12.5617	13.1418	11.2117	10.8717	12.9015	11.8216	12.2216	12.4615	12.7316	12.7116	11.1716	12.2515
AOC1	3.9102	6.8046	9.8019	5.1269	6.2184	4.753	9.7516	5.5475	10.7892	9.2019	6.5436	9.482	4.7228	10.1318	7.348	10.2018	9.5519	11.3941	11.5917	8.2925	6.7328	5.6754	9.9718	8.1017	8.2732	6.9424	5.994	7.2933	10.5317	4.7207	5.5066	7.1634	5.3721	7.5233	10.2418	4.4373	8.6327	11.8016	10.1118	6.1592	5.8971	11.2517	5.4772	6.5052	11.0917	8.7719	9.2971	9.2917	9.072	7.7429	11.3717	8.6322	6.1156	5.2014	11.9016	9.7619	4.6802	4.9056	10.8317	6.3461	9.9818	6.6166	0.8059	6.3241	5.7294	9.2618	12.0816	8.1604	5.4013	11.6316	8.1623	6.5146	3.3384	7.1136	7.304	5.2287	10.5417	5.0611	9.7817	7.4235	6.2875	6.754	5.6437	9.5118	8.7222	6.1317	7.1028	6.9739	5.3457	9.0223	9.0821	6.3075	7.3939	9.9618	4.817	7.853	8.1233	10.5117	6.4728	5.4699	6.0949	8.3717	7.1339	8.9022	5.6554	6.6148	9.1419	5.5262	10.0119	4.6953
APC	11.2016	10.9617	11.3916	11.2717	11.9218	11.5116	10.9017	10.1516	11.4691	11.2317	11.2917	11.5716	11.1317	11.5416	11.4366	11.8916	11.8316	12.0641	11.4317	11.6716	12.1417	11.0717	11.4916	11.4517	11.4815	11.6217	11.2517	11.4416	11.7416	11.622	11.5516	11.3716	11.5017	11.5716	11.4816	10.6817	11.5915	11.3816	11.6015	11.2216	11.5118	11.5917	11.1017	10.5217	11.5616	11.4217	11.5566	11.1217	11.7016	11.3816	11.1617	11.0317	11.6516	10.6717	11.4016	11.2816	11.6416	10.9616	11.8415	11.2116	11.6916	11.8115	10.6217	12.1716	11.3917	11.3017	11.6316	11.7119	11.2016	11.3316	11.5616	11.1216	10.9416	11.4516	10.9716	10.7417	11.5016	11.3217	11.5217	11.1816	11.5815	11.4416	11.3317	11.5917	11.3016	10.9217	11.2817	12.1416	11.3417	11.9215	11.3316	10.9842	11.3316	11.1217	11.3216	11.7316	11.4315	11.1917	11.3417	12.0417	11.2317	11.0417	11.9416	11.2116	11.8316	11.5416	11.5317	11.8416	11.0016	9.7719
BVES	7.0347	6.9044	7.2937	7.2528	6.7494	7.7529	7.0108	8.9908	8.4301	7.0132	6.6434	6.4554	7.8918	7.1238	7.2182	6.605	7.4432	6.5862	7.0324	6.2457	6.8327	8.5621	7.6728	7.0016	7.3549	7.0224	8.412	6.9637	7.1129	7.5378	6.564	7.7828	7.2118	6.525	6.9245	6.4155	7.4544	6.5553	7.2447	7.0954	6.7893	7.5023	7.2632	6.555	8.1023	6.5831	6.9997	6.2716	7.7028	6.4948	7.6211	6.5042	5.9761	6.7947	8.2324	7.6235	7.213	8.5126	6.0381	7.2539	6.2164	7.0552	6.2064	6.5837	8.2814	7.652	6.9436	8.5808	7.4438	5.7861	6.1843	6.814	6.7765	7.0137	6.9646	7.0436	6.6242	6.9715	6.2423	7.3337	6.9153	6.8139	7.0224	6.8626	7.5032	7.7017	6.803	6.5846	6.1739	6.3276	6.2554	8.8546	6.526	6.9229	6.7654	6.1865	6.846	7.0326	7.0524	6.5108	6.7936	7.5417	6.8644	6.6948	6.8832	6.166	6.7333	6.1346	7.2844	6.8945
CDH5	10.1318	9.402	9.8818	9.8818	9.2414	10.1318	9.0716	11.772	9.5795	9.8618	10.2517	8.6523	10.3217	9.9418	9.5169	10.1118	10.9917	8.5746	8.6819	8.9721	9.4018	10.3517	9.6219	10.0317	9.9519	10.9417	10.3617	9.4519	10.0818	10.7818	9.7918	9.3719	10.0117	10.1318	9.6819	10.0118	11.3416	9.9718	9.8319	10.5917	10.6717	9.7318	9.7718	9.0521	9.6518	9.0719	10.1968	8.7517	10.0918	9.4619	9.8316	9.4319	10.2717	10.6417	9.3519	9.7419	10.3417	10.5817	10.0718	10.3717	9.8619	10.2818	8.6524	9.6418	10.6617	11.8517	10.3917	10.1116	11.2216	9.9118	9.5018	10.0118	9.9319	9.5619	10.5917	9.7718	10.1518	10.5217	10.4217	9.492	10.4317	10.2917	10.4217	9.3418	10.2718	10.2217	9.1919	8.4723	9.8918	10.0718	9.9318	8.8346	9.622	10.0718	10.1218	11.5616	9.782	9.5318	9.2418	8.9816	9.6118	9.6817	9.1521	9.392	9.3619	9.412	9.6218	8.5821	9.4521	8.8722
CGN	11.2216	11.7416	12.8415	11.7716	11.2318	11.0416	12.4718	10.4817	11.6291	11.0817	11.3317	11.6816	11.1217	11.4516	12.3466	12.5515	11.4816	10.5342	11.3417	11.1716	12.8416	10.6017	11.2816	12.2317	11.7615	11.6917	10.6417	12.0416	12.2416	12.9622	11.9916	12.0516	12.2017	11.3416	11.4916	12.5915	11.1816	13.0715	12.8414	11.9215	12.9119	10.4817	13.0116	11.8016	12.3516	10.6817	12.7065	12.4417	10.0018	12.2016	12.6818	9.5519	11.3416	11.3016	10.6517	10.8117	12.0316	11.4716	11.3916	11.0716	11.3316	11.2516	11.6216	11.7016	10.5317	11.3617	12.9716	12.0019	11.1116	10.9117	10.4717	12.5416	13.3314	10.9517	10.5517	11.2916	11.9816	13.6817	11.0417	11.0616	10.9316	11.0317	12.1117	12.2017	10.9517	11.1817	11.1117	12.7716	10.2017	12.6715	11.8416	11.2141	11.1616	11.3317	11.2116	13.1015	11.6615	12.6916	11.5617	11.5117	12.3916	10.7517	12.4115	11.0916	11.4516	11.7516	11.4117	11.2617	10.7117	11.3416
