lineage	n	layer
Lung	204	RNA
Lymphoid	166	RNA
CNS/Brain	97	RNA
Skin	95	RNA
Bowel	80	RNA
Esophagus/Stomach	73	RNA
Breast	67	RNA
Ovary/Fallopian Tube	67	RNA
Head and Neck	65	RNA
Myeloid	62	RNA
Soft Tissue	56	RNA
Pancreas	54	RNA
Kidney	46	RNA
Bone	43	RNA
Biliary Tract	42	RNA
Uterus	40	RNA
Peripheral Nervous System	40	RNA
Fibroblast	39	RNA
Bladder/Urinary Tract	37	RNA
Liver	27	RNA
Pleura	22	RNA
Cervix	20	RNA
Eye	19	RNA
Thyroid	16	RNA
Prostate	12	RNA
Testis	6	RNA
Unknown	5	RNA
Muscle	5	RNA
Ampulla of Vater	4	RNA
Vulva/Vagina	2	RNA
Adrenal Gland	2	RNA
Hair	2	RNA
Other	1	RNA
Embryonal	1	RNA
Lung	76	protein
Skin	33	protein
Breast	30	protein
Bowel	30	protein
Esophagus/Stomach	28	protein
Lymphoid	24	protein
Pancreas	20	protein
Ovary/Fallopian Tube	17	protein
Myeloid	16	protein
Kidney	14	protein
CNS/Brain	14	protein
Uterus	14	protein
Liver	14	protein
Bladder/Urinary Tract	11	protein
Head and Neck	10	protein
Bone	7	protein
Prostate	5	protein
Soft Tissue	5	protein
Pleura	3	protein
Thyroid	2	protein
Peripheral Nervous System	1	protein
Biliary Tract	1	protein
