sample,TJ_score,CD8_score,purity,Immune_score,Stromal_score,ESTIMATE_score
TCGA-05-4244-01,0.17848379262086309,-0.391522276597629,0.782008163028133,933.74,-470.99,462.76
TCGA-05-4249-01,0.6675797989420146,-0.5520444912585303,0.7271395208445183,1033.35,-0.14,1033.21
TCGA-05-4250-01,0.06984340576370866,1.2020150791686959,0.6840254444072377,1184.84,263.1,1447.95
TCGA-05-4382-01,0.568919310427283,-0.42189641084570517,0.5208678804718619,1641.81,1205.42,2847.24
TCGA-05-4384-01,0.32772915588302093,-0.9009027371933382,0.760564190395058,767.77,-75.43,692.34
TCGA-05-4389-01,-0.10794665128998988,1.597944405293254,0.7245516785208518,1456.58,-397.74,1058.84
TCGA-05-4390-01,-0.20686458270510277,-0.3422002589842422,0.8053391864500227,76.91,124.48,201.39
TCGA-05-4395-01,-0.452379006833901,-0.3014867726113377,0.8025457278160916,854.14,-620.75,233.39
TCGA-05-4396-01,0.3381754408634354,-1.3474539838180424,0.8915374392163,-204.96,-714.18,-919.14
TCGA-05-4397-01,-1.2957864890073225,-0.5963572665018962,0.8408012579919222,463.66,-688.16,-224.49
TCGA-05-4398-01,-0.3748695299855515,0.10337258374716052,0.6367044040588599,1514.83,362.65,1877.48
TCGA-05-4402-01,0.1293028644747041,-0.7107633983477537,0.7247499408901107,848.38,208.5,1056.88
TCGA-05-4403-01,0.7641528471290967,-0.4978016239299284,0.6870871137380617,1327.2,92.1,1419.3
TCGA-05-4405-01,0.42219612997424416,-0.234831772365801,0.6544088822632816,845.61,873.93,1719.54
TCGA-05-4410-01,0.03462750554815053,0.9738063270872865,0.6948954532625036,1449.18,-103.47,1345.71
TCGA-05-4415-01,-1.8874707402547493,0.2777475423867924,0.9014233200373721,52.89,-1124.07,-1071.18
TCGA-05-4417-01,-0.04087564847236012,0.5967025679630678,0.5176363320431341,1580.98,1292.02,2873.0
TCGA-05-4418-01,-0.3036034138156658,0.7057828961628851,0.7181695773634218,1233.33,-111.7,1121.62
TCGA-05-4420-01,-0.06364839127217235,-0.3537673793533062,0.8694520541517813,-179.48,-421.95,-601.43
TCGA-05-4422-01,0.4268650437121231,1.4917817234632664,0.7566919111265055,1425.83,-693.0,732.83
TCGA-05-4424-01,0.09730483085254021,0.3482535231686762,0.6589024341014066,1169.53,509.42,1678.95
TCGA-05-4425-01,-0.2770719834189565,-0.2348445178586672,0.6180497686539359,1600.66,440.03,2040.69
TCGA-05-4426-01,-0.06832492950635022,-0.7802687514556357,0.813586246717196,695.94,-590.25,105.7
TCGA-05-4427-01,0.17348238123181214,0.1649171544967276,0.7403687954066519,823.37,77.18,900.55
TCGA-05-4430-01,0.31934672856026863,0.17101224410635263,0.5803329684992673,1304.67,1057.05,2361.71
TCGA-05-4432-01,0.4991858938869446,0.5916242702409494,0.7615630298181439,822.09,-140.24,681.85
TCGA-05-4433-01,0.6738572536575304,0.3747223461673583,0.7107648132315091,1499.08,-305.36,1193.72
TCGA-05-4434-01,0.08580976470428221,0.4022701394293782,0.5637195288956017,1881.89,617.81,2499.7
TCGA-05-5420-01,-0.8081499942270526,1.3621479092549729,0.4566321745034524,2704.93,644.13,3349.06
TCGA-05-5423-01,0.2949136788120305,0.21003291827154738,0.6329139579684683,1820.79,90.11,1910.9
TCGA-05-5425-01,0.17448643342988918,1.6127128292627955,0.6319963842081189,1753.64,165.33,1918.97
TCGA-05-5428-01,-0.5929029116557633,-0.04625963766878505,0.7379643969499872,831.02,93.84,924.87
TCGA-05-5429-01,0.5849263905037684,-0.6464136147940499,0.866647050683225,-66.98,-495.96,-562.94
TCGA-05-5715-01,0.6678992601527489,-0.81552181253037,0.6888512522252683,944.86,457.88,1402.74
TCGA-35-3615-01,-0.17395388440324014,-0.18400725855034827,0.8239402196598118,405.82,-422.99,-17.17
TCGA-35-4122-01,-0.6542332114588554,1.41014516774053,0.49660074083788275,2295.05,744.23,3039.28
TCGA-35-4123-01,-0.6582140915635198,2.619964207354814,0.5317228342922119,2138.23,622.04,2760.27
TCGA-35-5375-01,-1.1282586504211067,0.984466029083055,0.7488614639063901,1039.07,-225.2,813.87
TCGA-38-4625-01,-0.7853838152503023,0.14851136422261443,0.7476110519869194,964.93,-138.22,826.71
TCGA-38-4626-01,0.02374480685430981,-0.10334797997332777,0.5004626710757563,1926.47,1082.46,3008.93
TCGA-38-4627-01,-0.24592151012544444,-0.29398989453726737,0.42209872877777793,1512.22,2098.77,3610.98
TCGA-38-4628-01,0.4904362519461049,0.036563586421266225,0.724741849722725,720.64,336.32,1056.96
TCGA-38-4629-01,-0.3335473225201489,0.9700485712498631,0.5264177827363489,1883.89,918.97,2802.86
TCGA-38-4630-01,-0.6053087042126829,-0.09540249822479226,0.8816734000155427,-361.37,-412.46,-773.82
TCGA-38-4631-01,-0.4934303443675583,0.08644724067757584,0.8674055028562242,254.82,-828.13,-573.31
TCGA-38-4632-01,-0.8433019704582293,0.5076267726764297,0.6684100827451426,1531.5,60.86,1592.36
TCGA-38-6178-01,0.22552166531068715,-1.280081023556058,0.7584300514407953,409.24,305.45,714.69
TCGA-38-7271-01,0.2922877857125587,1.6418105864524084,0.37849959502464203,2743.79,1191.36,3935.15
TCGA-38-A44F-01,-0.1021887359388426,0.3013706437209953,0.5874115799764422,1875.62,426.69,2302.31
TCGA-44-2655-01,0.15938978992394998,-0.6819800917160455,0.785562474058798,861.14,-437.38,423.77
TCGA-44-2656-01,0.18859608962626512,1.8139915802851094,0.5133635452277446,2175.91,731.06,2906.97
TCGA-44-2657-01,-0.2874573073502262,1.7394241895462799,0.49296779611639197,2387.9,679.86,3067.76
TCGA-44-2659-01,0.21013348274049073,1.0347114116293032,0.6324717686466635,1273.63,641.16,1914.79
