"CXCL13","CLDN4","GATA3","CD274","GZMA","FOXA1","KRT5","TACSTD2","EPCAM","CXCL9","KRT20","PRF1","TGFB1","UPK2","CD8A","CDH1","sample_id","libsize"
234,369,21485,173,118,6454,14319,2505,14084,141,4558,205,3375,3574,279,72955,"SAMf2ce197162ce",51358034
496,153,130,149,87,722,112,143,22366,368,12,141,1244,19,267,15317,"SAM698d8d76b934",42109521
178,354,17010,46,98,7774,38,3836,4373,207,15513,280,483,4119,788,26160,"SAMc1b27bc16435",19547389
446,222,3613,256,611,2677,472241,3883,6577,417,0,875,6217,33,722,41482,"SAM85e41e7f33f9",48992286
196,935,22621,244,311,16365,24229,10838,5062,258,850,291,2722,1086,477,58473,"SAMf275eb859a39",55701389
411,845,10652,124,112,3040,573,3934,7264,103,1991,334,834,3515,607,15783,"SAM7f0d9cc7f001",23255225
9,776,35380,8,10,10596,2823,7654,16290,0,84,6,2139,8209,42,67712,"SAM4305ab968b90",51809686
198,659,35940,225,181,14274,29098,6305,25889,207,27,526,2961,2564,709,97402,"SAMcf018fee2acd",62350759
124,864,3016,528,197,1018,311,2186,18420,470,708,359,1913,47,636,44992,"SAMb2f1d0e54ece",34876592
26,342,12348,69,189,6811,8454,2328,14339,68,3,244,2694,1219,315,37263,"SAMcc4675f394a1",53476549
388,598,14689,37,36,3660,1399,4307,22766,73,5056,70,1206,318,84,60540,"SAM49f9b2e57aa5",35326548
410,2090,22240,114,257,5710,666,21742,12039,1489,32,472,1211,32954,739,256014,"SAM2e7aa8fa0ab3",51533186
49,481,22283,115,68,7360,2430,7059,22188,61,1991,107,476,21,220,44145,"SAMd0e47be700b0",33800019
724,26,551,296,326,273,645529,3071,3768,891,1,706,2332,7,881,11617,"SAMdf3e42c8672a",33047975
24976,15,1587,151,123,132,101869,322,1010,193,6,153,3676,6,399,3023,"SAMd027124354ce",54606507
832,345,188,741,141,537,205466,12397,36584,244,54,283,1658,5,490,58575,"SAM36d87392593b",39273205
389,325,2417,599,508,2585,466050,3425,1761,2209,7,668,5385,60,559,21526,"SAM4edbe45817b3",37548887
2970,55,4218,1638,979,646,33019,1952,8522,5191,2,1345,4044,64,4003,19397,"SAM36a9225b0222",73102396
487,261,14593,260,2013,7502,135543,5276,7853,1087,18,1888,2958,629,1395,37639,"SAMe7bf6c015192",44842264
581,88,2069,2087,237,87,106820,4450,20241,762,4,778,4155,63,397,25778,"SAM6dd7ad1d797d",51462449
115,431,12301,124,67,2520,405,1672,3297,105,5,73,2383,5982,225,16483,"SAMc0d625a50eb8",45803498
6,2212,18189,29,70,16953,2700,19271,27812,97,60167,296,4782,13867,180,131658,"SAM18039827e1b9",68967899
943,816,15864,154,200,12179,494,4963,4012,1174,19522,207,2819,18139,548,117740,"SAM681e4bf7cf85",61673820
