sample,gene,compartment,n_cells,mean_lognorm,frac_positive
Lung9_Rep1,CLDN4,epithelial,41595,0.4362470805644989,0.6077413150619064
Lung9_Rep1,CLDN4,immune,12836,0.08789590001106262,0.1000311623558741
Lung9_Rep1,CLDN4,stromal,32161,0.12490885704755783,0.16771866546438233
Lung9_Rep1,CLDN4,unassigned,1025,0.08436257392168045,0.04780487804878049
Lung9_Rep1,TACSTD2,epithelial,41595,0.12451905757188797,0.24632768361581922
Lung9_Rep1,TACSTD2,immune,12836,0.04123244434595108,0.05009348706762231
Lung9_Rep1,TACSTD2,stromal,32161,0.04111941531300545,0.05988619756848357
Lung9_Rep1,TACSTD2,unassigned,1025,0.05581840127706528,0.03121951219512195
Lung12,CLDN4,epithelial,25599,0.20241306722164154,0.32134067737020977
Lung12,CLDN4,immune,9247,0.07282695919275284,0.09722072023358927
Lung12,CLDN4,stromal,35970,0.0766887292265892,0.1148179038087295
Lung12,CLDN4,unassigned,624,0.07903406023979187,0.041666666666666664
Lung12,TACSTD2,epithelial,25599,0.1483113020658493,0.26215867807336224
Lung12,TACSTD2,immune,9247,0.056211207062006,0.0754839407375365
Lung12,TACSTD2,stromal,35970,0.050102598965168,0.07661940505977204
Lung12,TACSTD2,unassigned,624,0.037259578704833984,0.019230769230769232
Lung13,CLDN4,epithelial,26713,0.5792741775512695,0.6887657694755362
Lung13,CLDN4,immune,19700,0.06065036356449127,0.09299492385786802
Lung13,CLDN4,stromal,34585,0.07825671136379242,0.09758565852248084
Lung13,CLDN4,unassigned,250,0.08464062213897705,0.044
Lung13,TACSTD2,epithelial,26713,0.17163866758346558,0.3315988470033317
Lung13,TACSTD2,immune,19700,0.02490721456706524,0.038781725888324875
Lung13,TACSTD2,stromal,34585,0.028631241992115974,0.04097151944484603
Lung13,TACSTD2,unassigned,250,0.0497073270380497,0.024
