names,scores,logfoldchanges,pvals,pvals_adj
CLDN4,28.65105,3.3531861,1.5554390130848092e-180,2.8080340503220058e-176
CES1,20.500156,2.190661,2.1460224611887976e-93,4.304682610204596e-90
FXYD3,20.327662,2.2707105,7.320895043901393e-92,1.3216411822755184e-88
CD9,20.055437,1.7884909,1.8094687959266988e-89,2.969667288442245e-86
PERP,20.02142,2.308631,3.5836585659644214e-89,5.391315674279642e-86
TXNRD1,19.558779,2.1028917,3.472987818266848e-85,3.918615567698213e-82
KRT8,19.212875,2.093988,2.8881285043269397e-82,2.6069691944307118e-79
SOX2,19.027023,2.2560434,1.018778903755981e-80,8.75810264262225e-78
KRT19,19.020884,1.972858,1.1453711047095882e-80,9.398811160600999e-78
GCLC,18.953844,2.0123665,4.104767778660181e-80,3.2218857699196623e-77
ABCC5,18.618895,1.9434227,2.258317113531292e-77,1.509977735206682e-74
EPCAM,18.567451,2.5324278,5.893383026460671e-77,3.7997587063105175e-74
AKR1C2,18.410887,2.6372826,1.0744688262688677e-75,6.465795240210623e-73
KRT17,18.353556,2.4004838,3.092012685633665e-75,1.8006485488304696e-72
NQO1,18.268677,2.4255815,1.4697065401504065e-74,8.291441302917277e-72
SFN,18.23408,2.1725342,2.7688101463229507e-74,1.5147069567141888e-71
CA12,18.095934,2.4477901,3.430820116876714e-73,1.7696170162850092e-70
TP63,18.07685,2.5500731,4.850067936247483e-73,2.4321743459187727e-70
ALDH3A1,18.023916,2.4405832,1.264678008520276e-72,6.170603266977444e-70
PFN2,18.016947,1.8746749,1.4344694554231942e-72,6.814862389146033e-70
TRIM29,18.000519,2.1879187,1.9300587636793743e-72,8.934192528385576e-70
UCHL1,17.976706,2.20655,2.966011809068308e-72,1.3386352797277538e-69
SCNN1A,17.967827,1.8755856,3.480803943837599e-72,1.5326574048317116e-69
DSP,17.937626,2.2171254,5.996208323630417e-72,2.577370211107141e-69
TBL1XR1,17.870173,1.8186635,2.013728383497364e-71,8.262236024381343e-69
KRT5,17.772266,2.458167,1.1590988795640377e-70,4.650047127282127e-68
DLG1,17.760237,1.8069288,1.4362786487845727e-70,5.636769227501715e-68
IGFBP2,17.64665,1.9120215,1.0797282933629045e-69,4.060903100016774e-67
KLF5,17.552563,2.108131,5.685584227738594e-69,2.0947316747625475e-66
GSTP1,17.524519,1.1115121,9.312627787632995e-69,3.335181311095933e-66
CYP4F11,17.523855,2.4036164,9.421938008413703e-69,3.335181311095933e-66
TFRC,17.453247,1.9057686,3.2520649281113743e-68,1.1290293874460507e-65
SQSTM1,17.349535,0.9058435,1.988477338768181e-67,6.526905708505813e-65
EIF4G1,17.335264,1.7704351,2.5489396389131315e-67,8.16672054959264e-65
NDUFB5,17.3346,1.5793587,2.5785358185718745e-67,8.16672054959264e-65
RNF168,17.310123,1.7656094,3.945637042231695e-67,1.2281135435070482e-64
FGFR2,17.221014,1.8882993,1.8472247364661102e-66,5.652194604647913e-64
BDH1,17.14576,2.1207364,6.760862201818617e-66,2.034230755490525e-63
MAP1B,17.085358,2.1463506,1.907680443329712e-65,5.645795908759228e-63
F11R,17.067686,1.7251039,2.5823578875777e-65,7.519243055554874e-63
PCYT1A,17.044786,1.888342,3.821410773366695e-65,1.0779363858060773e-62
ADAM23,17.010437,2.3545918,6.8724103890206784e-65,1.9087326885075432e-62
EPPK1,16.990192,2.2006881,9.70715999545757e-65,2.655202415121144e-62
KRT6A,16.892784,2.454785,5.084545595965206e-64,1.3303087194776791e-61
POLR2H,16.886065,1.4963491,5.69795570773303e-64,1.4695027770243485e-61
ADH7,16.881002,2.4546328,6.208104701821683e-64,1.5785199180561527e-61
PDCD10,16.846571,1.9499072,1.1117793651541332e-63,2.7876323443232732e-61
YWHAZ,16.842836,1.4906759,1.1842079369045235e-63,2.9285624499914195e-61
ABCC1,16.788076,1.6477914,2.983587255285456e-63,7.181693429289111e-61
DVL3,16.777124,1.5251242,3.5879399287449227e-63,8.522773622846329e-61
SLC6A8,16.75497,2.3411496,5.208586813887012e-63,1.2055207403987466e-60
PPP4R1,16.715311,1.5663946,1.0138825902074611e-62,2.287952800126912e-60
PARD3,16.69515,1.7773433,1.4216124261148689e-62,3.16844063316688e-60
DSG2,16.688679,2.2816234,1.5843926902725577e-62,3.4881757606695716e-60
S100A6,16.677477,0.82304335,1.9112056236907195e-62,4.1569873643962115e-60
RAB12,16.676067,1.5964173,1.9568590732275397e-62,4.2056162915448543e-60
NDUFV2,16.668766,1.4895678,2.2111370670373735e-62,4.696194996614789e-60
HSP90AA1,16.660053,1.4557725,2.5579442226790127e-62,5.369600820002815e-60
DST,16.650679,1.4483129,2.991925425637861e-62,6.208417207935667e-60
SAMD12,16.636242,2.1180534,3.8078186928843447e-62,7.811653507118304e-60
JUP,16.585299,1.7224652,8.9023396800934e-62,1.8057745870193948e-59
TRA2B,16.550035,1.6384155,1.6000833497196575e-61,3.1398157296183668e-59
DDR1,16.485733,1.8116999,4.6462017504693644e-61,8.923178744811004e-59
SRXN1,16.48341,2.1993606,4.8282606524647586e-61,9.175219953573294e-59
OPA1,16.42525,1.6607951,1.2616584507103412e-60,2.372575001111853e-58
TRIM2,16.41214,1.8532859,1.5658937647419476e-60,2.9143381582357093e-58
NFE2L2,16.394882,1.4383113,2.0804602954817192e-60,3.832505072890967e-58
GABRE,16.345764,1.8969026,4.6629556893876236e-60,8.418033906051477e-58
YBX3,16.263124,1.0256964,1.8030232395129838e-59,3.1601920915463977e-57
PKP1,16.253666,2.3856196,2.1039650951646045e-59,3.65220017913525e-57
GPC1,16.224047,1.7530941,3.4097333002226383e-59,5.862468120849456e-57
DNAJB11,16.181068,1.5329798,6.85945619252391e-59,1.1573248845199453e-56
MYH14,16.12274,1.7355562,1.766030638754538e-58,2.9520510297625625e-56
CALML3,16.103989,2.0453396,2.391772618473341e-58,3.961345970761397e-56
PIGX,16.09959,1.9848251,2.5679605370004122e-58,4.176521763465625e-56
FXR1,16.087063,2.023077,3.1440428011370723e-58,5.067803990082819e-56
FAT2,16.010233,2.7515323,1.0840424868094345e-57,1.7318777888823647e-55
TPD52L1,15.974306,2.5269144,1.9298940148028382e-57,3.0561733902838277e-55
PPP1R14C,15.925105,2.184756,4.2430033173285024e-57,6.660777294585344e-55
NCBP2,15.923446,1.3908727,4.357068659883349e-57,6.780875906627077e-55
ANKRD62,15.909009,2.5886736,5.487532686526275e-57,8.467216033321268e-55
AFG3L2,15.89731,1.8907176,6.614446815654991e-57,1.0119543081611827e-54
EID3,15.8966465,2.098215,6.68488750525355e-57,1.0141367574146415e-54
G6PD,15.8720875,1.9126561,9.88966011743371e-57,1.475520942975461e-54
UBXN7,15.862048,1.7748628,1.1604732873122065e-56,1.7172151029383003e-54
ABCB6,15.857236,2.19219,1.2528860799385882e-56,1.8388904391163685e-54
RFC4,15.846035,2.0942707,1.4973611499288728e-56,2.1799887773924147e-54
