accession	gdstype	taxon	n_samples	title
GSE278664	Expression profiling by high throughput sequencing	Homo sapiens	35	Distinct effects of sacituzumab govitecan and berzosertib on DNA damage response in ovarian cancer
GPL20301		Homo sapiens	224485	Illumina HiSeq 4000 (Homo sapiens)
GSM8552458		Homo sapiens		Tumor biopsy, S68wt
GSM8552457		Homo sapiens		Tumor biopsy, S71wt
GSM8552456		Homo sapiens		Tumor biopsy, S73wt
GSM8552455		Homo sapiens		Tumor biopsy, S55wt
GSM8552454		Homo sapiens		Tumor biopsy, S59wt
GSM8552453		Homo sapiens		Tumor biopsy, S62wt
GSM8552452		Homo sapiens		Tumor biopsy, S64wt
GSM8552451		Homo sapiens		Tumor biopsy, S45wt
GSM8552450		Homo sapiens		Tumor biopsy, S52wt
GSM8552449		Homo sapiens		Tumor biopsy, S39wt
GSM8552448		Homo sapiens		Tumor biopsy, S44wt
GSM8552447		Homo sapiens		Tumor biopsy, S69wt
GSM8552446		Homo sapiens		Tumor biopsy, S72wt
GSM8552445		Homo sapiens		Tumor biopsy, S57wt
GSM8552444		Homo sapiens		Tumor biopsy, S61wt
GSM8552443		Homo sapiens		Tumor biopsy, S48wt
GSM8552442		Homo sapiens		Tumor biopsy, S50wt
GSM8552441		Homo sapiens		Tumor biopsy, S53wt
GSM8552440		Homo sapiens		Tumor biopsy, S37wt
GSM8552439		Homo sapiens		Tumor biopsy, S40wt
GSM8552438		Homo sapiens		Tumor biopsy, P10mut
GSM8552437		Homo sapiens		Tumor biopsy, P37mut
GSM8552436		Homo sapiens		Tumor biopsy, P35mut
GSM8552435		Homo sapiens		Tumor biopsy, P33mut
GSM8552434		Homo sapiens		Tumor biopsy, P15mut
GSM8552433		Homo sapiens		Tumor biopsy, P11mut
GSM8552432		Homo sapiens		Tumor biopsy, P8mut
GSM8552431		Homo sapiens		Tumor biopsy, P6mut
GSM8552430		Homo sapiens		Tumor biopsy, P4mut
GSM8552429		Homo sapiens		Tumor biopsy, P3mut
GSM8552428		Homo sapiens		Tumor biopsy, P2mut
GSM8552427		Homo sapiens		Tumor biopsy, P38mut
GSM8552426		Homo sapiens		Tumor biopsy, P34mut
GSM8552425		Homo sapiens		Tumor biopsy, P13mut
GSM8552424		Homo sapiens		Tumor biopsy, P5mut
