	TACSTD2	CD8A	CD274	CLDN4	EPCAM
TCGA-3L-AA1B-01	225.822	48.3559	11.1219	14383.0	31315.3
TCGA-4N-A93T-01	566.521	42.5738	3.8703	30329.0	35774.6
TCGA-4T-AA8H-01	5922.87	24.1272	7.3113	22630.6	21494.4
TCGA-5M-AAT4-01	197.935	52.0654	7.7453	19269.8	14388.6
TCGA-5M-AAT5-01	190.426	23.7414	19.2899	42130.6	29812.8
TCGA-5M-AAT6-01	1670.12	395.71	108.279	3869.17	8930.71
TCGA-5M-AATA-01	326.441	99.8012	9.9404	11206.4	18705.8
TCGA-5M-AATE-01	63.8427	47.3672	6.1783	17227.9	22075.2
TCGA-A6-2671-01	52.7246	63.7535	23.6787	22398.5903	15841.4613
TCGA-A6-2672-01	13.4764	591.6061	105.1264	11365.1775	25520.6107
TCGA-A6-2674-01	3649.2695	145.8942	60.5373	14085.6099	16276.393
TCGA-A6-2675-01	368.442	77.1409	39.3796	17698.7	23987.1
TCGA-A6-2676-01	1068.9057	213.2163	63.2779	8524.0438	11865.7912
TCGA-A6-2677-01	3346.0375	44.0511	7.5278	17633.0611	34587.4296
TCGA-A6-2678-01	1952.8399	195.0817	36.3677	11087.8206	44789.3349
TCGA-A6-2679-01	227.2589	113.9977	-0.1123	85890.6032	11608.615
TCGA-A6-2680-01	639.6516	65.9215	12.763	52286.0671	19841.4364
TCGA-A6-2681-01	461.9721	115.7694	14.8888	30902.6945	16319.7478
TCGA-A6-2682-01	1379.49	25.222	21.6188	28706.7	25303.8
TCGA-A6-2683-01	130.2397	11.4414	2.6204	66856.268	8355.6046
TCGA-A6-2684-01	2173.36	120.098	44.5151	12130.4	20714.4
TCGA-A6-2685-01	168.558	92.5947	17.5301	29112.9	18971.6
TCGA-A6-2686-01	1951.24	751.828	112.14	18053.6	14607.0
TCGA-A6-3807-01	959.0707	135.0176	51.46	15347.193	30108.3614
TCGA-A6-3808-01	239.6237	172.9757	24.0678	9464.0681	18790.6345
TCGA-A6-3809-01	793.6414	208.4601	57.4356	13122.6668	21672.4515
TCGA-A6-3810-01	167.7918	151.768	27.4662	12879.5957	36708.5368
TCGA-A6-4105-01	69.7168	351.147	64.0779	17795.2	18298.6
TCGA-A6-4107-01	476.7711	50.1215	8.315	31499.8442	30301.5212
TCGA-A6-5656-01	170.907	28.208	6.0841	37977.3	34339.0
TCGA-A6-5657-01	1146.55	163.88	19.1904	27766.4	13798.5
TCGA-A6-5659-01	58.3527	23.8522	9.3705	31001.9	26333.7
TCGA-A6-5660-01	816.151	32.646	7.732	27976.8	34419.2
TCGA-A6-5661-01	64.7011	72.8911	32.76	14172.0	30265.4
TCGA-A6-5662-01	2548.92	12.1212	7.3593	26842.4	32551.9
TCGA-A6-5664-01	347.461	107.414	31.2901	13174.1	16136.4
TCGA-A6-5665-01	2746.07	296.467	29.5529	22471.0	19610.0
TCGA-A6-5666-01	616.404	18.8487	6.6225	16656.1	39770.2
TCGA-A6-5667-01	119.555	52.5702	11.0228	24678.7	32345.1
TCGA-A6-6137-01	327.68	58.6131	30.4604	20304.1	30027.0
TCGA-A6-6138-01	55.7065	482.79	93.2971	28544.4	24335.1
TCGA-A6-6140-01	43.9704	121.898	12.1898	31312.1	27714.8
TCGA-A6-6141-01	1329.85	367.215	13.5322	11345.5	22815.3
TCGA-A6-6142-01	1320.87	11.6839	25.7047	31637.2	26128.2
TCGA-A6-6648-01	99.1105	87.9288	23.6341	14040.4	26740.0
TCGA-A6-6649-01	3079.01	155.625	27.4257	10783.4	15667.1
TCGA-A6-6650-01	39.9806	16.6909	7.7632	27944.9	29447.8
TCGA-A6-6651-01	88.7865	244.582	39.7864	9547.9	13491.4
TCGA-A6-6652-01	5073.28	29.8376	6.143	15766.1	24904.8
TCGA-A6-6653-01	30.2763	34.3131	16.1473	17816.6	29357.9
TCGA-A6-6654-01	256.022	268.869	84.8819	22545.5	13476.9
TCGA-A6-6780-01	130.994	339.1	102.818	11715.3	26214.0
TCGA-A6-6781-01	340.029	213.773	66.4754	11695.8	11693.4
TCGA-A6-6782-01	199.294	227.954	19.8413	23040.6	24447.5
TCGA-A6-A565-01	4741.59	462.477	27.7264	24753.4	31997.0
TCGA-A6-A566-01	2527.85	102.261	36.7891	7548.63	18947.0
TCGA-A6-A567-01	7646.24	45.5133	11.3783	11196.3	29984.0
TCGA-A6-A56B-01	46.3734	3.5672	4.7562	13085.6	15524.4
TCGA-A6-A5ZU-01	68.2046	86.9274	16.0481	21439.0	30109.0
TCGA-AA-3488-01	397.5027	37.2159	15.2524	43063.0128	16381.5169
TCGA-AA-3489-01	75.4932	404.401	65.6297	11662.0	15825.9
TCGA-AA-3492-01	4.3978	197.901	34.6938	13766.6	29717.0
TCGA-AA-3494-01	4044.2561	44.5566	15.6934	17229.7228	20885.475
TCGA-AA-3495-01	209.616	159.135	15.3847	21839.0	26137.1
TCGA-AA-3496-01	1279.17	175.11	56.714	23328.9	31421.2
TCGA-AA-3502-01	487.923	245.411	9.1787	19348.3	19052.7
TCGA-AA-3506-01	186.088	132.599	44.0499	21046.0	17971.9
