gene,log2FC_KO_minus_WT,mean_log2_KO,mean_log2_WT,mean_norm_KO,mean_norm_WT,welch_t,welch_p,mwu_U,mwu_p,cohens_d,welch_fdr,mwu_fdr
Rps6kl1,0.9743001991267919,3.9222538301719583,2.9479536310451664,14.227479127707678,6.772868353828928,8.811106409931108,3.244185390020769e-05,25.0,0.007936507936507936,5.5726329922983115,0.2461816123891419,0.5134205327338374
Cobl,-2.4329303927958685,4.642322734930883,7.075253127726752,24.97354596128518,138.58046969538782,-8.398359221078664,3.2665244130450725e-05,0.0,0.007936507936507936,-5.311588749377233,0.2461816123891419,0.5134205327338374
Ccnd2,0.8541877140482228,11.478461872506774,10.624274158458551,2865.364628315604,1589.3620821133081,7.579735945290107,8.600810700672201e-05,25.0,0.007936507936507936,4.793845929953231,0.43213339897077363,0.5134205327338374
Syde2,-0.5280053704533616,7.6025923978253,8.130597768278662,193.5829214883714,280.10206900226206,-8.037623604584152,0.00011578680570801782,0.0,0.007936507936507936,-5.083439513123701,0.43631363060923817,0.5134205327338374
Zfp57,1.466565575162801,7.126270826525598,5.659705251362797,139.8488573835634,50.862837912796145,7.983325275165767,0.0001622797913093789,25.0,0.007936507936507936,5.049098234302857,0.48920865888125364,0.5134205327338374
Ppil2,0.2987226099281788,9.94284346504046,9.64412085511228,984.5125211684966,799.7158972032282,6.5679438465642255,0.0002514951696187751,25.0,0.007936507936507936,4.153932419846085,0.5971073425136426,0.5134205327338374
Asb4,-0.944906073581885,5.309162517198989,6.254068590780874,39.226440124846896,75.71727498246891,-6.645380343155324,0.00036487589331433545,0.0,0.007936507936507936,-4.202907560496432,0.5971073425136426,0.5134205327338374
Ppp1r14c,-1.4065412002231774,6.930394104306082,8.33693530452926,125.06108774764846,327.26668562415614,-6.258843378807929,0.00040904005719138916,0.0,0.007936507936507936,-3.9584401190594183,0.5971073425136426,0.5134205327338374
Prickle2,-0.8098370518389846,5.743216949375846,6.55305400121483,52.950880449872685,94.0177125702075,-5.708014076140449,0.000551155772024475,0.0,0.007936507936507936,-3.610065079381118,0.5971073425136426,0.5134205327338374
Gramd1b,0.6146864051479781,7.897328138537157,7.282641733389179,239.13975427753138,155.1676759107536,5.982115616447563,0.0005914331306876568,25.0,0.007936507936507936,3.783422114887304,0.5971073425136426,0.5134205327338374
