accession,pdat,category,reason,taxon,n_samples,gdsType,gpl,pubmed,suppFile,prior_geo_waves,in_dedicated_path,title
GSE126044,2020/02/03,ALREADY_ANALYZED,"2019-2021 + ici-bulk waves: tumor RNA-seq, R vs NR, both genes present",Homo sapiens,16,,16791,32879421,,geo_2019_2021;geo_2026;geo_remaining_sweep;ici_bulk;ici_lung_response,Y,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE136961,2020/02/03,ALREADY_ANALYZED,"2019-2021 + ici-bulk: NSCLC anti-PD-1 DCB/NDB, Oncomine 395-gene panel lacks TACSTD2/CLDN4",Homo sapiens,21,,24014,31959763,,geo_2019_2021;geo_2026;geo_remaining_sweep;ici_bulk;ici_lung_response,Y,Immune gene signatures for predicting durable clinical benefit of anti-PD-1 immunotherapy in patients with non-small cell lung cancer
GSE124885,2020/08/26,LUNG_ICI_LEFTOVER_CANDIDATE,leftover_2020; needs series-matrix + suppl probe (prior_waves=geo_2019_2021),Homo sapiens,4,,20795,32112047;33772013,,geo_2019_2021,N,"A CD4 T cell population expand and reshape autoreactive B cells, contributing to autoimmune lung pathology and post-infection autoimmunity in children"
GSE141479,2020/04/07,LUNG_ICI_LEFTOVER_CANDIDATE,leftover_2020; needs series-matrix + suppl probe (prior_waves=geo_2019_2021),Homo sapiens,74,,23126,31855576,,geo_2019_2021,N,Combination of host immune metabolic biomarkers for the PD-1 blockade cancer immunotherapy
GSE150972,2020/06/30,LUNG_ICI_LEFTOVER_CANDIDATE,leftover_2020; needs series-matrix + suppl probe (prior_waves=geo_2019_2021),Homo sapiens,1,,20795,,,geo_2019_2021,N,Identification of clonal neoantigens derived from driver mutations in an EGFR mutated lung cancer patient benefitting from anti-PD-1
GSE154286,2020/07/14,LUNG_ICI_LEFTOVER_CANDIDATE,leftover_2020; needs series-matrix + suppl probe (prior_waves=geo_2019_2021),Homo sapiens,133,,28856,32767058,,geo_2019_2021,N,Chemotherapy negatively impacts the tumor immune microenvironment in NSCLC: An analysis of pre- and post-treatment biopsies in the multi-center SAKK19/09 study
GSE99995,2020/01/01,LUNG_ICI_LEFTOVER_CANDIDATE,leftover_2020; needs series-matrix + suppl probe (prior_waves=geo_2019_2021),Homo sapiens,12,,21185,29516506,,geo_2019_2021,N,Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ
GSE128822,2020/03/03,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,10,,18573,32125291;34552178,,geo_2019_2021,N,High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression
GSE141383,2020/12/23,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,9,,18573,34011400,,geo_2019_2021,N,Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker
GSE145896,2020/05/01,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,8,,18573,32332901,,geo_2019_2021,N,PD-1 blockade-unresponsive human tumor-infiltrating CD8+ T cells are marked by loss of CD28 expression and rescued by IL-15
GSE154826,2020/07/22,LUNG_ICI_single_cell,lung+ICI but single-cell (not patient-level bulk outcome),Homo sapiens,166,,18573;24676,34767762,,geo_2019_2021,N,CITEseq analysis of non-small-cell lung cancer lesions
GSE126043,2020/09/04,LUNG_ICI_methylation,lung+ICI but methylation/epigenetic/ChIP assay,Homo sapiens,18,,21145,32879421,,geo_2019_2021,N,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
