method,panel,symbol,score,in_set_test
deposited_probe_median_gene_mean,NHEJ,XRCC6,-1.0743,yes
deposited_probe_median_gene_mean,NHEJ,XRCC5,-0.5329,yes
deposited_probe_median_gene_mean,NHEJ,PRKDC,0.3594,yes
deposited_probe_median_gene_mean,NHEJ,LIG4,0.6043,yes
deposited_probe_median_gene_mean,NHEJ,XRCC4,-0.0624,yes
deposited_probe_median_gene_mean,NHEJ,NHEJ1,,no
deposited_probe_median_gene_mean,NHEJ,DCLRE1C,-2.3134,yes
deposited_probe_median_gene_mean,NHEJ,PAXX,,no
deposited_probe_median_gene_mean,STING,CGAS,-0.4920,yes
deposited_probe_median_gene_mean,STING,STING1,,no
deposited_probe_median_gene_mean,STING,TBK1,,no
deposited_probe_median_gene_mean,STING,IRF3,1.0645,yes
deposited_probe_median_gene_mean,STING,IKBKE,0.5752,yes
deposited_probe_median_gene_mean,CLDN4,CLDN4,-1.2250,yes
deposited_probe_mean_gene_mean,NHEJ,XRCC6,-1.0743,yes
deposited_probe_mean_gene_mean,NHEJ,XRCC5,-0.5329,yes
deposited_probe_mean_gene_mean,NHEJ,PRKDC,0.3594,yes
deposited_probe_mean_gene_mean,NHEJ,LIG4,0.6043,yes
deposited_probe_mean_gene_mean,NHEJ,XRCC4,-0.0624,yes
deposited_probe_mean_gene_mean,NHEJ,NHEJ1,,no
deposited_probe_mean_gene_mean,NHEJ,DCLRE1C,-2.3134,yes
deposited_probe_mean_gene_mean,NHEJ,PAXX,,no
deposited_probe_mean_gene_mean,STING,CGAS,-0.4920,yes
deposited_probe_mean_gene_mean,STING,STING1,,no
deposited_probe_mean_gene_mean,STING,TBK1,,no
deposited_probe_mean_gene_mean,STING,IRF3,1.0645,yes
deposited_probe_mean_gene_mean,STING,IKBKE,0.5752,yes
deposited_probe_mean_gene_mean,CLDN4,CLDN4,-1.2250,yes
deposited_probe_median_gene_median,NHEJ,XRCC6,-1.5564,yes
deposited_probe_median_gene_median,NHEJ,XRCC5,-0.8365,yes
deposited_probe_median_gene_median,NHEJ,PRKDC,0.4343,yes
deposited_probe_median_gene_median,NHEJ,LIG4,0.0000,yes
deposited_probe_median_gene_median,NHEJ,XRCC4,0.2630,yes
deposited_probe_median_gene_median,NHEJ,NHEJ1,,no
deposited_probe_median_gene_median,NHEJ,DCLRE1C,-1.9784,yes
deposited_probe_median_gene_median,NHEJ,PAXX,,no
deposited_probe_median_gene_median,STING,CGAS,-0.4920,yes
deposited_probe_median_gene_median,STING,STING1,,no
deposited_probe_median_gene_median,STING,TBK1,,no
deposited_probe_median_gene_median,STING,IRF3,1.8806,yes
deposited_probe_median_gene_median,STING,IKBKE,0.7744,yes
deposited_probe_median_gene_median,CLDN4,CLDN4,-1.2250,yes
deposited_lowest_probe_id,NHEJ,XRCC6,-1.0743,yes
deposited_lowest_probe_id,NHEJ,XRCC5,-0.5329,yes
deposited_lowest_probe_id,NHEJ,PRKDC,1.4650,yes
deposited_lowest_probe_id,NHEJ,LIG4,0.6043,yes
deposited_lowest_probe_id,NHEJ,XRCC4,-0.0624,yes
deposited_lowest_probe_id,NHEJ,NHEJ1,,no
deposited_lowest_probe_id,NHEJ,DCLRE1C,-1.9262,yes
deposited_lowest_probe_id,NHEJ,PAXX,,no
deposited_lowest_probe_id,STING,CGAS,-0.4920,yes
deposited_lowest_probe_id,STING,STING1,,no
deposited_lowest_probe_id,STING,TBK1,,no
deposited_lowest_probe_id,STING,IRF3,2.0892,yes
deposited_lowest_probe_id,STING,IKBKE,0.5151,yes
deposited_lowest_probe_id,CLDN4,CLDN4,-1.2250,yes
scanarray_log2,NHEJ,XRCC6,-1.5529,yes
scanarray_log2,NHEJ,XRCC5,-0.9974,yes
scanarray_log2,NHEJ,PRKDC,-0.4965,yes
scanarray_log2,NHEJ,LIG4,-1.9064,yes
scanarray_log2,NHEJ,XRCC4,-0.9446,yes
scanarray_log2,NHEJ,NHEJ1,,no
scanarray_log2,NHEJ,DCLRE1C,-1.8699,yes
scanarray_log2,NHEJ,PAXX,,no
scanarray_log2,STING,CGAS,-1.7169,yes
scanarray_log2,STING,STING1,,no
scanarray_log2,STING,TBK1,,no
scanarray_log2,STING,IRF3,2.7073,yes
scanarray_log2,STING,IKBKE,-0.7855,yes
scanarray_log2,CLDN4,CLDN4,-0.2126,yes
vendor_ch2_logratio_abs_le_15,NHEJ,XRCC6,-1.5500,yes
vendor_ch2_logratio_abs_le_15,NHEJ,XRCC5,-0.9967,yes
vendor_ch2_logratio_abs_le_15,NHEJ,PRKDC,-0.4967,yes
vendor_ch2_logratio_abs_le_15,NHEJ,LIG4,-1.9067,yes
vendor_ch2_logratio_abs_le_15,NHEJ,XRCC4,-0.9467,yes
vendor_ch2_logratio_abs_le_15,NHEJ,NHEJ1,,no
vendor_ch2_logratio_abs_le_15,NHEJ,DCLRE1C,-1.8717,yes
vendor_ch2_logratio_abs_le_15,NHEJ,PAXX,,no
vendor_ch2_logratio_abs_le_15,STING,CGAS,-1.1433,yes
vendor_ch2_logratio_abs_le_15,STING,STING1,,no
vendor_ch2_logratio_abs_le_15,STING,TBK1,,no
vendor_ch2_logratio_abs_le_15,STING,IRF3,2.7083,yes
vendor_ch2_logratio_abs_le_15,STING,IKBKE,-0.6867,yes
vendor_ch2_logratio_abs_le_15,CLDN4,CLDN4,-0.1400,yes
deposited_plus_freetext_ku_artemis,NHEJ,XRCC6,-1.0743,yes
deposited_plus_freetext_ku_artemis,NHEJ,XRCC5,-1.2635,yes
deposited_plus_freetext_ku_artemis,NHEJ,PRKDC,0.3594,yes
deposited_plus_freetext_ku_artemis,NHEJ,LIG4,0.6043,yes
deposited_plus_freetext_ku_artemis,NHEJ,XRCC4,-0.0624,yes
deposited_plus_freetext_ku_artemis,NHEJ,NHEJ1,,no
deposited_plus_freetext_ku_artemis,NHEJ,DCLRE1C,-2.6129,yes
deposited_plus_freetext_ku_artemis,NHEJ,PAXX,,no
deposited_plus_freetext_ku_artemis,STING,CGAS,-0.4920,yes
deposited_plus_freetext_ku_artemis,STING,STING1,,no
deposited_plus_freetext_ku_artemis,STING,TBK1,,no
deposited_plus_freetext_ku_artemis,STING,IRF3,1.0645,yes
deposited_plus_freetext_ku_artemis,STING,IKBKE,0.5752,yes
deposited_plus_freetext_ku_artemis,CLDN4,CLDN4,-1.2250,yes
