eid	panel	std_name	group	mnemonic	anatomy	query	state	segment_start0	segment_end0	error
E027	epithelial_cell_or_line	Breast Myoepithelial Primary Cells	Epithelial	BRST.MYO	BREAST	CLDN4_TSS	15_Quies	73779270	73808470	
E027	epithelial_cell_or_line	Breast Myoepithelial Primary Cells	Epithelial	BRST.MYO	BREAST	RFC2_TSS	1_TssA	74253870	74255070	
E028	epithelial_cell_or_line	Breast variant Human Mammary Epithelial Cells (vHMEC)	Epithelial	BRST.HMEC.35	BREAST	CLDN4_TSS	7_Enh	73799270	73799870	
E028	epithelial_cell_or_line	Breast variant Human Mammary Epithelial Cells (vHMEC)	Epithelial	BRST.HMEC.35	BREAST	RFC2_TSS	1_TssA	74253670	74255470	
E057	epithelial_cell_or_line	Foreskin Keratinocyte Primary Cells skin02	Epithelial	SKIN.PEN.FRSK.KER.02	SKIN	CLDN4_TSS	7_Enh	73799470	73800670	
E057	epithelial_cell_or_line	Foreskin Keratinocyte Primary Cells skin02	Epithelial	SKIN.PEN.FRSK.KER.02	SKIN	RFC2_TSS	10_TssBiv	74254270	74254670	
E058	epithelial_cell_or_line	Foreskin Keratinocyte Primary Cells skin03	Epithelial	SKIN.PEN.FRSK.KER.03	SKIN	CLDN4_TSS	7_Enh	73799470	73800070	
E058	epithelial_cell_or_line	Foreskin Keratinocyte Primary Cells skin03	Epithelial	SKIN.PEN.FRSK.KER.03	SKIN	RFC2_TSS	1_TssA	74253470	74254670	
E114	epithelial_cell_or_line	A549 EtOH 0.02pct Lung Carcinoma Cell Line	ENCODE2012	LNG.A549.ETOH002.CNCR	LUNG	CLDN4_TSS	7_Enh	73799470	73799870	
E114	epithelial_cell_or_line	A549 EtOH 0.02pct Lung Carcinoma Cell Line	ENCODE2012	LNG.A549.ETOH002.CNCR	LUNG	RFC2_TSS	1_TssA	74253270	74255670	
E117	epithelial_cell_or_line	HeLa-S3 Cervical Carcinoma Cell Line	ENCODE2012	CRVX.HELAS3.CNCR	CERVIX	CLDN4_TSS	15_Quies	73794670	73809070	
E117	epithelial_cell_or_line	HeLa-S3 Cervical Carcinoma Cell Line	ENCODE2012	CRVX.HELAS3.CNCR	CERVIX	RFC2_TSS	1_TssA	74253470	74255070	
E118	epithelial_cell_or_line	HepG2 Hepatocellular Carcinoma Cell Line	ENCODE2012	LIV.HEPG2.CNCR	LIVER	CLDN4_TSS	7_Enh	73799270	73800070	
E118	epithelial_cell_or_line	HepG2 Hepatocellular Carcinoma Cell Line	ENCODE2012	LIV.HEPG2.CNCR	LIVER	RFC2_TSS	1_TssA	74253870	74255270	
E119	epithelial_cell_or_line	HMEC Mammary Epithelial Primary Cells	ENCODE2012	BRST.HMEC	BREAST	CLDN4_TSS	7_Enh	73799270	73800070	
E119	epithelial_cell_or_line	HMEC Mammary Epithelial Primary Cells	ENCODE2012	BRST.HMEC	BREAST	RFC2_TSS	1_TssA	74253670	74255270	
E127	epithelial_cell_or_line	NHEK-Epidermal Keratinocyte Primary Cells	ENCODE2012	SKIN.NHEK	SKIN	CLDN4_TSS	7_Enh	73799270	73800070	
E127	epithelial_cell_or_line	NHEK-Epidermal Keratinocyte Primary Cells	ENCODE2012	SKIN.NHEK	SKIN	RFC2_TSS	1_TssA	74253070	74255270	
E075	mucosal_tissue	Colonic Mucosa	Digestive	GI.CLN.MUC	GI_COLON	CLDN4_TSS	15_Quies	73794270	73800670	
E075	mucosal_tissue	Colonic Mucosa	Digestive	GI.CLN.MUC	GI_COLON	RFC2_TSS	1_TssA	74253870	74255470	
E079	mucosal_tissue	Esophagus	Digestive	GI.ESO	GI_ESOPHAGUS	CLDN4_TSS	15_Quies	73774070	73809470	
E079	mucosal_tissue	Esophagus	Digestive	GI.ESO	GI_ESOPHAGUS	RFC2_TSS	1_TssA	74253670	74255270	
E094	mucosal_tissue	Gastric	Digestive	GI.STMC.GAST	GI_STOMACH	CLDN4_TSS	15_Quies	73779070	73827670	
