"","entrez_id","symbol","n_exons","length","source","Symbol"
"10563","10563","CXCL13",6,1332,"IGIS","CXCL13"
"1364","1364","CLDN4",1,1831,"IGIS","CLDN4"
"2625","2625","GATA3",10,4587,"IGIS","GATA3"
"29126","29126","CD274",21,8095,"IGIS","CD274"
"3001","3001","GZMA",5,896,"IGIS","GZMA"
"3169","3169","FOXA1",2,3380,"IGIS","FOXA1"
"3852","3852","KRT5",9,2303,"IGIS","KRT5"
"4070","4070","TACSTD2",1,2072,"IGIS","TACSTD2"
"4072","4072","EPCAM",9,1718,"IGIS","EPCAM"
"4283","4283","CXCL9",4,2545,"IGIS","CXCL9"
"54474","54474","KRT20",16,3829,"IGIS","KRT20"
"5551","5551","PRF1",4,3077,"IGIS","PRF1"
"7040","7040","TGFB1",7,2583,"IGIS","TGFB1"
"7379","7379","UPK2",5,934,"IGIS","UPK2"
"925","925","CD8A",17,6490,"IGIS","CD8A"
"999","999","CDH1",16,4815,"IGIS","CDH1"
