experiment	assay	biosample	epithelial_call	stratum	target	description	file	kind	file_format	file_size	biological_replicates	repair_gene	partner_chrom	partner_start0	partner_end0	cldn_anchor_start0	cldn_anchor_end0	gene_body_flank	promoter_both	pathways
ENCSR106EOT	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, CTCF tag and IAA untreated, control	ENCFF397LTA	loops	bedpe	12601403	1	RFC2	chr7	74258683	74259255	73832128	73832842	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR440JFJ	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, MED14 tag and IAA untreated, control	ENCFF760CVH	loops	bedpe	4101617	1	RFC2	chr7	74259333	74259989	73833179	73833719	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR332LKV	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, CTCF tag and IAA untreated, control	ENCFF171TPY	loops	bedpe	4187255	1	RFC2	chr7	74257367	74258000	73830984	73831510	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR353XNY	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA untreated, control	ENCFF511YYL	loops	bedpe	4577822	1	RFC2	chr7	74256637	74257284	73826381	73827030	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR353XNY	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA untreated, control	ENCFF511YYL	loops	bedpe	4577822	1	RFC2	chr7	74259052	74259680	73834019	73834624	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR145PYF	ChIA-PET	Panc1	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in Panc1	ENCFF915PKD	loops	bedpe	3679326	1	RFC2	chr7	74221851	74222503	73821850	73822376	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR030KAB	ChIA-PET	RWPE1	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in RWPE1	ENCFF479KLF	loops	bedpe	14990647	2	RFC2	chr7	74259032	74259656	73804640	73805279	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR059HDE	ChIA-PET	MCF-7	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET in MCF7	ENCFF377SXL	loops	bedpe	14093656	1	RFC2	chr7	74258137	74258777	73829526	73830127	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR138NSW	ChIA-PET	A549	lung_carcinoma_line	baseline	POLR2A	RNAPII ChIA-PET in A549	ENCFF421KYP	loops	bedpe	2415695	2	RFC2	chr7	74249921	74250526	73833921	73834572	True	False	base excision repair;mismatch repair;nucleotide excision repair
ENCSR911ZMB	ChIA-PET	A549	lung_carcinoma_line	baseline	CTCF	CTCF ChIA-PET in A549	ENCFF684CEM	loops	bedpe	19722068	1	RFC2	chr7	74252034	74252626	73814320	73814863	True	False	base excision repair;mismatch repair;nucleotide excision repair
